version,1.7.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Surrey
info,gender,male
info,season,2024
info,date,2024/08/02
info,event,One-Day Cup
info,venue,Rugby School Ground
info,city,Rugby
info,toss_winner,Surrey
info,toss_decision,field
info,umpire,BJ Peverall
info,umpire,RJ Bailey
info,match_referee,WR Smith
info,winner,Warwickshire
info,winner_runs,3
info,player,Warwickshire,EG Barnard
info,player,Warwickshire,RM Yates
info,player,Warwickshire,WMH Rhodes
info,player,Warwickshire,Hamza Shaikh
info,player,Warwickshire,MGK Burgess
info,player,Warwickshire,CG Benjamin
info,player,Warwickshire,K Smith
info,player,Warwickshire,JB Lintott
info,player,Warwickshire,MG Booth
info,player,Warwickshire,TC Ali
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Surrey,DP Sibley
info,player,Surrey,RS Patel
info,player,Surrey,BBA Geddes
info,player,Surrey,RJ Burns
info,player,Surrey,BT Foakes
info,player,Surrey,CT Steel
info,player,Surrey,J Blake
info,player,Surrey,C McKerr
info,player,Surrey,NA Barnwell
info,player,Surrey,Y Majid
info,player,Surrey,JPA Taylor
info,registry,people,BBA Geddes,305c31f2
info,registry,people,BJ Peverall,3e04e05a
info,registry,people,BT Foakes,fd770945
info,registry,people,C McKerr,5ccdb14f
info,registry,people,CG Benjamin,95a15317
info,registry,people,CT Steel,5899dceb
info,registry,people,DP Sibley,97e434a6
info,registry,people,EG Barnard,a510bdd3
info,registry,people,Hamza Shaikh,1917d713
info,registry,people,J Blake,3385b875
info,registry,people,JB Lintott,e5218454
info,registry,people,JPA Taylor,5c86c3c2
info,registry,people,K Smith,ee6ebf47
info,registry,people,MG Booth,92205bc7
info,registry,people,MGK Burgess,715941c3
info,registry,people,NA Barnwell,25182168
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RJ Burns,29e8a62e
info,registry,people,RM Yates,3581a798
info,registry,people,RS Patel,97905e64
info,registry,people,TC Ali,634749ad
info,registry,people,WMH Rhodes,f54dbda7
info,registry,people,WR Smith,ad962377
info,registry,people,Y Majid,8ecb0241
ball,1,0.1,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,0.2,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,0.3,Warwickshire,EG Barnard,RM Yates,Y Majid,4,0,,,,,,"",""
ball,1,0.4,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,0.5,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,0.6,Warwickshire,EG Barnard,RM Yates,Y Majid,2,0,,,,,,"",""
ball,1,1.1,Warwickshire,RM Yates,EG Barnard,JPA Taylor,0,0,,,,,,"",""
ball,1,1.2,Warwickshire,RM Yates,EG Barnard,JPA Taylor,0,0,,,,,,"",""
ball,1,1.3,Warwickshire,RM Yates,EG Barnard,JPA Taylor,0,0,,,,,,"",""
ball,1,1.4,Warwickshire,RM Yates,EG Barnard,JPA Taylor,4,0,,,,,,"",""
ball,1,1.5,Warwickshire,RM Yates,EG Barnard,JPA Taylor,2,0,,,,,,"",""
ball,1,1.6,Warwickshire,RM Yates,EG Barnard,JPA Taylor,0,0,,,,,,"",""
ball,1,2.1,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,2.2,Warwickshire,EG Barnard,RM Yates,Y Majid,0,0,,,,,,"",""
ball,1,2.3,Warwickshire,EG Barnard,RM Yates,Y Majid,4,0,,,,,,"",""
ball,1,2.4,Warwickshire,EG Barnard,RM Yates,Y Majid,1,0,,,,,,"",""
ball,1,2.5,Warwickshire,RM Yates,EG Barnard,Y Majid,0,0,,,,,,"",""
ball,1,2.6,Warwickshire,RM Yates,EG Barnard,Y Majid,0,0,,,,,,"",""
ball,1,3.1,Warwickshire,EG Barnard,RM Yates,JPA Taylor,0,0,,,,,,"",""
ball,1,3.2,Warwickshire,EG Barnard,RM Yates,JPA Taylor,0,0,,,,,,"",""
ball,1,3.3,Warwickshire,EG Barnard,RM Yates,JPA Taylor,0,0,,,,,,"",""
