version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Hobart Hurricanes
info,gender,male
info,season,2024/25
info,date,2025/01/27
info,event,Big Bash League
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,MJ Owen
info,umpire,DM Koch
info,umpire,SJ Nogajski
info,reserve_umpire,SAJ Craig
info,tv_umpire,PJ Gillespie
info,match_referee,Kepler Wessels
info,winner,Hobart Hurricanes
info,winner_wickets,7
info,player,Sydney Thunder,JJS Sangha
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,GHS Garton
info,player,Sydney Thunder,N McAndrew
info,player,Sydney Thunder,TD Andrews
info,player,Sydney Thunder,WA Agar
info,player,Sydney Thunder,T Sangha
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,CJ Gannon
info,player,Hobart Hurricanes,P Hatzoglou
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Gannon,519c30cb
info,registry,people,CJ Green,19b9f399
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CP Jewell,806c4e58
info,registry,people,DA Warner,dcce6f09
info,registry,people,DM Koch,6d10c034
info,registry,people,GHS Garton,be869ccf
info,registry,people,HD Weibgen,2535b30f
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,N McAndrew,38c276e1
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,O Davies,0ea54eca
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,RP Meredith,64775749
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SW Billings,c16d4035
info,registry,people,T Sangha,52c952d9
info,registry,people,TD Andrews,a0f612b6
info,registry,people,TH David,f1f99156
info,registry,people,WA Agar,15de1f5d
ball,1,0.1,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,0,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,1,0,,,,,,"",""
ball,1,0.3,Sydney Thunder,DA Warner,JJS Sangha,RP Meredith,0,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,DA Warner,JJS Sangha,RP Meredith,0,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,DA Warner,JJS Sangha,RP Meredith,1,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,0,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,DA Warner,JJS Sangha,CJ Gannon,0,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,DA Warner,JJS Sangha,CJ Gannon,4,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,DA Warner,JJS Sangha,CJ Gannon,1,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,JJS Sangha,DA Warner,CJ Gannon,4,0,,,,,,"",""
ball,1,1.5,Sydney Thunder,JJS Sangha,DA Warner,CJ Gannon,4,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,JJS Sangha,DA Warner,CJ Gannon,1,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,2,0,,,,,,"",""
ball,1,2.2,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,2,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,6,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,4,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,JJS Sangha,DA Warner,RP Meredith,1,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,DA Warner,JJS Sangha,RP Meredith,1,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,DA Warner,JJS Sangha,NT Ellis,0,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,DA Warner,JJS Sangha,NT Ellis,0,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,DA Warner,JJS Sangha,NT Ellis,2,0,,,,,,"",""
ball,1,3.4,Sydney Thunder,DA Warner,JJS Sangha,NT Ellis,1,0,,,,,,"",""
ball,1,3.5,Sydney Thunder,JJS Sangha,DA Warner,NT Ellis,2,0,,,,,,"",""
ball,1,3.6,Sydney Thunder,JJS Sangha,DA Warner,NT Ellis,3,0,,,,,,"",""
