version,1.7.0
info,balls_per_over,6
info,team,Queensland
info,team,Tasmania
info,gender,male
info,season,2024/25
info,date,2024/12/03
info,event,One-Day Cup (Australia)
info,match_number,14
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Tasmania
info,toss_decision,field
info,player_of_match,MT Renshaw
info,umpire,BC Treloar
info,umpire,Sharad Patel
info,reserve_umpire,D Taylor
info,match_referee,David Johnston
info,winner,Queensland
info,winner_runs,56
info,method,D/L
info,player,Queensland,BR McDermott
info,player,Queensland,JJ Peirson
info,player,Queensland,ACI Lovell
info,player,Queensland,MT Renshaw
info,player,Queensland,J Clayton
info,player,Queensland,LD Hearne
info,player,Queensland,JD Wildermuth
info,player,Queensland,GS Sandhu
info,player,Queensland,L Guthrie
info,player,Queensland,MJ Swepson
info,player,Queensland,T Whitney
info,player,Tasmania,MJ Owen
info,player,Tasmania,CP Jewell
info,player,Tasmania,J Weatherald
info,player,Tasmania,JC Silk
info,player,Tasmania,MS Wade
info,player,Tasmania,JR Doran
info,player,Tasmania,BM Hope
info,player,Tasmania,TS Rogers
info,player,Tasmania,R MacMillan
info,player,Tasmania,MP Kuhnemann
info,player,Tasmania,B Stanlake
info,registry,people,ACI Lovell,2372b3ad
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BM Hope,526a3073
info,registry,people,BR McDermott,c41043e6
info,registry,people,CP Jewell,806c4e58
info,registry,people,D Taylor,b940a2b2
info,registry,people,David Johnston,92cef862
info,registry,people,GS Sandhu,1558d83b
info,registry,people,J Clayton,c56fc66d
info,registry,people,J Weatherald,edc7ddb6
info,registry,people,JC Silk,7a6dc294
info,registry,people,JD Wildermuth,f1c61793
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JR Doran,9cebb612
info,registry,people,L Guthrie,b03303ca
info,registry,people,LD Hearne,7f2163a0
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MS Wade,afa7e784
info,registry,people,MT Renshaw,218d4d78
info,registry,people,R MacMillan,614b50a6
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,T Whitney,97af3515
info,registry,people,TS Rogers,1b04e02b
ball,1,0.1,Queensland,BR McDermott,JJ Peirson,TS Rogers,2,0,,,,,,"",""
ball,1,0.2,Queensland,BR McDermott,JJ Peirson,TS Rogers,0,0,,,,,,"",""
ball,1,0.3,Queensland,BR McDermott,JJ Peirson,TS Rogers,0,0,,,,,,"",""
ball,1,0.4,Queensland,BR McDermott,JJ Peirson,TS Rogers,1,0,,,,,,"",""
ball,1,0.5,Queensland,JJ Peirson,BR McDermott,TS Rogers,0,0,,,,,,"",""
ball,1,0.6,Queensland,JJ Peirson,BR McDermott,TS Rogers,1,0,,,,,,"",""
ball,1,1.1,Queensland,JJ Peirson,BR McDermott,B Stanlake,0,1,1,,,,,"",""
ball,1,1.2,Queensland,JJ Peirson,BR McDermott,B Stanlake,0,1,1,,,,,"",""
ball,1,1.3,Queensland,JJ Peirson,BR McDermott,B Stanlake,0,0,,,,,,"",""
ball,1,1.4,Queensland,JJ Peirson,BR McDermott,B Stanlake,0,0,,,,,,"",""
ball,1,1.5,Queensland,JJ Peirson,BR McDermott,B Stanlake,1,0,,,,,,"",""
ball,1,1.6,Queensland,BR McDermott,JJ Peirson,B Stanlake,0,0,,,,,,caught,BR McDermott
ball,1,1.7,Queensland,ACI Lovell,JJ Peirson,B Stanlake,0,0,,,,,,"",""
ball,1,1.8,Queensland,ACI Lovell,JJ Peirson,B Stanlake,1,0,,,,,,"",""
ball,1,2.1,Queensland,ACI Lovell,JJ Peirson,TS Rogers,0,0,,,,,,"",""
ball,1,2.2,Queensland,ACI Lovell,JJ Peirson,TS Rogers,4,0,,,,,,"",""
ball,1,2.3,Queensland,ACI Lovell,JJ Peirson,TS Rogers,1,0,,,,,,"",""
ball,1,2.4,Queensland,JJ Peirson,ACI Lovell,TS Rogers,0,0,,,,,,"",""
ball,1,2.5,Queensland,JJ Peirson,ACI Lovell,TS Rogers,4,0,,,,,,"",""
ball,1,2.6,Queensland,JJ Peirson,ACI Lovell,TS Rogers,0,0,,,,,,"",""
ball,1,3.1,Queensland,ACI Lovell,JJ Peirson,B Stanlake,0,0,,,,,,"",""
ball,1,3.2,Queensland,ACI Lovell,JJ Peirson,B Stanlake,1,0,,,,,,"",""
ball,1,3.3,Queensland,JJ Peirson,ACI Lovell,B Stanlake,0,0,,,,,,"",""
