version,1.7.0
info,balls_per_over,6
info,team,Puducherry
info,team,Kerala
info,gender,male
info,season,2020/21
info,date,2021/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue,Wankhede Stadium
info,city,
info,toss_winner,Puducherry
info,toss_decision,bat
info,winner,Kerala
info,winner_wickets,6
info,player,Puducherry,Damodaran Rohit
info,player,Puducherry,Fabid Ahmed
info,player,Puducherry,SP Jackson
info,player,Puducherry,P Dogra
info,player,Puducherry,Marimuthu Vikneshwaran
info,player,Puducherry,Sagar Trivedi
info,player,Puducherry,Ashith Rajiv
info,player,Puducherry,P Thamaraikannan
info,player,Puducherry,Raghu Sharma
info,player,Puducherry,Sagar Udeshi
info,player,Puducherry,Pankaj Singh
info,player,Kerala,Basil Thampi
info,player,Kerala,S Sreesanth
info,player,Kerala,KM Asif
info,player,Kerala,S Midhun
info,player,Kerala,Jalaj S Saxena
info,player,Kerala,RV Uthappa
info,player,Kerala,Mohammed Azharuddeen
info,player,Kerala,SV Samson
info,player,Kerala,Sachin Baby
info,player,Kerala,Vishnu Vinod
info,player,Kerala,Salman Nizar
info,registry,people,Ashith Rajiv,502056e3
info,registry,people,Basil Thampi,871e9faf
info,registry,people,Damodaran Rohit,37fec668
info,registry,people,Fabid Ahmed,f705d984
info,registry,people,Jalaj S Saxena,249abedf
info,registry,people,KM Asif,798cc28e
info,registry,people,Marimuthu Vikneshwaran,ee2ac9d7
info,registry,people,Mohammed Azharuddeen,4ae89f36
info,registry,people,P Dogra,2728e7e9
info,registry,people,P Thamaraikannan,df72675b
info,registry,people,Pankaj Singh,e32d22f6
info,registry,people,RV Uthappa,1c17e270
info,registry,people,Raghu Sharma,5b615e7c
info,registry,people,S Midhun,ade90de7
info,registry,people,S Sreesanth,6b8eb6e5
info,registry,people,SP Jackson,acc1aeda
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sachin Baby,dc9dd038
info,registry,people,Sagar Trivedi,8da6dbf1
info,registry,people,Sagar Udeshi,8db0c0e1
info,registry,people,Salman Nizar,47ff3985
info,registry,people,Vishnu Vinod,0494fa6e
ball,1,0.1,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,0,0,,,,,,"",""
ball,1,0.2,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,0,0,,,,,,"",""
ball,1,0.3,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,0,0,,,,,,"",""
ball,1,0.4,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,0,0,,,,,,"",""
ball,1,0.5,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,2,0,,,,,,"",""
ball,1,0.6,Puducherry,Damodaran Rohit,Fabid Ahmed,Basil Thampi,6,0,,,,,,"",""
ball,1,1.1,Puducherry,Fabid Ahmed,Damodaran Rohit,S Sreesanth,0,0,,,,,,"",""
ball,1,1.2,Puducherry,Fabid Ahmed,Damodaran Rohit,S Sreesanth,4,0,,,,,,"",""
ball,1,1.3,Puducherry,Fabid Ahmed,Damodaran Rohit,S Sreesanth,1,0,,,,,,"",""
ball,1,1.4,Puducherry,Damodaran Rohit,Fabid Ahmed,S Sreesanth,0,4,,,,4,,"",""
ball,1,1.5,Puducherry,Damodaran Rohit,Fabid Ahmed,S Sreesanth,0,0,,,,,,"",""
ball,1,1.6,Puducherry,Damodaran Rohit,Fabid Ahmed,S Sreesanth,4,0,,,,,,"",""
ball,1,2.1,Puducherry,Fabid Ahmed,Damodaran Rohit,KM Asif,4,0,,,,,,"",""
ball,1,2.2,Puducherry,Fabid Ahmed,Damodaran Rohit,KM Asif,1,0,,,,,,"",""
ball,1,2.3,Puducherry,Damodaran Rohit,Fabid Ahmed,KM Asif,0,0,,,,,,"",""
ball,1,2.4,Puducherry,Damodaran Rohit,Fabid Ahmed,KM Asif,0,0,,,,,,"",""
ball,1,2.5,Puducherry,Damodaran Rohit,Fabid Ahmed,KM Asif,0,0,,,,,,"",""
ball,1,2.6,Puducherry,Damodaran Rohit,Fabid Ahmed,KM Asif,0,0,,,,,,caught,Damodaran Rohit
