version,1.7.0
info,balls_per_over,6
info,team,Pretoria Capitals
info,team,Paarl Royals
info,gender,male
info,season,2022/23
info,date,2023/02/08
info,event,SA20
info,venue,"The Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,Paarl Royals
info,toss_decision,field
info,player_of_match,RR Rossouw
info,umpire,AT Holdstock
info,umpire,A Paleker
info,reserve_umpire,BP Jele
info,tv_umpire,M Erasmus
info,match_referee,ZTA Ndamane
info,winner,Pretoria Capitals
info,winner_runs,29
info,player,Pretoria Capitals,PD Salt
info,player,Pretoria Capitals,BKG Mendis
info,player,Pretoria Capitals,TB de Bruyn
info,player,Pretoria Capitals,RR Rossouw
info,player,Pretoria Capitals,CA Ingram
info,player,Pretoria Capitals,JDS Neesham
info,player,Pretoria Capitals,E Bosch
info,player,Pretoria Capitals,S Muthusamy
info,player,Pretoria Capitals,M Pretorius
info,player,Pretoria Capitals,AU Rashid
info,player,Pretoria Capitals,A Nortje
info,player,Paarl Royals,JJ Roy
info,player,Paarl Royals,PR Stirling
info,player,Paarl Royals,JC Buttler
info,player,Paarl Royals,DJ Vilas
info,player,Paarl Royals,EJG Morgan
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,E Jones
info,player,Paarl Royals,AL Phehlukwayo
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,L Ngidi
info,player,Paarl Royals,T Shamsi
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Paleker,634b11ac
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,AU Rashid,249d60c9
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BP Jele,7bb1331e
info,registry,people,CA Ingram,c995d726
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Vilas,087210b1
info,registry,people,E Bosch,28d6c44d
info,registry,people,E Jones,fbfea9c2
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,JC Buttler,99b75528
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,L Ngidi,f834dcfc
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Pretorius,54c2b697
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,T Shamsi,a03bba42
info,registry,people,TB de Bruyn,90d6cdea
info,registry,people,ZTA Ndamane,545cc6db
ball,1,0.1,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,1,0,,,,,,"",""
ball,1,0.2,Pretoria Capitals,BKG Mendis,PD Salt,L Ngidi,0,0,,,,,,"",""
ball,1,0.3,Pretoria Capitals,BKG Mendis,PD Salt,L Ngidi,0,0,,,,,,"",""
ball,1,0.4,Pretoria Capitals,BKG Mendis,PD Salt,L Ngidi,1,0,,,,,,"",""
ball,1,0.5,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,0,0,,,,,,"",""
ball,1,0.6,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,0,1,1,,,,,"",""
ball,1,0.7,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,0,0,,,,,,"",""
ball,1,1.1,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,0,0,,,,,,"",""
ball,1,1.2,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,0,0,,,,,,"",""
ball,1,1.3,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,0,0,,,,,,"",""
ball,1,1.4,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,1,0,,,,,,"",""
ball,1,1.5,Pretoria Capitals,PD Salt,BKG Mendis,BC Fortuin,0,0,,,,,,"",""
ball,1,1.6,Pretoria Capitals,PD Salt,BKG Mendis,BC Fortuin,4,0,,,,,,"",""
ball,1,2.1,Pretoria Capitals,BKG Mendis,PD Salt,L Ngidi,4,0,,,,,,"",""
ball,1,2.2,Pretoria Capitals,BKG Mendis,PD Salt,L Ngidi,1,0,,,,,,"",""
ball,1,2.3,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,0,0,,,,,,"",""
ball,1,2.4,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,4,0,,,,,,"",""
ball,1,2.5,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,0,0,,,,,,"",""
ball,1,2.6,Pretoria Capitals,PD Salt,BKG Mendis,L Ngidi,1,0,,,,,,"",""
ball,1,3.1,Pretoria Capitals,PD Salt,BKG Mendis,BC Fortuin,1,0,,,,,,"",""
ball,1,3.2,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,0,0,,,,,,"",""
ball,1,3.3,Pretoria Capitals,BKG Mendis,PD Salt,BC Fortuin,0,0,,,,,,caught,BKG Mendis
ball,1,3.4,Pretoria Capitals,TB de Bruyn,PD Salt,BC Fortuin,0,0,,,,,,"",""
