version,1.7.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Sydney Thunder
info,gender,female
info,season,2023/24
info,date,2023/10/30
info,event,Women's Big Bash League
info,match_number,17
info,venue,"University of Tasmania Stadium, Launceston"
info,city,Launceston
info,toss_winner,Hobart Hurricanes
info,toss_decision,bat
info,player_of_match,L Lee
info,umpire,C Seabourne
info,umpire,Simon Burns
info,match_referee,RL Parry
info,winner,Hobart Hurricanes
info,winner_runs,24
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,BF Smith
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,NE Stalenberg
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,R Johnston
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,A Smith
info,player,Hobart Hurricanes,S Ismail
info,player,Hobart Hurricanes,ML Gibson
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,AC Jayangani
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,M Kapp
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,O Porter
info,player,Sydney Thunder,C Moore
info,player,Sydney Thunder,HJ Darlington
info,player,Sydney Thunder,SL Bates
info,player,Sydney Thunder,E Hoskin
info,registry,people,A Learoyd,1757bedf
info,registry,people,A Smith,b125ce63
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BF Smith,c64b7c5b
info,registry,people,C Moore,284cd027
info,registry,people,C Seabourne,ae32fc6f
info,registry,people,E Hoskin,cd2ad878
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Darlington,50b558d2
info,registry,people,L Lee,7b01ce83
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Gibson,27fa592f
info,registry,people,NE Stalenberg,609c519e
info,registry,people,NJ Carey,dff806f4
info,registry,people,O Porter,9ac15b90
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,R Johnston,3cd107a7
info,registry,people,RL Parry,86d151dc
info,registry,people,S Ismail,108c4c09
info,registry,people,SL Bates,0816fb1e
info,registry,people,Simon Burns,c0741b3f
info,registry,people,T Wilson,32100b2d
ball,1,0.1,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,0,0,,,,,,"",""
ball,1,0.2,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,0,0,,,,,,"",""
ball,1,0.3,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,0,0,,,,,,"",""
ball,1,0.4,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,0,0,,,,,,"",""
ball,1,0.5,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,1,0,,,,,,"",""
ball,1,0.6,Hobart Hurricanes,EJ Villani,L Lee,M Kapp,1,0,,,,,,"",""
ball,1,1.1,Hobart Hurricanes,EJ Villani,L Lee,SL Bates,4,0,,,,,,"",""
ball,1,1.2,Hobart Hurricanes,EJ Villani,L Lee,SL Bates,0,0,,,,,,"",""
ball,1,1.3,Hobart Hurricanes,EJ Villani,L Lee,SL Bates,4,0,,,,,,"",""
ball,1,1.4,Hobart Hurricanes,EJ Villani,L Lee,SL Bates,0,0,,,,,,"",""
ball,1,1.5,Hobart Hurricanes,EJ Villani,L Lee,SL Bates,1,0,,,,,,"",""
ball,1,1.6,Hobart Hurricanes,L Lee,EJ Villani,SL Bates,0,0,,,,,,"",""
ball,1,2.1,Hobart Hurricanes,EJ Villani,L Lee,AC Jayangani,0,0,,,,,,"",""
ball,1,2.2,Hobart Hurricanes,EJ Villani,L Lee,AC Jayangani,0,0,,,,,,"",""
ball,1,2.3,Hobart Hurricanes,EJ Villani,L Lee,AC Jayangani,4,0,,,,,,"",""
ball,1,2.4,Hobart Hurricanes,EJ Villani,L Lee,AC Jayangani,1,0,,,,,,"",""
ball,1,2.5,Hobart Hurricanes,L Lee,EJ Villani,AC Jayangani,1,0,,,,,,"",""
ball,1,2.6,Hobart Hurricanes,EJ Villani,L Lee,AC Jayangani,0,0,,,,,,"",""
ball,1,3.1,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,2,0,,,,,,"",""
ball,1,3.2,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,0,0,,,,,,"",""
ball,1,3.3,Hobart Hurricanes,L Lee,EJ Villani,M Kapp,1,0,,,,,,"",""
ball,1,3.4,Hobart Hurricanes,EJ Villani,L Lee,M Kapp,0,0,,,,,,"",""
