version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Hobart Hurricanes
info,gender,male
info,season,2025/26
info,date,2026/01/23
info,event,Big Bash League
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,JA Davies
info,umpire,DM Koch
info,umpire,PJ Gillespie
info,reserve_umpire,MW Graham-Smith
info,match_referee,Kent Hannam
info,winner,Sydney Sixers
info,winner_runs,57
info,player,Sydney Sixers,DP Hughes
info,player,Sydney Sixers,SPD Smith
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JA Davies
info,player,Sydney Sixers,L Shaw
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,BAD Manenti
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,MA Starc
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,TP Ward
info,player,Hobart Hurricanes,BJ Webster
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,W Prestwidge
info,player,Hobart Hurricanes,Rishad Hossain
info,player,Hobart Hurricanes,RP Meredith
info,player,Hobart Hurricanes,B Stanlake
info,registry,people,B Stanlake,6834d1f2
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BJ Webster,56b93d46
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DM Koch,6d10c034
info,registry,people,DP Hughes,f3982af9
info,registry,people,J Edwards,f787e0eb
info,registry,people,JA Davies,5cdf8304
info,registry,people,JC Silk,7a6dc294
info,registry,people,JR Philippe,39086549
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,L Shaw,b34e4b15
info,registry,people,MA Starc,3fb19989
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,RP Meredith,64775749
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SPD Smith,30a45b23
info,registry,people,TP Ward,fdd837ba
info,registry,people,W Prestwidge,bdf7a718
ball,1,0.1,Sydney Sixers,DP Hughes,SPD Smith,Nikhil Chaudhary,0,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,DP Hughes,SPD Smith,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,SPD Smith,DP Hughes,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,DP Hughes,SPD Smith,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,SPD Smith,DP Hughes,Nikhil Chaudhary,0,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,SPD Smith,DP Hughes,Nikhil Chaudhary,0,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,DP Hughes,SPD Smith,RP Meredith,0,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,DP Hughes,SPD Smith,RP Meredith,0,2,2,,,,,"",""
ball,1,1.3,Sydney Sixers,SPD Smith,DP Hughes,RP Meredith,1,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,DP Hughes,SPD Smith,RP Meredith,0,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,DP Hughes,SPD Smith,RP Meredith,1,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,SPD Smith,DP Hughes,RP Meredith,4,0,,,,,,"",""
ball,1,1.7,Sydney Sixers,SPD Smith,DP Hughes,RP Meredith,4,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,DP Hughes,SPD Smith,B Stanlake,0,1,,,,1,,"",""
ball,1,2.2,Sydney Sixers,SPD Smith,DP Hughes,B Stanlake,0,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,SPD Smith,DP Hughes,B Stanlake,1,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,DP Hughes,SPD Smith,B Stanlake,6,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,DP Hughes,SPD Smith,B Stanlake,4,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,DP Hughes,SPD Smith,B Stanlake,0,0,,,,,,caught,DP Hughes
ball,1,3.1,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,0,5,5,,,,,"",""
ball,1,3.2,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,0,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,4,0,,,,,,"",""
ball,1,3.4,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,0,0,,,,,,"",""
ball,1,3.5,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,4,0,,,,,,"",""
ball,1,3.6,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,0,0,,,,,,"",""
ball,1,3.7,Sydney Sixers,SPD Smith,JR Philippe,RP Meredith,0,0,,,,,,"",""
ball,1,4.1,Sydney Sixers,JR Philippe,SPD Smith,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.2,Sydney Sixers,SPD Smith,JR Philippe,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.3,Sydney Sixers,JR Philippe,SPD Smith,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.4,Sydney Sixers,SPD Smith,JR Philippe,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.5,Sydney Sixers,JR Philippe,SPD Smith,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.6,Sydney Sixers,SPD Smith,JR Philippe,Rishad Hossain,1,0,,,,,,"",""
ball,1,5.1,Sydney Sixers,SPD Smith,JR Philippe,W Prestwidge,1,0,,,,,,"",""
ball,1,5.2,Sydney Sixers,JR Philippe,SPD Smith,W Prestwidge,4,0,,,,,,"",""
ball,1,5.3,Sydney Sixers,JR Philippe,SPD Smith,W Prestwidge,4,0,,,,,,"",""
ball,1,5.4,Sydney Sixers,JR Philippe,SPD Smith,W Prestwidge,0,0,,,,,,"",""
ball,1,5.5,Sydney Sixers,JR Philippe,SPD Smith,W Prestwidge,0,0,,,,,,"",""
ball,1,5.6,Sydney Sixers,JR Philippe,SPD Smith,W Prestwidge,0,0,,,,,,"",""
ball,1,6.1,Sydney Sixers,SPD Smith,JR Philippe,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,6.2,Sydney Sixers,JR Philippe,SPD Smith,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,6.3,Sydney Sixers,SPD Smith,JR Philippe,Nikhil Chaudhary,1,0,,,,,,"",""
ball,1,6.4,Sydney Sixers,JR Philippe,SPD Smith,Nikhil Chaudhary,0,0,,,,,,"",""
ball,1,6.5,Sydney Sixers,JR Philippe,SPD Smith,Nikhil Chaudhary,1,0,,,,,,"",""
