version,1.6.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Lancashire
info,gender,male
info,season,2020
info,date,2020/08/29
info,event,Vitality Blast
info,venue,Grace Road
info,city,Leicester
info,toss_winner,Lancashire
info,toss_decision,field
info,umpire,Rob White
info,umpire,NGB Cook
info,match_referee,TJ Boon
info,outcome,no result
info,player,Leicestershire,GJ Delany
info,player,Leicestershire,HE Dearden
info,player,Leicestershire,AM Lilley
info,player,Leicestershire,CN Ackermann
info,player,Leicestershire,GH Rhodes
info,player,Leicestershire,LJ Hill
info,player,Leicestershire,TAI Taylor
info,player,Leicestershire,BWM Mike
info,player,Leicestershire,CF Parkinson
info,player,Leicestershire,WS Davis
info,player,Leicestershire,GT Griffiths
info,player,Lancashire,KK Jennings
info,player,Lancashire,AL Davies
info,player,Lancashire,SJ Croft
info,player,Lancashire,DJ Vilas
info,player,Lancashire,JJ Bohannon
info,player,Lancashire,RP Jones
info,player,Lancashire,DJ Lamb
info,player,Lancashire,TE Bailey
info,player,Lancashire,TW Hartley
info,player,Lancashire,LJ Hurt
info,player,Lancashire,MW Parkinson
info,registry,people,AL Davies,29ede60b
info,registry,people,AM Lilley,88a004e9
info,registry,people,BWM Mike,ed12fcd7
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CN Ackermann,e734d090
info,registry,people,DJ Lamb,27c5a793
info,registry,people,DJ Vilas,087210b1
info,registry,people,GH Rhodes,fd8a9b23
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GT Griffiths,79c7041c
info,registry,people,HE Dearden,c41ba637
info,registry,people,JJ Bohannon,fd96de7c
info,registry,people,KK Jennings,8479a24a
info,registry,people,LJ Hill,35f9a295
info,registry,people,LJ Hurt,45ca0dc0
info,registry,people,MW Parkinson,19708692
info,registry,people,NGB Cook,772fe461
info,registry,people,RP Jones,ad8cb396
info,registry,people,Rob White,59b91222
info,registry,people,SJ Croft,ab474682
info,registry,people,TAI Taylor,867a45a7
info,registry,people,TE Bailey,b9877635
info,registry,people,TJ Boon,0bdf177a
info,registry,people,TW Hartley,22b98d7c
info,registry,people,WS Davis,078ffbf2
ball,1,0.1,Leicestershire,GJ Delany,HE Dearden,SJ Croft,0,0,,,,,,"",""
ball,1,0.2,Leicestershire,GJ Delany,HE Dearden,SJ Croft,4,0,,,,,,"",""
ball,1,0.3,Leicestershire,GJ Delany,HE Dearden,SJ Croft,1,0,,,,,,"",""
ball,1,0.4,Leicestershire,HE Dearden,GJ Delany,SJ Croft,0,0,,,,,,"",""
ball,1,0.5,Leicestershire,HE Dearden,GJ Delany,SJ Croft,0,0,,,,,,"",""
ball,1,0.6,Leicestershire,HE Dearden,GJ Delany,SJ Croft,0,0,,,,,,"",""
ball,1,1.1,Leicestershire,GJ Delany,HE Dearden,TE Bailey,0,0,,,,,,"",""
ball,1,1.2,Leicestershire,GJ Delany,HE Dearden,TE Bailey,0,0,,,,,,bowled,GJ Delany
ball,1,1.3,Leicestershire,AM Lilley,HE Dearden,TE Bailey,0,0,,,,,,"",""
ball,1,1.4,Leicestershire,AM Lilley,HE Dearden,TE Bailey,1,0,,,,,,"",""
ball,1,1.5,Leicestershire,HE Dearden,AM Lilley,TE Bailey,0,1,1,,,,,"",""
ball,1,1.6,Leicestershire,HE Dearden,AM Lilley,TE Bailey,4,0,,,,,,"",""
ball,1,1.7,Leicestershire,HE Dearden,AM Lilley,TE Bailey,0,0,,,,,,"",""
ball,1,2.1,Leicestershire,AM Lilley,HE Dearden,TW Hartley,0,0,,,,,,"",""
ball,1,2.2,Leicestershire,AM Lilley,HE Dearden,TW Hartley,6,0,,,,,,"",""
ball,1,2.3,Leicestershire,AM Lilley,HE Dearden,TW Hartley,1,0,,,,,,"",""
ball,1,2.4,Leicestershire,HE Dearden,AM Lilley,TW Hartley,4,0,,,,,,"",""
ball,1,2.5,Leicestershire,HE Dearden,AM Lilley,TW Hartley,1,0,,,,,,"",""
ball,1,2.6,Leicestershire,AM Lilley,HE Dearden,TW Hartley,1,0,,,,,,"",""
ball,1,3.1,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,4,0,,,,,,"",""
ball,1,3.2,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,2,0,,,,,,"",""
ball,1,3.3,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,0,4,,,,4,,"",""
ball,1,3.4,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,4,0,,,,,,"",""
ball,1,3.5,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,6,0,,,,,,"",""
ball,1,3.6,Leicestershire,AM Lilley,HE Dearden,LJ Hurt,1,0,,,,,,"",""
ball,1,4.1,Leicestershire,AM Lilley,HE Dearden,DJ Lamb,0,0,,,,,,"",""
ball,1,4.2,Leicestershire,AM Lilley,HE Dearden,DJ Lamb,0,0,,,,,,"",""
ball,1,4.3,Leicestershire,AM Lilley,HE Dearden,DJ Lamb,0,0,,,,,,caught,AM Lilley
ball,1,4.4,Leicestershire,CN Ackermann,HE Dearden,DJ Lamb,1,0,,,,,,"",""
ball,1,4.5,Leicestershire,HE Dearden,CN Ackermann,DJ Lamb,1,0,,,,,,"",""
ball,1,4.6,Leicestershire,CN Ackermann,HE Dearden,DJ Lamb,1,0,,,,,,"",""
ball,1,5.1,Leicestershire,CN Ackermann,HE Dearden,TE Bailey,0,0,,,,,,"",""
ball,1,5.2,Leicestershire,CN Ackermann,HE Dearden,TE Bailey,1,0,,,,,,"",""
ball,1,5.3,Leicestershire,HE Dearden,CN Ackermann,TE Bailey,0,0,,,,,,"",""
ball,1,5.4,Leicestershire,HE Dearden,CN Ackermann,TE Bailey,0,0,,,,,,"",""
ball,1,5.5,Leicestershire,HE Dearden,CN Ackermann,TE Bailey,1,0,,,,,,"",""
