version,1.7.0
info,balls_per_over,6
info,team,Paarl Royals
info,team,MI Cape Town
info,gender,male
info,season,2022/23
info,date,2023/01/10
info,event,SA20
info,match_number,1
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,D Brevis
info,umpire,A Paleker
info,umpire,M Erasmus
info,reserve_umpire,A Steenkamp
info,tv_umpire,BP Jele
info,match_referee,GH Pienaar
info,winner,MI Cape Town
info,winner_wickets,8
info,player,Paarl Royals,WJ Lubbe
info,player,Paarl Royals,JC Buttler
info,player,Paarl Royals,JJ Roy
info,player,Paarl Royals,DJ Vilas
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,EJG Morgan
info,player,Paarl Royals,FD Adams
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,RR Simmonds
info,player,Paarl Royals,Codi Yusuf
info,player,Paarl Royals,T Shamsi
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,SM Curran
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,G Roelofsen
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,D Jansen
info,player,MI Cape Town,OP Stone
info,player,MI Cape Town,JC Archer
info,registry,people,A Paleker,634b11ac
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,Codi Yusuf,f2397e48
info,registry,people,D Brevis,844e79d1
info,registry,people,D Jansen,8dc152d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Vilas,087210b1
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,FD Adams,f277f531
info,registry,people,G Roelofsen,ac688e55
info,registry,people,GF Linde,e5437608
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,M Erasmus,15d3c895
info,registry,people,OP Stone,3f659464
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Simmonds,fcf6b0f6
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SM Curran,e94915e6
info,registry,people,T Shamsi,a03bba42
info,registry,people,WJ Lubbe,10f42013
ball,1,0.1,Paarl Royals,WJ Lubbe,JC Buttler,GF Linde,1,0,,,,,,"",""
ball,1,0.2,Paarl Royals,JC Buttler,WJ Lubbe,GF Linde,0,0,,,,,,"",""
ball,1,0.3,Paarl Royals,JC Buttler,WJ Lubbe,GF Linde,4,0,,,,,,"",""
ball,1,0.4,Paarl Royals,JC Buttler,WJ Lubbe,GF Linde,1,0,,,,,,"",""
ball,1,0.5,Paarl Royals,WJ Lubbe,JC Buttler,GF Linde,0,1,1,,,,,"",""
ball,1,0.6,Paarl Royals,WJ Lubbe,JC Buttler,GF Linde,1,0,,,,,,"",""
ball,1,0.7,Paarl Royals,JC Buttler,WJ Lubbe,GF Linde,0,0,,,,,,"",""
ball,1,1.1,Paarl Royals,WJ Lubbe,JC Buttler,SM Curran,0,0,,,,,,"",""
ball,1,1.2,Paarl Royals,WJ Lubbe,JC Buttler,SM Curran,0,0,,,,,,"",""
ball,1,1.3,Paarl Royals,WJ Lubbe,JC Buttler,SM Curran,1,0,,,,,,"",""
ball,1,1.4,Paarl Royals,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,"",""
ball,1,1.5,Paarl Royals,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,"",""
ball,1,1.6,Paarl Royals,JC Buttler,WJ Lubbe,SM Curran,0,0,,,,,,"",""
ball,1,2.1,Paarl Royals,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,"",""
ball,1,2.2,Paarl Royals,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,"",""
ball,1,2.3,Paarl Royals,WJ Lubbe,JC Buttler,JC Archer,0,0,,,,,,caught,WJ Lubbe
ball,1,2.4,Paarl Royals,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,"",""
ball,1,2.5,Paarl Royals,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,"",""
ball,1,2.6,Paarl Royals,JJ Roy,JC Buttler,JC Archer,0,0,,,,,,"",""
ball,1,3.1,Paarl Royals,JC Buttler,JJ Roy,GF Linde,4,0,,,,,,"",""
ball,1,3.2,Paarl Royals,JC Buttler,JJ Roy,GF Linde,0,0,,,,,,"",""
ball,1,3.3,Paarl Royals,JC Buttler,JJ Roy,GF Linde,4,0,,,,,,"",""
ball,1,3.4,Paarl Royals,JC Buttler,JJ Roy,GF Linde,0,0,,,,,,"",""
