version,1.7.0
info,balls_per_over,6
info,team,Abu Dhabi Knight Riders
info,team,Dubai Capitals
info,gender,male
info,season,2023/24
info,date,2024/01/25
info,event,International League T20
info,match_number,8
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Dubai Capitals
info,toss_decision,field
info,player_of_match,SW Billings
info,umpire,Aleem Dar
info,umpire,Aasif Iqbal
info,reserve_umpire,RSA Palliyaguruge
info,tv_umpire,P Wilson
info,match_referee,A Barnes
info,winner,Dubai Capitals
info,winner_wickets,5
info,player,Abu Dhabi Knight Riders,A Sharafu
info,player,Abu Dhabi Knight Riders,AGS Gous
info,player,Abu Dhabi Knight Riders,MS Pepper
info,player,Abu Dhabi Knight Riders,SR Hain
info,player,Abu Dhabi Knight Riders,LJ Evans
info,player,Abu Dhabi Knight Riders,AD Russell
info,player,Abu Dhabi Knight Riders,Imad Wasim
info,player,Abu Dhabi Knight Riders,DJ Willey
info,player,Abu Dhabi Knight Riders,SP Narine
info,player,Abu Dhabi Knight Riders,J Little
info,player,Abu Dhabi Knight Riders,Matiullah Khan
info,player,Abu Dhabi Knight Riders,Ali Khan
info,player,Dubai Capitals,DA Warner
info,player,Dubai Capitals,Rahmanullah Gurbaz
info,player,Dubai Capitals,J Fraser-McGurk
info,player,Dubai Capitals,SW Billings
info,player,Dubai Capitals,Sikandar Raza
info,player,Dubai Capitals,R Powell
info,player,Dubai Capitals,R Chopra
info,player,Dubai Capitals,JO Holder
info,player,Dubai Capitals,RE van der Merwe
info,player,Dubai Capitals,KW Richardson
info,player,Dubai Capitals,Akif Raja
info,player,Dubai Capitals,PVD Chameera
info,registry,people,A Barnes,f9607922
info,registry,people,A Sharafu,06cad4f0
info,registry,people,AD Russell,bbd41817
info,registry,people,AGS Gous,d1305df0
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Akif Raja,9d0344f3
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Ali Khan,b0eaaac6
info,registry,people,DA Warner,dcce6f09
info,registry,people,DJ Willey,7f048519
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,J Little,9061a703
info,registry,people,JO Holder,0f721006
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,LJ Evans,1c513d54
info,registry,people,MS Pepper,270e4c23
info,registry,people,Matiullah Khan,083e01d9
info,registry,people,P Wilson,68304a36
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Chopra,a71d0f89
info,registry,people,R Powell,650d5e49
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,SP Narine,9d430b40
info,registry,people,SR Hain,67b9536c
info,registry,people,SW Billings,c16d4035
info,registry,people,Sikandar Raza,26d041c4
ball,1,0.1,Abu Dhabi Knight Riders,A Sharafu,AGS Gous,JO Holder,1,0,,,,,,"",""
ball,1,0.2,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,0,0,,,,,,"",""
ball,1,0.3,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,0,1,1,,,,,"",""
ball,1,0.4,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,2,0,,,,,,"",""
ball,1,0.5,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,2,0,,,,,,"",""
ball,1,0.6,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,0,0,,,,,,"",""
ball,1,0.7,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,JO Holder,0,0,,,,,,"",""
ball,1,1.1,Abu Dhabi Knight Riders,A Sharafu,AGS Gous,PVD Chameera,0,0,,,,,,"",""
ball,1,1.2,Abu Dhabi Knight Riders,A Sharafu,AGS Gous,PVD Chameera,1,0,,,,,,"",""
ball,1,1.3,Abu Dhabi Knight Riders,AGS Gous,A Sharafu,PVD Chameera,0,0,,,,,,bowled,AGS Gous
ball,1,1.4,Abu Dhabi Knight Riders,MS Pepper,A Sharafu,PVD Chameera,4,0,,,,,,"",""
ball,1,1.5,Abu Dhabi Knight Riders,MS Pepper,A Sharafu,PVD Chameera,0,0,,,,,,"",""
ball,1,1.6,Abu Dhabi Knight Riders,MS Pepper,A Sharafu,PVD Chameera,0,0,,,,,,caught,MS Pepper
ball,1,2.1,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,5,5,,,,,"",""
ball,1,2.2,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,0,,,,,,"",""
ball,1,2.3,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,0,,,,,,"",""
ball,1,2.4,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,0,,,,,,"",""
ball,1,2.5,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,4,0,,,,,,"",""
ball,1,2.6,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,0,,,,,,"",""
ball,1,2.7,Abu Dhabi Knight Riders,A Sharafu,SR Hain,JO Holder,0,0,,,,,,"",""
ball,1,3.1,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,4,0,,,,,,"",""
ball,1,3.2,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,0,0,,,,,,"",""
ball,1,3.3,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,0,0,,,,,,"",""
ball,1,3.4,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,6,0,,,,,,"",""
ball,1,3.5,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,0,0,,,,,,"",""
ball,1,3.6,Abu Dhabi Knight Riders,SR Hain,A Sharafu,PVD Chameera,4,0,,,,,,"",""
ball,1,4.1,Abu Dhabi Knight Riders,A Sharafu,SR Hain,KW Richardson,2,0,,,,,,"",""
ball,1,4.2,Abu Dhabi Knight Riders,A Sharafu,SR Hain,KW Richardson,1,0,,,,,,"",""
ball,1,4.3,Abu Dhabi Knight Riders,SR Hain,A Sharafu,KW Richardson,0,0,,,,,,"",""
ball,1,4.4,Abu Dhabi Knight Riders,SR Hain,A Sharafu,KW Richardson,0,0,,,,,,"",""
ball,1,4.5,Abu Dhabi Knight Riders,SR Hain,A Sharafu,KW Richardson,0,0,,,,,,"",""
ball,1,4.6,Abu Dhabi Knight Riders,SR Hain,A Sharafu,KW Richardson,4,0,,,,,,"",""
ball,1,5.1,Abu Dhabi Knight Riders,A Sharafu,SR Hain,Akif Raja,0,0,,,,,,"",""
ball,1,5.2,Abu Dhabi Knight Riders,A Sharafu,SR Hain,Akif Raja,4,0,,,,,,"",""
ball,1,5.3,Abu Dhabi Knight Riders,A Sharafu,SR Hain,Akif Raja,1,0,,,,,,"",""
ball,1,5.4,Abu Dhabi Knight Riders,SR Hain,A Sharafu,Akif Raja,1,0,,,,,,"",""
ball,1,5.5,Abu Dhabi Knight Riders,A Sharafu,SR Hain,Akif Raja,0,0,,,,,,"",""
ball,1,5.6,Abu Dhabi Knight Riders,A Sharafu,SR Hain,Akif Raja,1,0,,,,,,"",""
ball,1,6.1,Abu Dhabi Knight Riders,A Sharafu,SR Hain,RE van der Merwe,0,0,,,,,,"",""
ball,1,6.2,Abu Dhabi Knight Riders,A Sharafu,SR Hain,RE van der Merwe,0,0,,,,,,caught,A Sharafu
ball,1,6.3,Abu Dhabi Knight Riders,LJ Evans,SR Hain,RE van der Merwe,1,0,,,,,,"",""
ball,1,6.4,Abu Dhabi Knight Riders,SR Hain,LJ Evans,RE van der Merwe,1,0,,,,,,"",""
ball,1,6.5,Abu Dhabi Knight Riders,LJ Evans,SR Hain,RE van der Merwe,0,0,,,,,,"",""
ball,1,6.6,Abu Dhabi Knight Riders,LJ Evans,SR Hain,RE van der Merwe,2,0,,,,,,"",""
ball,1,7.1,Abu Dhabi Knight Riders,SR Hain,LJ Evans,Sikandar Raza,1,0,,,,,,"",""
ball,1,7.2,Abu Dhabi Knight Riders,LJ Evans,SR Hain,Sikandar Raza,0,0,,,,,,"",""
ball,1,7.3,Abu Dhabi Knight Riders,LJ Evans,SR Hain,Sikandar Raza,1,0,,,,,,"",""
