version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Hobart Hurricanes
info,gender,male
info,season,2025/26
info,date,2025/12/26
info,event,Big Bash League
info,match_number,12
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,TH David
info,umpire,MW Graham-Smith
info,umpire,SAJ Craig
info,reserve_umpire,Sharad Patel
info,tv_umpire,D Crozier
info,match_referee,CA Burke
info,winner,Hobart Hurricanes
info,winner_wickets,4
info,player,Perth Scorchers,MR Marsh
info,player,Perth Scorchers,FH Allen
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,LJ Evans
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JS Paris
info,player,Perth Scorchers,BL Couch
info,player,Perth Scorchers,M Beardman
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,TP Ward
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,TH David
info,player,Hobart Hurricanes,M Wright
info,player,Hobart Hurricanes,Rehan Ahmed
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,Rishad Hossain
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BL Couch,be69e09d
info,registry,people,BR McDermott,c41043e6
info,registry,people,C Connolly,fe366f34
info,registry,people,CA Burke,629654e6
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,D Crozier,635509c0
info,registry,people,FH Allen,bf74b130
info,registry,people,JS Paris,7c8f533d
info,registry,people,LJ Evans,1c513d54
info,registry,people,M Beardman,b5a12740
info,registry,people,M Wright,bd920a2c
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NR Hobson,4312e0fd
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,RP Meredith,64775749
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SAJ Craig,689f2eed
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,TH David,f1f99156
info,registry,people,TP Ward,fdd837ba
ball,1,0.1,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,0,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,4,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,0,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,4,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,0,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,MR Marsh,FH Allen,CJ Jordan,0,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,FH Allen,MR Marsh,RP Meredith,0,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,FH Allen,MR Marsh,RP Meredith,1,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,MR Marsh,FH Allen,RP Meredith,0,0,,,,,,"",""
ball,1,1.4,Perth Scorchers,MR Marsh,FH Allen,RP Meredith,1,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,FH Allen,MR Marsh,RP Meredith,1,0,,,,,,"",""
ball,1,1.6,Perth Scorchers,MR Marsh,FH Allen,RP Meredith,6,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,FH Allen,MR Marsh,NT Ellis,1,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,MR Marsh,FH Allen,NT Ellis,0,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,MR Marsh,FH Allen,NT Ellis,1,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,FH Allen,MR Marsh,NT Ellis,2,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,FH Allen,MR Marsh,NT Ellis,4,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,FH Allen,MR Marsh,NT Ellis,0,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,MR Marsh,FH Allen,RP Meredith,0,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,MR Marsh,FH Allen,RP Meredith,0,0,,,,,,caught,MR Marsh
ball,1,3.3,Perth Scorchers,C Connolly,FH Allen,RP Meredith,0,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,C Connolly,FH Allen,RP Meredith,0,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,C Connolly,FH Allen,RP Meredith,4,0,,,,,,"",""
ball,1,3.6,Perth Scorchers,C Connolly,FH Allen,RP Meredith,0,0,,,,,,"",""
ball,1,4.1,Perth Scorchers,FH Allen,C Connolly,Rishad Hossain,0,0,,,,,,"",""
ball,1,4.2,Perth Scorchers,FH Allen,C Connolly,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.3,Perth Scorchers,C Connolly,FH Allen,Rishad Hossain,1,0,,,,,,"",""
ball,1,4.4,Perth Scorchers,FH Allen,C Connolly,Rishad Hossain,6,0,,,,,,"",""
ball,1,4.5,Perth Scorchers,FH Allen,C Connolly,Rishad Hossain,0,0,,,,,,"",""
ball,1,4.6,Perth Scorchers,FH Allen,C Connolly,Rishad Hossain,1,0,,,,,,"",""
