version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2024/25
info,date,2025/02/08
info,event,Pakistan Tri-Nation Series
info,match_number,1
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,GD Phillips
info,umpire,Faisal Afridi
info,umpire,MA Gough
info,reserve_umpire,Rashid Riaz
info,tv_umpire,RK Illingworth
info,match_referee,DC Boon
info,winner,New Zealand
info,winner_runs,78
info,player,New Zealand,WA Young
info,player,New Zealand,R Ravindra
info,player,New Zealand,KS Williamson
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,TWM Latham
info,player,New Zealand,GD Phillips
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MJ Santner
info,player,New Zealand,MJ Henry
info,player,New Zealand,BV Sears
info,player,New Zealand,W O'Rourke
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Babar Azam
info,player,Pakistan,Kamran Ghulam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Agha Salman
info,player,Pakistan,Tayyab Tahir
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Abrar Ahmed
info,player,Pakistan,Haris Rauf
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Agha Salman,89c16049
info,registry,people,BV Sears,e1891e00
info,registry,people,Babar Azam,8a75e999
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Mitchell,eade4650
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,KS Williamson,d027ba9f
info,registry,people,Kamran Ghulam,35f4cf7e
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,MA Gough,76752ac8
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,NG Smith,05b1aef8
info,registry,people,Naseem Shah,9c9af282
info,registry,people,R Ravindra,ba5e1069
info,registry,people,RK Illingworth,20672246
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Saud Shakeel,d07c1b2f
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TWM Latham,e824e6ee
info,registry,people,Tayyab Tahir,431f8af4
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,WA Young,8afe73e2
ball,1,0.1,New Zealand,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.2,New Zealand,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.3,New Zealand,WA Young,R Ravindra,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,0.4,New Zealand,WA Young,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,caught,WA Young
ball,1,0.5,New Zealand,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.6,New Zealand,KS Williamson,R Ravindra,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.1,New Zealand,R Ravindra,KS Williamson,Naseem Shah,0,0,,,,,,"",""
ball,1,1.2,New Zealand,R Ravindra,KS Williamson,Naseem Shah,1,0,,,,,,"",""
ball,1,1.3,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,1.4,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,1,1,,,,,"",""
ball,1,1.5,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,1.6,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,1.7,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,2.1,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.2,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,2.3,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.4,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.5,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.6,New Zealand,R Ravindra,KS Williamson,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,3.1,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,3.2,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,3.3,New Zealand,KS Williamson,R Ravindra,Naseem Shah,0,0,,,,,,"",""
ball,1,3.4,New Zealand,KS Williamson,R Ravindra,Naseem Shah,1,0,,,,,,"",""
ball,1,3.5,New Zealand,R Ravindra,KS Williamson,Naseem Shah,0,0,,,,,,"",""
