version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Melbourne Renegades
info,gender,male
info,season,2022/23
info,date,2022/12/28
info,event,Big Bash League
info,match_number,18
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,BJ Dwarshuis
info,umpire,P Wilson
info,umpire,Sharad Patel
info,reserve_umpire,Roberto Howard
info,tv_umpire,GA Abood
info,match_referee,Dave Gilbert
info,winner,Sydney Sixers
info,winner_runs,34
info,player,Sydney Sixers,KR Patterson
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,DT Christian
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,JM Bird
info,player,Sydney Sixers,T Murphy
info,player,Melbourne Renegades,MJ Guptill
info,player,Melbourne Renegades,NJ Maddinson
info,player,Melbourne Renegades,AJ Finch
info,player,Melbourne Renegades,SE Marsh
info,player,Melbourne Renegades,JW Wells
info,player,Melbourne Renegades,PSP Handscomb
info,player,Melbourne Renegades,AJ Hosein
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,KW Richardson
info,player,Melbourne Renegades,Mujeeb Ur Rahman
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,DT Christian,2a2e6343
info,registry,people,Dave Gilbert,aa782370
info,registry,people,GA Abood,a4af5528
info,registry,people,H Kerr,f422728b
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Bird,bc773eeb
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,JW Wells,8bdac857
info,registry,people,KR Patterson,e3bf8356
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Guptill,2be41edb
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NJ Maddinson,44afbf2d
info,registry,people,P Wilson,68304a36
info,registry,people,PSP Handscomb,ada15e88
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SE Marsh,508a1ea7
info,registry,people,Sharad Patel,8e6dd3ba
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Sydney Sixers,KR Patterson,JR Philippe,AJ Hosein,1,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,0,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,3,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,KR Patterson,JR Philippe,AJ Hosein,1,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,0,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,4,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,0,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,0,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,0,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,4,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,KR Patterson,JR Philippe,TS Rogers,4,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,1,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,KR Patterson,JR Philippe,AJ Hosein,0,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,KR Patterson,JR Philippe,AJ Hosein,1,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,4,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,0,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,JR Philippe,KR Patterson,AJ Hosein,4,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,KR Patterson,JR Philippe,KW Richardson,0,0,,,,,,"",""
ball,1,3.2,Sydney Sixers,KR Patterson,JR Philippe,KW Richardson,0,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,KR Patterson,JR Philippe,KW Richardson,0,0,,,,,,"",""
ball,1,3.4,Sydney Sixers,KR Patterson,JR Philippe,KW Richardson,1,0,,,,,,"",""
ball,1,3.5,Sydney Sixers,JR Philippe,KR Patterson,KW Richardson,0,0,,,,,,"",""
ball,1,3.6,Sydney Sixers,JR Philippe,KR Patterson,KW Richardson,1,0,,,,,,"",""
