version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Melbourne Renegades
info,gender,male
info,season,2023/24
info,date,2023/12/08
info,event,Big Bash League
info,match_number,2
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,SPD Smith
info,umpire,BNJ Oxenford
info,umpire,MW Graham-Smith
info,reserve_umpire,CA Polosak
info,tv_umpire,GJ Davidson
info,match_referee,Kent Hannam
info,winner,Sydney Sixers
info,winner_runs,8
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,SPD Smith
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,TK Curran
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,JM Bird
info,player,Sydney Sixers,SNJ O'Keefe
info,player,Melbourne Renegades,NJ Maddinson
info,player,Melbourne Renegades,JM Clarke
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,JM Cox
info,player,Melbourne Renegades,AJ Finch
info,player,Melbourne Renegades,JW Wells
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,KW Richardson
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,Mujeeb Ur Rahman
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Finch,b8d490fd
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CA Polosak,26a360d2
info,registry,people,GJ Davidson,31ad5973
info,registry,people,J Edwards,f787e0eb
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Bird,bc773eeb
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JM Cox,ff154ecd
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,JW Wells,8bdac857
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,MC Henriques,32198ae0
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NJ Maddinson,44afbf2d
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SNJ O'Keefe,3540beff
info,registry,people,SPD Smith,30a45b23
info,registry,people,TK Curran,e86754b2
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,4,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,0,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,1,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,0,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,1,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,SPD Smith,JR Philippe,KW Richardson,0,1,1,,,,,"",""
ball,1,1.2,Sydney Sixers,SPD Smith,JR Philippe,KW Richardson,1,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,JR Philippe,SPD Smith,KW Richardson,4,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,JR Philippe,SPD Smith,KW Richardson,0,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,JR Philippe,SPD Smith,KW Richardson,0,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,JR Philippe,SPD Smith,KW Richardson,4,0,,,,,,"",""
ball,1,1.7,Sydney Sixers,JR Philippe,SPD Smith,KW Richardson,4,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,0,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,4,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,6,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,SPD Smith,JR Philippe,TS Rogers,1,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,0,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,JR Philippe,SPD Smith,TS Rogers,4,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,SPD Smith,JR Philippe,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,3.2,Sydney Sixers,SPD Smith,JR Philippe,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,SPD Smith,JR Philippe,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,3.4,Sydney Sixers,SPD Smith,JR Philippe,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,3.5,Sydney Sixers,JR Philippe,SPD Smith,Mujeeb Ur Rahman,0,0,,,,,,"",""
