version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,female
info,season,2025/26
info,date,2025/10/18
info,event,ICC Women's World Cup
info,match_number,19
info,venue,"R Premadasa Stadium, Colombo"
info,city,Colombo
info,toss_winner,New Zealand
info,toss_decision,field
info,umpire,K Klaaste
info,umpire,N Janani
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,VG Rathi
info,match_referee,SA Fritz
info,outcome,no result
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Umaima Sohail
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Fatima Sana
info,player,Pakistan,Sidra Nawaz
info,player,Pakistan,Rameen Shamim
info,player,Pakistan,Diana Baig
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Sadia Iqbal
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IC Gaze
info,player,New Zealand,JM Kerr
info,player,New Zealand,RA Mair
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,EJ Carson
info,registry,people,AC Kerr,7673c908
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,Diana Baig,a51e6c6e
info,registry,people,EJ Carson,7693851c
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,GE Plimmer,575494db
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Kerr,9af58032
info,registry,people,K Klaaste,6cc1d918
info,registry,people,LMM Tahuhu,60471339
info,registry,people,ML Green,865eae1f
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,N Janani,d06a665d
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,RA Mair,d5eb8b84
info,registry,people,Rameen Shamim,0b78b7c1
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Sadia Iqbal,53bb50f0
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Sidra Nawaz,ca3ded6f
info,registry,people,Umaima Sohail,821d7d46
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,4,0,,,,,,"",""
ball,1,0.2,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,0,0,,,,,,"",""
ball,1,0.3,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,0,0,,,,,,"",""
ball,1,0.4,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,0,0,,,,,,"",""
ball,1,0.5,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,0,1,1,,,,,"",""
ball,1,0.7,Pakistan,Muneeba Ali,Umaima Sohail,RA Mair,4,0,,,,,,"",""
ball,1,1.1,Pakistan,Umaima Sohail,Muneeba Ali,JM Kerr,0,1,1,,,,,"",""
ball,1,1.2,Pakistan,Umaima Sohail,Muneeba Ali,JM Kerr,0,1,1,,,,,"",""
ball,1,1.3,Pakistan,Umaima Sohail,Muneeba Ali,JM Kerr,1,0,,,,,,"",""
ball,1,1.4,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,0,0,,,,,,"",""
ball,1,1.6,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,0,0,,,,,,"",""
ball,1,1.7,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,0,0,,,,,,"",""
ball,1,1.8,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,0,0,,,,,,"",""
ball,1,2.1,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,2.4,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,2.5,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,2.6,Pakistan,Umaima Sohail,Muneeba Ali,RA Mair,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Muneeba Ali,Umaima Sohail,JM Kerr,2,0,,,,,,"",""
