version,1.7.0
info,balls_per_over,6
info,team,South Australia
info,team,Western Australia
info,gender,male
info,season,2024/25
info,date,2024/09/24
info,event,One-Day Cup (Australia)
info,match_number,3
info,venue,"Cricket Central, Sydney"
info,city,Sydney
info,toss_winner,Western Australia
info,toss_decision,field
info,player_of_match,N McAndrew
info,umpire,DM Koch
info,umpire,SJ Nogajski
info,match_referee,RW Stratford
info,winner,South Australia
info,winner_runs,2
info,player,South Australia,MW Harvey
info,player,South Australia,HJ Hunt
info,player,South Australia,DR Drew
info,player,South Australia,NA McSweeney
info,player,South Australia,T Kelly
info,player,South Australia,L Scott
info,player,South Australia,BAD Manenti
info,player,South Australia,HJ Nielsen
info,player,South Australia,N McAndrew
info,player,South Australia,HTRY Thornton
info,player,South Australia,WA Agar
info,player,Western Australia,CT Bancroft
info,player,Western Australia,DJM Short
info,player,Western Australia,SM Whiteman
info,player,Western Australia,HWR Cartwright
info,player,Western Australia,AJ Turner
info,player,Western Australia,AC Agar
info,player,Western Australia,BJ Holt
info,player,Western Australia,M Kelly
info,player,Western Australia,AJ Tye
info,player,Western Australia,BA Jackson
info,player,Western Australia,LR Morris
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,BA Jackson,3141b833
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BJ Holt,f05d1564
info,registry,people,CT Bancroft,399b0b94
info,registry,people,DJM Short,1a156c88
info,registry,people,DM Koch,6d10c034
info,registry,people,DR Drew,88684a42
info,registry,people,HJ Hunt,62ef4abe
info,registry,people,HJ Nielsen,0ea1455a
info,registry,people,HTRY Thornton,055be93a
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,L Scott,0ebb3444
info,registry,people,LR Morris,b08e58e2
info,registry,people,M Kelly,68e26ec9
info,registry,people,MW Harvey,47dc9794
info,registry,people,N McAndrew,38c276e1
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,RW Stratford,85489579
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SM Whiteman,f4427cc6
info,registry,people,T Kelly,6ceb94d0
info,registry,people,WA Agar,15de1f5d
ball,1,0.1,South Australia,MW Harvey,HJ Hunt,LR Morris,0,0,,,,,,"",""
ball,1,0.2,South Australia,MW Harvey,HJ Hunt,LR Morris,2,0,,,,,,"",""
ball,1,0.3,South Australia,MW Harvey,HJ Hunt,LR Morris,0,0,,,,,,"",""
ball,1,0.4,South Australia,MW Harvey,HJ Hunt,LR Morris,0,0,,,,,,"",""
ball,1,0.5,South Australia,MW Harvey,HJ Hunt,LR Morris,0,0,,,,,,"",""
ball,1,0.6,South Australia,MW Harvey,HJ Hunt,LR Morris,1,0,,,,,,"",""
ball,1,1.1,South Australia,MW Harvey,HJ Hunt,M Kelly,1,0,,,,,,"",""
ball,1,1.2,South Australia,HJ Hunt,MW Harvey,M Kelly,0,0,,,,,,"",""
ball,1,1.3,South Australia,HJ Hunt,MW Harvey,M Kelly,0,0,,,,,,"",""
ball,1,1.4,South Australia,HJ Hunt,MW Harvey,M Kelly,1,0,,,,,,"",""
ball,1,1.5,South Australia,MW Harvey,HJ Hunt,M Kelly,0,0,,,,,,"",""
ball,1,1.6,South Australia,MW Harvey,HJ Hunt,M Kelly,0,0,,,,,,"",""
ball,1,2.1,South Australia,HJ Hunt,MW Harvey,LR Morris,2,0,,,,,,"",""
ball,1,2.2,South Australia,HJ Hunt,MW Harvey,LR Morris,0,0,,,,,,"",""
ball,1,2.3,South Australia,HJ Hunt,MW Harvey,LR Morris,0,0,,,,,,"",""
ball,1,2.4,South Australia,HJ Hunt,MW Harvey,LR Morris,0,0,,,,,,"",""
ball,1,2.5,South Australia,HJ Hunt,MW Harvey,LR Morris,0,1,1,,,,,"",""
ball,1,2.6,South Australia,HJ Hunt,MW Harvey,LR Morris,1,0,,,,,,"",""
ball,1,2.7,South Australia,MW Harvey,HJ Hunt,LR Morris,0,0,,,,,,"",""
ball,1,3.1,South Australia,HJ Hunt,MW Harvey,M Kelly,0,0,,,,,,"",""
ball,1,3.2,South Australia,HJ Hunt,MW Harvey,M Kelly,0,0,,,,,,"",""
ball,1,3.3,South Australia,HJ Hunt,MW Harvey,M Kelly,1,0,,,,,,"",""
