version,1.7.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Brisbane Heat
info,gender,female
info,season,2025/26
info,date,2025/11/15
info,event,Women's Big Bash League
info,match_number,10
info,venue,"Drummoyne Oval, Sydney"
info,city,Sydney
info,toss_winner,Brisbane Heat
info,toss_decision,field
info,player_of_match,L Lee
info,umpire,L McGill
info,umpire,Roberto Howard
info,reserve_umpire,P Jackson
info,tv_umpire,D Crozier
info,match_referee,J Stainer
info,winner,Hobart Hurricanes
info,winner_runs,16
info,method,D/L
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,DN Wyatt
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,NR Sciver-Brunt
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,R Trenaman
info,player,Hobart Hurricanes,H Silver-holmes
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,LCN Smith
info,player,Hobart Hurricanes,LG Smith
info,player,Brisbane Heat,GM Harris
info,player,Brisbane Heat,CR Knott
info,player,Brisbane Heat,JI Rodrigues
info,player,Brisbane Heat,JL Jonassen
info,player,Brisbane Heat,CA Henry
info,player,Brisbane Heat,N de Klerk
info,player,Brisbane Heat,G Redmayne
info,player,Brisbane Heat,NM Hancock
info,player,Brisbane Heat,ML Wrigley
info,player,Brisbane Heat,SU Ginger
info,player,Brisbane Heat,LK Hamilton
info,registry,people,CA Henry,75820733
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Crozier,635509c0
info,registry,people,DN Wyatt,a139c379
info,registry,people,EJ Villani,cde96d97
info,registry,people,G Redmayne,324b9eee
info,registry,people,GM Harris,72166006
info,registry,people,H Graham,99812d10
info,registry,people,H Silver-holmes,2bfc7199
info,registry,people,J Stainer,fcd293d7
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,L Lee,7b01ce83
info,registry,people,L McGill,ab999519
info,registry,people,LCN Smith,340202b0
info,registry,people,LG Smith,9c515112
info,registry,people,LK Hamilton,c347ffe6
info,registry,people,M Strano,f57d5dbb
info,registry,people,ML Wrigley,0b71685d
info,registry,people,N de Klerk,ea544967
info,registry,people,NJ Carey,dff806f4
info,registry,people,NM Hancock,af8c3a85
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Jackson,927313b1
info,registry,people,R Trenaman,877dd709
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,SU Ginger,803af9e0
ball,1,0.1,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,4,0,,,,,,"",""
ball,1,0.2,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,1,0,,,,,,"",""
ball,1,0.3,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,0,0,,,,,,"",""
ball,1,0.4,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,0,0,,,,,,"",""
ball,1,0.5,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,0,0,,,,,,"",""
ball,1,0.6,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,4,0,,,,,,"",""
ball,1,1.1,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,0,1,1,,,,,"",""
ball,1,1.2,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,0,0,,,,,,"",""
ball,1,1.3,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,0,1,1,,,,,"",""
ball,1,1.4,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,0,0,,,,,,"",""
ball,1,1.5,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,6,0,,,,,,"",""
ball,1,1.6,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,4,0,,,,,,"",""
ball,1,1.7,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,0,0,,,,,,"",""
ball,1,1.8,Hobart Hurricanes,L Lee,DN Wyatt,SU Ginger,4,0,,,,,,"",""
ball,1,2.1,Hobart Hurricanes,DN Wyatt,L Lee,NM Hancock,1,0,,,,,,"",""
ball,1,2.2,Hobart Hurricanes,L Lee,DN Wyatt,NM Hancock,0,0,,,,,,"",""
ball,1,2.3,Hobart Hurricanes,L Lee,DN Wyatt,NM Hancock,0,0,,,,,,"",""
ball,1,2.4,Hobart Hurricanes,L Lee,DN Wyatt,NM Hancock,4,0,,,,,,"",""
ball,1,2.5,Hobart Hurricanes,L Lee,DN Wyatt,NM Hancock,0,0,,,,,,"",""
ball,1,2.6,Hobart Hurricanes,L Lee,DN Wyatt,NM Hancock,1,0,,,,,,"",""
ball,1,3.1,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,3.2,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,3.3,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,3.4,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,3.5,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,3.6,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,4.1,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,1,0,,,,,,"",""
ball,1,4.2,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,4.3,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,1,1,,,,,"",""
ball,1,4.4,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,1,1,,,,,"",""
ball,1,4.5,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,4.6,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,4.7,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,2,0,,,,,,"",""
ball,1,4.8,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,6,0,,,,,,"",""
ball,1,5.1,Hobart Hurricanes,DN Wyatt,L Lee,JL Jonassen,0,1,,,,1,,"",""
ball,1,5.2,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,1,0,,,,,,"",""
ball,1,5.3,Hobart Hurricanes,DN Wyatt,L Lee,JL Jonassen,1,0,,,,,,"",""
ball,1,5.4,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,5.5,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,5.6,Hobart Hurricanes,L Lee,DN Wyatt,JL Jonassen,0,0,,,,,,"",""
ball,1,6.1,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,1,0,,,,,,"",""
ball,1,6.2,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,6.3,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,6.4,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,1,1,,1,,,,"",""
ball,1,6.5,Hobart Hurricanes,DN Wyatt,L Lee,LK Hamilton,1,0,,,,,,"",""
ball,1,6.6,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,2,0,,,,,,"",""
ball,1,6.7,Hobart Hurricanes,L Lee,DN Wyatt,LK Hamilton,0,0,,,,,,"",""
ball,1,7.1,Hobart Hurricanes,DN Wyatt,L Lee,GM Harris,1,0,,,,,,"",""
ball,1,7.2,Hobart Hurricanes,L Lee,DN Wyatt,GM Harris,1,0,,,,,,"",""
