version,1.7.0
info,balls_per_over,6
info,team,Falcons
info,team,Tornadoes
info,gender,female
info,season,2023
info,date,2023/04/03
info,event,FairBreak Invitational Tournament
info,match_number,1
info,venue,Kowloon Cricket Club
info,city,Kowloon
info,toss_winner,Tornadoes
info,toss_decision,field
info,player_of_match,Theertha Satish
info,umpire,JM Williams
info,umpire,V Kalidas
info,reserve_umpire,CA Polosak
info,tv_umpire,Lauren Agenbag
info,match_referee,SA Fritz
info,winner,Falcons
info,winner_runs,41
info,player,Falcons,AC Jayangani
info,player,Falcons,DN Wyatt
info,player,Falcons,Theertha Satish
info,player,Falcons,SW Bates
info,player,Falcons,M Hill
info,player,Falcons,M Kapp
info,player,Falcons,N Koncharoenkai
info,player,Falcons,S Tippoch
info,player,Falcons,Jahanara Alam
info,player,Falcons,K Arua
info,player,Falcons,A Gurung
info,player,Tornadoes,D van Niekerk
info,player,Tornadoes,SL Kalis
info,player,Tornadoes,SR Taylor
info,player,Tornadoes,S Luus
info,player,Tornadoes,Aliya Riaz
info,player,Tornadoes,M Musonda
info,player,Tornadoes,A Dowse
info,player,Tornadoes,WA Duraisingam
info,player,Tornadoes,C Sutthiruang
info,player,Tornadoes,Diana Baig
info,player,Tornadoes,SR Magar
info,registry,people,A Dowse,6506e13d
info,registry,people,A Gurung,10854c82
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,CA Polosak,26a360d2
info,registry,people,D van Niekerk,8c5775f3
info,registry,people,DN Wyatt,a139c379
info,registry,people,Diana Baig,a51e6c6e
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jahanara Alam,752183c1
info,registry,people,K Arua,8ce69204
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Hill,bf5e7711
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Musonda,94b52754
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,S Luus,6d76bc23
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,SR Magar,61c22ad0
info,registry,people,SR Taylor,92cf79a8
info,registry,people,SW Bates,89bbc67a
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Kalidas,42d76418
info,registry,people,WA Duraisingam,7467fe01
ball,1,0.1,Falcons,AC Jayangani,DN Wyatt,Diana Baig,0,0,,,,,,"",""
ball,1,0.2,Falcons,AC Jayangani,DN Wyatt,Diana Baig,1,0,,,,,,"",""
ball,1,0.3,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,0.4,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,0.5,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,0.6,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,1.1,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.2,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.3,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.4,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,1,1,,,,,"",""
ball,1,1.5,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.6,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.7,Falcons,AC Jayangani,DN Wyatt,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.1,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,2.2,Falcons,DN Wyatt,AC Jayangani,Diana Baig,0,0,,,,,,bowled,DN Wyatt
ball,1,2.3,Falcons,Theertha Satish,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,2.4,Falcons,Theertha Satish,AC Jayangani,Diana Baig,4,0,,,,,,"",""
ball,1,2.5,Falcons,Theertha Satish,AC Jayangani,Diana Baig,0,1,1,,,,,"",""
ball,1,2.6,Falcons,Theertha Satish,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,2.7,Falcons,Theertha Satish,AC Jayangani,Diana Baig,0,0,,,,,,"",""
ball,1,3.1,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.2,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,1,1,,,,,"",""
ball,1,3.3,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.4,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,4,0,,,,,,"",""
ball,1,3.5,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.6,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.7,Falcons,AC Jayangani,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,4.1,Falcons,Theertha Satish,AC Jayangani,Aliya Riaz,0,0,,,,,,"",""
ball,1,4.2,Falcons,Theertha Satish,AC Jayangani,Aliya Riaz,0,0,,,,,,"",""
