version,1.7.0
info,balls_per_over,6
info,team,Kent
info,team,Hampshire
info,gender,male
info,season,2017
info,date,2017/04/27
info,event,Royal London One-Day Cup
info,venue,"St Lawrence Ground, Canterbury"
info,city,Canterbury
info,toss_winner,Hampshire
info,toss_decision,field
info,umpire,MJ Saggers
info,umpire,PR Pollard
info,winner,Hampshire
info,winner_wickets,6
info,player,Kent,DJ Bell-Drummond
info,player,Kent,JL Denly
info,player,Kent,SR Dickson
info,player,Kent,SA Northeast
info,player,Kent,DI Stevens
info,player,Kent,AJ Blake
info,player,Kent,WD Parnell
info,player,Kent,AP Rouse
info,player,Kent,MT Coles
info,player,Kent,JC Tredwell
info,player,Kent,ME Claydon
info,player,Hampshire,MA Carberry
info,player,Hampshire,TP Alsop
info,player,Hampshire,JM Vince
info,player,Hampshire,LA Dawson
info,player,Hampshire,JHK Adams
info,player,Hampshire,SM Ervine
info,player,Hampshire,LD McManus
info,player,Hampshire,CP Wood
info,player,Hampshire,IG Holland
info,player,Hampshire,MS Crane
info,player,Hampshire,RJW Topley
info,registry,people,AJ Blake,ea27a674
info,registry,people,AP Rouse,46c5d4fb
info,registry,people,CP Wood,1cfac535
info,registry,people,DI Stevens,bca21d18
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,IG Holland,4167f30b
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JHK Adams,7cc15633
info,registry,people,JL Denly,bdadf7da
info,registry,people,JM Vince,a15618fe
info,registry,people,LA Dawson,4a461c24
info,registry,people,LD McManus,6feb46a4
info,registry,people,MA Carberry,8305580c
info,registry,people,ME Claydon,15101f12
info,registry,people,MJ Saggers,402d5937
info,registry,people,MS Crane,f0a0204e
info,registry,people,MT Coles,e9d5218e
info,registry,people,PR Pollard,85d884bb
info,registry,people,RJW Topley,8db7f47f
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SM Ervine,556302a7
info,registry,people,SR Dickson,2344bdd1
info,registry,people,TP Alsop,961b8ff1
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,0.2,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,0.3,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,0.4,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,0.5,Kent,DJ Bell-Drummond,JL Denly,CP Wood,1,0,,,,,,"",""
ball,1,0.6,Kent,JL Denly,DJ Bell-Drummond,CP Wood,0,0,,,,,,"",""
ball,1,1.1,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,1,,,,1,,"",""
ball,1,1.2,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,1,0,,,,,,"",""
ball,1,1.3,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,1.4,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,1.5,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,1.6,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,2.1,Kent,JL Denly,DJ Bell-Drummond,CP Wood,1,0,,,,,,"",""
ball,1,2.2,Kent,DJ Bell-Drummond,JL Denly,CP Wood,1,0,,,,,,"",""
ball,1,2.3,Kent,JL Denly,DJ Bell-Drummond,CP Wood,0,0,,,,,,"",""
ball,1,2.4,Kent,JL Denly,DJ Bell-Drummond,CP Wood,0,0,,,,,,"",""
ball,1,2.5,Kent,JL Denly,DJ Bell-Drummond,CP Wood,0,0,,,,,,"",""
ball,1,2.6,Kent,JL Denly,DJ Bell-Drummond,CP Wood,0,1,,,,1,,"",""
ball,1,3.1,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,3.2,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,3.3,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,4,0,,,,,,"",""
ball,1,3.4,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,3.5,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,3.6,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,4.1,Kent,DJ Bell-Drummond,JL Denly,CP Wood,3,0,,,,,,"",""
ball,1,4.2,Kent,JL Denly,DJ Bell-Drummond,CP Wood,3,0,,,,,,"",""
ball,1,4.3,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,1,1,,,,,"",""
ball,1,4.4,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,4.5,Kent,DJ Bell-Drummond,JL Denly,CP Wood,4,0,,,,,,"",""
ball,1,4.6,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,4.7,Kent,DJ Bell-Drummond,JL Denly,CP Wood,1,0,,,,,,"",""
ball,1,5.1,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,5.2,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,1,0,,,,,,"",""
ball,1,5.3,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,5.4,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,4,0,,,,,,"",""
ball,1,5.5,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,5.6,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,2,0,,,,,,"",""
ball,1,6.1,Kent,DJ Bell-Drummond,JL Denly,CP Wood,2,0,,,,,,"",""
ball,1,6.2,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,6.3,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,6.4,Kent,DJ Bell-Drummond,JL Denly,CP Wood,0,0,,,,,,"",""
ball,1,6.5,Kent,DJ Bell-Drummond,JL Denly,CP Wood,1,0,,,,,,"",""
ball,1,6.6,Kent,JL Denly,DJ Bell-Drummond,CP Wood,4,0,,,,,,"",""
ball,1,7.1,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,7.2,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,0,0,,,,,,"",""
ball,1,7.3,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,2,0,,,,,,"",""
ball,1,7.4,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,1,0,,,,,,"",""
ball,1,7.5,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,0,0,,,,,,"",""
ball,1,7.6,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,1,0,,,,,,"",""
ball,1,8.1,Kent,JL Denly,DJ Bell-Drummond,IG Holland,2,2,,2,,,,"",""
ball,1,8.2,Kent,JL Denly,DJ Bell-Drummond,IG Holland,4,0,,,,,,"",""
ball,1,8.3,Kent,JL Denly,DJ Bell-Drummond,IG Holland,1,0,,,,,,"",""
ball,1,8.4,Kent,DJ Bell-Drummond,JL Denly,IG Holland,1,0,,,,,,"",""
ball,1,8.5,Kent,JL Denly,DJ Bell-Drummond,IG Holland,3,0,,,,,,"",""
ball,1,8.6,Kent,DJ Bell-Drummond,JL Denly,IG Holland,0,0,,,,,,"",""
ball,1,8.7,Kent,DJ Bell-Drummond,JL Denly,IG Holland,4,0,,,,,,"",""
ball,1,9.1,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,1,0,,,,,,"",""
ball,1,9.2,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,1,0,,,,,,"",""
ball,1,9.3,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,4,0,,,,,,"",""
ball,1,9.4,Kent,JL Denly,DJ Bell-Drummond,RJW Topley,3,0,,,,,,"",""
ball,1,9.5,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,4,0,,,,,,"",""
ball,1,9.6,Kent,DJ Bell-Drummond,JL Denly,RJW Topley,1,0,,,,,,"",""
ball,1,10.1,Kent,DJ Bell-Drummond,JL Denly,IG Holland,4,0,,,,,,"",""
ball,1,10.2,Kent,DJ Bell-Drummond,JL Denly,IG Holland,0,0,,,,,,"",""
ball,1,10.3,Kent,DJ Bell-Drummond,JL Denly,IG Holland,1,0,,,,,,"",""
ball,1,10.4,Kent,JL Denly,DJ Bell-Drummond,IG Holland,0,0,,,,,,"",""
ball,1,10.5,Kent,JL Denly,DJ Bell-Drummond,IG Holland,0,0,,,,,,"",""
ball,1,10.6,Kent,JL Denly,DJ Bell-Drummond,IG Holland,0,0,,,,,,"",""
ball,1,11.1,Kent,DJ Bell-Drummond,JL Denly,LA Dawson,1,0,,,,,,"",""
ball,1,11.2,Kent,JL Denly,DJ Bell-Drummond,LA Dawson,0,0,,,,,,"",""
ball,1,11.3,Kent,JL Denly,DJ Bell-Drummond,LA Dawson,1,0,,,,,,"",""
ball,1,11.4,Kent,DJ Bell-Drummond,JL Denly,LA Dawson,1,0,,,,,,"",""
ball,1,11.5,Kent,JL Denly,DJ Bell-Drummond,LA Dawson,0,0,,,,,,"",""
ball,1,11.6,Kent,JL Denly,DJ Bell-Drummond,LA Dawson,0,0,,,,,,"",""
ball,1,12.1,Kent,DJ Bell-Drummond,JL Denly,IG Holland,1,0,,,,,,"",""
