version,1.7.0
info,balls_per_over,6
info,team,Wellington
info,team,Canterbury
info,gender,male
info,season,2023/24
info,date,2024/01/26
info,event,Super Smash
info,venue,"Seddon Park, Hamilton"
info,city,Hamilton
info,toss_winner,Wellington
info,toss_decision,bat
info,player_of_match,MJ Henry
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,PJ Pasco
info,tv_umpire,Glen Walklin
info,match_referee,K Pulley
info,winner,Canterbury
info,winner_wickets,4
info,player,Wellington,DP Conway
info,player,Wellington,GR Severin
info,player,Wellington,R Ravindra
info,player,Wellington,NF Kelly
info,player,Wellington,MA Abbas
info,player,Wellington,MG Bracewell
info,player,Wellington,NG Smith
info,player,Wellington,LV van Beek
info,player,Wellington,AF Milne
info,player,Wellington,PF Younghusband
info,player,Wellington,BV Sears
info,player,Canterbury,CJ Bowes
info,player,Canterbury,TWM Latham
info,player,Canterbury,HM Nicholls
info,player,Canterbury,CE McConchie
info,player,Canterbury,MJ Hay
info,player,Canterbury,BJ Jacobs
info,player,Canterbury,ZGF Foulkes
info,player,Canterbury,MJ Henry
info,player,Canterbury,KA Jamieson
info,player,Canterbury,IS Sodhi
info,player,Canterbury,W O'Rourke
info,registry,people,AF Milne,350bb1b1
info,registry,people,BJ Jacobs,972f217b
info,registry,people,BV Sears,e1891e00
info,registry,people,CE McConchie,d285acaf
info,registry,people,CJ Bowes,45df0e72
info,registry,people,CM Brown,448f4f1c
info,registry,people,DP Conway,df5a6881
info,registry,people,GR Severin,b1549dc0
info,registry,people,Glen Walklin,0070ed27
info,registry,people,HM Nicholls,03521fd3
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,K Pulley,644bf4ad
info,registry,people,KA Jamieson,68c56d09
info,registry,people,LV van Beek,782fb776
info,registry,people,MA Abbas,c3576908
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MJ Henry,e84ac20c
info,registry,people,NF Kelly,97f437ed
info,registry,people,NG Smith,05b1aef8
info,registry,people,PF Younghusband,149d0c18
info,registry,people,PJ Pasco,fd92a10c
info,registry,people,R Ravindra,ba5e1069
info,registry,people,TWM Latham,e824e6ee
info,registry,people,W O'Rourke,cb9b8664
info,registry,people,WR Knights,63cbf8d8
info,registry,people,ZGF Foulkes,30f92334
ball,1,0.1,Wellington,DP Conway,GR Severin,MJ Henry,0,0,,,,,,"",""
ball,1,0.2,Wellington,DP Conway,GR Severin,MJ Henry,1,0,,,,,,"",""
ball,1,0.3,Wellington,GR Severin,DP Conway,MJ Henry,1,0,,,,,,"",""
ball,1,0.4,Wellington,DP Conway,GR Severin,MJ Henry,0,0,,,,,,"",""
ball,1,0.5,Wellington,DP Conway,GR Severin,MJ Henry,1,0,,,,,,"",""
ball,1,0.6,Wellington,GR Severin,DP Conway,MJ Henry,1,0,,,,,,"",""
ball,1,1.1,Wellington,GR Severin,DP Conway,ZGF Foulkes,0,0,,,,,,"",""
ball,1,1.2,Wellington,GR Severin,DP Conway,ZGF Foulkes,0,0,,,,,,"",""
ball,1,1.3,Wellington,GR Severin,DP Conway,ZGF Foulkes,1,0,,,,,,"",""
ball,1,1.4,Wellington,DP Conway,GR Severin,ZGF Foulkes,0,0,,,,,,"",""
ball,1,1.5,Wellington,DP Conway,GR Severin,ZGF Foulkes,0,0,,,,,,"",""
ball,1,1.6,Wellington,DP Conway,GR Severin,ZGF Foulkes,1,0,,,,,,"",""
ball,1,2.1,Wellington,DP Conway,GR Severin,KA Jamieson,0,1,,,,1,,"",""
ball,1,2.2,Wellington,GR Severin,DP Conway,KA Jamieson,2,0,,,,,,"",""
ball,1,2.3,Wellington,GR Severin,DP Conway,KA Jamieson,0,0,,,,,,bowled,GR Severin
ball,1,2.4,Wellington,R Ravindra,DP Conway,KA Jamieson,0,0,,,,,,"",""
ball,1,2.5,Wellington,R Ravindra,DP Conway,KA Jamieson,0,0,,,,,,"",""
ball,1,2.6,Wellington,R Ravindra,DP Conway,KA Jamieson,1,0,,,,,,"",""
ball,1,3.1,Wellington,R Ravindra,DP Conway,ZGF Foulkes,1,0,,,,,,"",""
ball,1,3.2,Wellington,DP Conway,R Ravindra,ZGF Foulkes,0,1,1,,,,,"",""
ball,1,3.3,Wellington,DP Conway,R Ravindra,ZGF Foulkes,1,0,,,,,,"",""
ball,1,3.4,Wellington,R Ravindra,DP Conway,ZGF Foulkes,0,0,,,,,,bowled,R Ravindra
ball,1,3.5,Wellington,NF Kelly,DP Conway,ZGF Foulkes,2,0,,,,,,"",""
ball,1,3.6,Wellington,NF Kelly,DP Conway,ZGF Foulkes,0,0,,,,,,"",""
