version,1.6.0
info,balls_per_over,6
info,team,Karachi Kings
info,team,Peshawar Zalmi
info,gender,male
info,season,2019/20
info,date,2020/03/02
info,event,Pakistan Super League
info,match_number,15
info,venue,Rawalpindi Cricket Stadium
info,city,Rawalpindi
info,toss_winner,Karachi Kings
info,toss_decision,field
info,player_of_match,Mohammad Amir
info,umpire,REJ Martinesz
info,umpire,Tariq Rasheed
info,reserve_umpire,Saqib Khan
info,tv_umpire,Rashid Riaz
info,match_referee,RS Mahanama
info,winner,Karachi Kings
info,winner_wickets,6
info,player,Peshawar Zalmi,T Banton
info,player,Peshawar Zalmi,Kamran Akmal
info,player,Peshawar Zalmi,Haider Ali
info,player,Peshawar Zalmi,Shoaib Malik
info,player,Peshawar Zalmi,LS Livingstone
info,player,Peshawar Zalmi,L Gregory
info,player,Peshawar Zalmi,CR Brathwaite
info,player,Peshawar Zalmi,Wahab Riaz
info,player,Peshawar Zalmi,Hasan Ali
info,player,Peshawar Zalmi,Yasir Shah
info,player,Peshawar Zalmi,Rahat Ali
info,player,Karachi Kings,Sharjeel Khan
info,player,Karachi Kings,Babar Azam
info,player,Karachi Kings,AD Hales
info,player,Karachi Kings,CS Delport
info,player,Karachi Kings,CAK Walton
info,player,Karachi Kings,Iftikhar Ahmed
info,player,Karachi Kings,Imad Wasim
info,player,Karachi Kings,CJ Jordan
info,player,Karachi Kings,Umer Khan
info,player,Karachi Kings,Aamer Yamin
info,player,Karachi Kings,Mohammad Amir
info,registry,people,AD Hales,92aeac25
info,registry,people,Aamer Yamin,907d6e58
info,registry,people,Babar Azam,8a75e999
info,registry,people,CAK Walton,bbff906c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CR Brathwaite,e342e5fb
info,registry,people,CS Delport,afa78c3a
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Hasan Ali,2911de16
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,Kamran Akmal,ff077124
info,registry,people,L Gregory,06c2de82
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RS Mahanama,57910393
info,registry,people,Rahat Ali,a63775d6
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Saqib Khan,74644db4
info,registry,people,Sharjeel Khan,193ef196
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,T Banton,25f7b7d6
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Umer Khan,db3643f3
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Yasir Shah,f2800ef3
ball,1,0.1,Peshawar Zalmi,T Banton,Kamran Akmal,Mohammad Amir,0,0,,,,,,lbw,T Banton
ball,1,0.2,Peshawar Zalmi,Haider Ali,Kamran Akmal,Mohammad Amir,4,0,,,,,,"",""
ball,1,0.3,Peshawar Zalmi,Haider Ali,Kamran Akmal,Mohammad Amir,0,0,,,,,,bowled,Haider Ali
ball,1,0.4,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Mohammad Amir,0,0,,,,,,"",""
ball,1,0.5,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Mohammad Amir,0,0,,,,,,"",""
ball,1,0.6,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Mohammad Amir,1,0,,,,,,"",""
ball,1,1.1,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,1.2,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,1.3,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,1.4,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,1.5,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,1.6,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,0,0,,,,,,"",""
ball,1,2.1,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,0,0,,,,,,"",""
ball,1,2.2,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,4,0,,,,,,"",""
ball,1,2.3,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,0,0,,,,,,"",""
ball,1,2.4,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,0,0,,,,,,"",""
ball,1,2.5,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,0,0,,,,,,"",""
ball,1,2.6,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Mohammad Amir,0,0,,,,,,"",""
ball,1,3.1,Peshawar Zalmi,Shoaib Malik,Kamran Akmal,Aamer Yamin,1,0,,,,,,"",""
ball,1,3.2,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Aamer Yamin,0,0,,,,,,"",""
ball,1,3.3,Peshawar Zalmi,Kamran Akmal,Shoaib Malik,Aamer Yamin,0,0,,,,,,caught,Kamran Akmal
ball,1,3.4,Peshawar Zalmi,LS Livingstone,Shoaib Malik,Aamer Yamin,1,0,,,,,,"",""
ball,1,3.5,Peshawar Zalmi,Shoaib Malik,LS Livingstone,Aamer Yamin,0,0,,,,,,"",""
ball,1,3.6,Peshawar Zalmi,Shoaib Malik,LS Livingstone,Aamer Yamin,0,0,,,,,,"",""
ball,1,4.1,Peshawar Zalmi,LS Livingstone,Shoaib Malik,CJ Jordan,0,0,,,,,,"",""
ball,1,4.2,Peshawar Zalmi,LS Livingstone,Shoaib Malik,CJ Jordan,0,0,,,,,,"",""
ball,1,4.3,Peshawar Zalmi,LS Livingstone,Shoaib Malik,CJ Jordan,1,0,,,,,,"",""
ball,1,4.4,Peshawar Zalmi,Shoaib Malik,LS Livingstone,CJ Jordan,0,0,,,,,,"",""
ball,1,4.5,Peshawar Zalmi,Shoaib Malik,LS Livingstone,CJ Jordan,1,0,,,,,,"",""
ball,1,4.6,Peshawar Zalmi,LS Livingstone,Shoaib Malik,CJ Jordan,4,0,,,,,,"",""
