version,1.7.0
info,balls_per_over,6
info,team,Dubai Capitals
info,team,Desert Vipers
info,gender,male
info,season,2025/26
info,date,2025/12/02
info,event,International League T20
info,match_number,1
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,Desert Vipers
info,toss_decision,field
info,player_of_match,AGS Gous
info,umpire,Gazi Sohel
info,umpire,SJA Taufel
info,reserve_umpire,Ahmed Shah Pakteen
info,tv_umpire,LS Reifer
info,match_referee,RS Mahanama
info,winner,Desert Vipers
info,winner_wickets,4
info,player,Dubai Capitals,Sediqullah Atal
info,player,Dubai Capitals,Shayan Jahangir
info,player,Dubai Capitals,Gulbadin Naib
info,player,Dubai Capitals,JM Cox
info,player,Dubai Capitals,DJ Willey
info,player,Dubai Capitals,R Powell
info,player,Dubai Capitals,Mohammad Nabi
info,player,Dubai Capitals,MD Shanaka
info,player,Dubai Capitals,SW Currie
info,player,Dubai Capitals,Haider Ali
info,player,Dubai Capitals,Waqar Salamkheil
info,player,Dubai Capitals,Muhammad Jawadullah
info,player,Desert Vipers,Fakhar Zaman
info,player,Desert Vipers,AGS Gous
info,player,Desert Vipers,MDE Holden
info,player,Desert Vipers,SM Curran
info,player,Desert Vipers,DW Lawrence
info,player,Desert Vipers,SO Hetmyer
info,player,Desert Vipers,Hassan Nawaz
info,player,Desert Vipers,Khuzaima Tanveer
info,player,Desert Vipers,V Aravind
info,player,Desert Vipers,Noor Ahmad
info,player,Desert Vipers,DA Payne
info,player,Desert Vipers,Naseem Shah
info,registry,people,AGS Gous,d1305df0
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Haider Ali,dd572696
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,JM Cox,ff154ecd
info,registry,people,Khuzaima Tanveer,a3690f55
info,registry,people,LS Reifer,5dee559a
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MDE Holden,d34a2268
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,R Powell,650d5e49
info,registry,people,RS Mahanama,57910393
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,SM Curran,e94915e6
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SW Currie,c5f40e35
info,registry,people,Sediqullah Atal,3c28853f
info,registry,people,Shayan Jahangir,571e1d2a
info,registry,people,V Aravind,cddafe26
info,registry,people,Waqar Salamkheil,3f1066d0
ball,1,0.1,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,0,0,,,,,,"",""
ball,1,0.2,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,2,0,,,,,,"",""
ball,1,0.3,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,4,0,,,,,,"",""
ball,1,0.4,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,0,0,,,,,,"",""
ball,1,0.5,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,1,0,,,,,,"",""
ball,1,0.6,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,Naseem Shah,0,0,,,,,,"",""
ball,1,1.1,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,DA Payne,1,0,,,,,,"",""
ball,1,1.2,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,DA Payne,0,0,,,,,,"",""
ball,1,1.3,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,DA Payne,4,0,,,,,,"",""
ball,1,1.4,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,DA Payne,0,1,,,,1,,"",""
ball,1,1.5,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,DA Payne,0,0,,,,,,"",""
ball,1,1.6,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,DA Payne,0,0,,,,,,"",""
ball,1,2.1,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,Naseem Shah,0,1,1,,,,,"",""
ball,1,2.2,Dubai Capitals,Shayan Jahangir,Sediqullah Atal,Naseem Shah,0,1,,,,1,,"",""
ball,1,2.3,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,4,0,,,,,,"",""
ball,1,2.4,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,2,0,,,,,,"",""
ball,1,2.5,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,0,0,,,,,,"",""
ball,1,2.6,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,2,0,,,,,,"",""
ball,1,2.7,Dubai Capitals,Sediqullah Atal,Shayan Jahangir,Naseem Shah,0,0,,,,,,caught,Sediqullah Atal
ball,1,3.1,Dubai Capitals,Shayan Jahangir,Gulbadin Naib,SM Curran,3,0,,,,,,"",""
ball,1,3.2,Dubai Capitals,Gulbadin Naib,Shayan Jahangir,SM Curran,0,0,,,,,,caught and bowled,Gulbadin Naib
ball,1,3.3,Dubai Capitals,JM Cox,Shayan Jahangir,SM Curran,1,0,,,,,,"",""
ball,1,3.4,Dubai Capitals,Shayan Jahangir,JM Cox,SM Curran,1,0,,,,,,"",""
