version,1.7.0
info,balls_per_over,6
info,team,Brisbane Heat
info,team,Perth Scorchers
info,gender,male
info,season,2022/23
info,date,2023/01/11
info,event,Big Bash League
info,match_number,37
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,JP Behrendorff
info,umpire,Eloise Sheridan
info,umpire,MW Graham-Smith
info,reserve_umpire,J Adie
info,tv_umpire,BNJ Oxenford
info,match_referee,Kepler Wessels
info,winner,Perth Scorchers
info,winner_wickets,8
info,player,Brisbane Heat,UT Khawaja
info,player,Brisbane Heat,J Brown
info,player,Brisbane Heat,M Labuschagne
info,player,Brisbane Heat,MT Renshaw
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,M Bryant
info,player,Brisbane Heat,RA Whiteley
info,player,Brisbane Heat,MG Neser
info,player,Brisbane Heat,XC Bartlett
info,player,Brisbane Heat,MP Kuhnemann
info,player,Brisbane Heat,SH Johnson
info,player,Perth Scorchers,SS Eskinazi
info,player,Perth Scorchers,CT Bancroft
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,M Kelly
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,P Hatzoglou
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CT Bancroft,399b0b94
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,J Adie,259c0030
info,registry,people,J Brown,647e7d44
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,Kepler Wessels,3bedaff0
info,registry,people,M Bryant,f32012f4
info,registry,people,M Kelly,68e26ec9
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MG Neser,0164b064
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MT Renshaw,218d4d78
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NR Hobson,4312e0fd
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,RA Whiteley,d346d939
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,UT Khawaja,331ea488
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Brisbane Heat,UT Khawaja,J Brown,M Kelly,1,0,,,,,,"",""
ball,1,0.2,Brisbane Heat,J Brown,UT Khawaja,M Kelly,0,0,,,,,,"",""
ball,1,0.3,Brisbane Heat,J Brown,UT Khawaja,M Kelly,4,0,,,,,,"",""
ball,1,0.4,Brisbane Heat,J Brown,UT Khawaja,M Kelly,0,0,,,,,,"",""
ball,1,0.5,Brisbane Heat,J Brown,UT Khawaja,M Kelly,2,0,,,,,,"",""
ball,1,0.6,Brisbane Heat,J Brown,UT Khawaja,M Kelly,6,0,,,,,,"",""
ball,1,1.1,Brisbane Heat,UT Khawaja,J Brown,JP Behrendorff,1,0,,,,,,"",""
ball,1,1.2,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.3,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.4,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.5,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.6,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.1,Brisbane Heat,UT Khawaja,J Brown,AC Agar,2,0,,,,,,"",""
ball,1,2.2,Brisbane Heat,UT Khawaja,J Brown,AC Agar,4,0,,,,,,"",""
ball,1,2.3,Brisbane Heat,UT Khawaja,J Brown,AC Agar,0,0,,,,,,"",""
ball,1,2.4,Brisbane Heat,UT Khawaja,J Brown,AC Agar,1,0,,,,,,"",""
ball,1,2.5,Brisbane Heat,J Brown,UT Khawaja,AC Agar,0,0,,,,,,"",""
ball,1,2.6,Brisbane Heat,J Brown,UT Khawaja,AC Agar,6,0,,,,,,"",""
ball,1,3.1,Brisbane Heat,UT Khawaja,J Brown,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.2,Brisbane Heat,UT Khawaja,J Brown,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.3,Brisbane Heat,UT Khawaja,J Brown,JP Behrendorff,4,0,,,,,,"",""
ball,1,3.4,Brisbane Heat,UT Khawaja,J Brown,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.5,Brisbane Heat,J Brown,UT Khawaja,JP Behrendorff,0,0,,,,,,bowled,J Brown
ball,1,3.6,Brisbane Heat,M Labuschagne,UT Khawaja,JP Behrendorff,0,0,,,,,,"",""
ball,1,4.1,Brisbane Heat,UT Khawaja,M Labuschagne,AC Agar,1,0,,,,,,"",""
