version,1.7.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Perth Scorchers
info,gender,female
info,season,2025/26
info,date,2025/11/27
info,event,Women's Big Bash League
info,match_number,25
info,venue,"Junction Oval, Melbourne"
info,city,Melbourne
info,toss_winner,Perth Scorchers
info,toss_decision,field
info,player_of_match,SFM Devine
info,umpire,C Grant
info,umpire,MH Wessels
info,reserve_umpire,Malcolm Wood
info,tv_umpire,D Brigham
info,match_referee,RL Parry
info,winner,Perth Scorchers
info,winner_wickets,4
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,E de Broughe
info,player,Melbourne Renegades,S Molineux
info,player,Melbourne Renegades,A Capsey
info,player,Melbourne Renegades,G Wareham
info,player,Melbourne Renegades,DJS Dottin
info,player,Melbourne Renegades,N Faltum
info,player,Melbourne Renegades,IECM Wong
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,C Bekker
info,player,Melbourne Renegades,MH Illingworth
info,player,Perth Scorchers,BL Mooney
info,player,Perth Scorchers,SFM Devine
info,player,Perth Scorchers,KM Mack
info,player,Perth Scorchers,M Darke
info,player,Perth Scorchers,FG Kemp
info,player,Perth Scorchers,PJ Scholfield
info,player,Perth Scorchers,CC Ainsworth
info,player,Perth Scorchers,L Mills
info,player,Perth Scorchers,A King
info,player,Perth Scorchers,R Strange
info,player,Perth Scorchers,AL Edgar
info,registry,people,A Capsey,910dd54e
info,registry,people,A King,83558266
info,registry,people,AL Edgar,795ff893
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,C Bekker,1508c1ee
info,registry,people,C Grant,876ed858
info,registry,people,C Webb,1f4a8a2a
info,registry,people,CC Ainsworth,4b69c598
info,registry,people,D Brigham,464daf41
info,registry,people,DJS Dottin,53bee17f
info,registry,people,E de Broughe,5b8826e0
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,G Wareham,f0b4e47d
info,registry,people,IECM Wong,e5b17517
info,registry,people,KM Mack,ef13bd20
info,registry,people,L Mills,c35a0b8a
info,registry,people,M Darke,57a90666
info,registry,people,MH Illingworth,99dc3877
info,registry,people,MH Wessels,90f47cf2
info,registry,people,Malcolm Wood,c4e58bfb
info,registry,people,N Faltum,9a56c670
info,registry,people,PJ Scholfield,588360ee
info,registry,people,R Strange,3a3bd526
info,registry,people,RL Parry,86d151dc
info,registry,people,S Molineux,99e23670
info,registry,people,SFM Devine,de69af96
info,registry,people,SJ Coyte,a5f488bc
ball,1,0.1,Melbourne Renegades,C Webb,E de Broughe,CC Ainsworth,1,0,,,,,,"",""
ball,1,0.2,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.3,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.4,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.5,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,0.6,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,1.1,Melbourne Renegades,C Webb,E de Broughe,SFM Devine,0,1,1,,,,,"",""
ball,1,1.2,Melbourne Renegades,C Webb,E de Broughe,SFM Devine,1,0,,,,,,"",""
ball,1,1.3,Melbourne Renegades,E de Broughe,C Webb,SFM Devine,0,0,,,,,,"",""
ball,1,1.4,Melbourne Renegades,E de Broughe,C Webb,SFM Devine,0,5,5,,,,,"",""
ball,1,1.5,Melbourne Renegades,E de Broughe,C Webb,SFM Devine,4,0,,,,,,"",""
ball,1,1.6,Melbourne Renegades,E de Broughe,C Webb,SFM Devine,1,0,,,,,,"",""
ball,1,1.7,Melbourne Renegades,C Webb,E de Broughe,SFM Devine,0,0,,,,,,"",""
ball,1,1.8,Melbourne Renegades,C Webb,E de Broughe,SFM Devine,0,0,,,,,,"",""
ball,1,2.1,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.2,Melbourne Renegades,E de Broughe,C Webb,CC Ainsworth,1,0,,,,,,"",""
ball,1,2.3,Melbourne Renegades,C Webb,E de Broughe,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.4,Melbourne Renegades,C Webb,E de Broughe,CC Ainsworth,4,0,,,,,,"",""
ball,1,2.5,Melbourne Renegades,C Webb,E de Broughe,CC Ainsworth,0,0,,,,,,"",""
ball,1,2.6,Melbourne Renegades,C Webb,E de Broughe,CC Ainsworth,3,0,,,,,,"",""
ball,1,3.1,Melbourne Renegades,C Webb,E de Broughe,AL Edgar,0,0,,,,,,"",""
ball,1,3.2,Melbourne Renegades,C Webb,E de Broughe,AL Edgar,0,0,,,,,,caught and bowled,C Webb
ball,1,3.3,Melbourne Renegades,S Molineux,E de Broughe,AL Edgar,0,0,,,,,,"",""
ball,1,3.4,Melbourne Renegades,S Molineux,E de Broughe,AL Edgar,4,0,,,,,,"",""
ball,1,3.5,Melbourne Renegades,S Molineux,E de Broughe,AL Edgar,1,0,,,,,,"",""
ball,1,3.6,Melbourne Renegades,E de Broughe,S Molineux,AL Edgar,4,0,,,,,,"",""
ball,1,4.1,Melbourne Renegades,S Molineux,E de Broughe,SFM Devine,0,0,,,,,,"",""
ball,1,4.2,Melbourne Renegades,S Molineux,E de Broughe,SFM Devine,0,1,1,,,,,"",""
ball,1,4.3,Melbourne Renegades,S Molineux,E de Broughe,SFM Devine,0,0,,,,,,"",""
ball,1,4.4,Melbourne Renegades,S Molineux,E de Broughe,SFM Devine,0,0,,,,,,caught,S Molineux
ball,1,4.5,Melbourne Renegades,A Capsey,E de Broughe,SFM Devine,1,0,,,,,,"",""
ball,1,4.6,Melbourne Renegades,E de Broughe,A Capsey,SFM Devine,0,0,,,,,,caught,E de Broughe
ball,1,4.7,Melbourne Renegades,G Wareham,A Capsey,SFM Devine,2,0,,,,,,"",""
ball,1,5.1,Melbourne Renegades,A Capsey,G Wareham,A King,1,0,,,,,,"",""
ball,1,5.2,Melbourne Renegades,G Wareham,A Capsey,A King,1,0,,,,,,"",""
ball,1,5.3,Melbourne Renegades,A Capsey,G Wareham,A King,1,0,,,,,,"",""
ball,1,5.4,Melbourne Renegades,G Wareham,A Capsey,A King,1,0,,,,,,"",""
ball,1,5.5,Melbourne Renegades,A Capsey,G Wareham,A King,6,0,,,,,,"",""
ball,1,5.6,Melbourne Renegades,A Capsey,G Wareham,A King,0,0,,,,,,"",""
ball,1,6.1,Melbourne Renegades,G Wareham,A Capsey,R Strange,1,0,,,,,,"",""
ball,1,6.2,Melbourne Renegades,A Capsey,G Wareham,R Strange,0,0,,,,,,"",""
ball,1,6.3,Melbourne Renegades,A Capsey,G Wareham,R Strange,4,0,,,,,,"",""
ball,1,6.4,Melbourne Renegades,A Capsey,G Wareham,R Strange,0,0,,,,,,"",""
ball,1,6.5,Melbourne Renegades,A Capsey,G Wareham,R Strange,1,0,,,,,,"",""
ball,1,6.6,Melbourne Renegades,G Wareham,A Capsey,R Strange,0,0,,,,,,"",""
ball,1,7.1,Melbourne Renegades,A Capsey,G Wareham,L Mills,0,0,,,,,,bowled,A Capsey
ball,1,7.2,Melbourne Renegades,DJS Dottin,G Wareham,L Mills,0,0,,,,,,"",""
ball,1,7.3,Melbourne Renegades,DJS Dottin,G Wareham,L Mills,1,0,,,,,,"",""
ball,1,7.4,Melbourne Renegades,G Wareham,DJS Dottin,L Mills,4,0,,,,,,"",""
ball,1,7.5,Melbourne Renegades,G Wareham,DJS Dottin,L Mills,0,0,,,,,,"",""
ball,1,7.6,Melbourne Renegades,G Wareham,DJS Dottin,L Mills,1,0,,,,,,"",""
ball,1,8.1,Melbourne Renegades,G Wareham,DJS Dottin,A King,1,0,,,,,,"",""
