version,1.7.0
info,balls_per_over,6
info,team,Delhi
info,team,Uttar Pradesh
info,gender,male
info,season,2017/18
info,date,2018/01/25
info,event,Syed Mushtaq Ali Trophy
info,venue,"JU Second Campus, Salt Lake"
info,city,
info,toss_winner,Uttar Pradesh
info,toss_decision,field
info,winner,Delhi
info,winner_runs,3
info,player,Delhi,G Gambhir
info,player,Delhi,RR Pant
info,player,Delhi,DR Shorey
info,player,Delhi,UBT Chand
info,player,Delhi,N Rana
info,player,Delhi,Milind Kumar
info,player,Delhi,Lalit Yadav
info,player,Delhi,P Negi
info,player,Delhi,PJ Sangwan
info,player,Delhi,Suboth Bhati
info,player,Delhi,K Khejroliya
info,player,Uttar Pradesh,Amit Mishra
info,player,Uttar Pradesh,AS Rajpoot
info,player,Uttar Pradesh,Mohd Israr
info,player,Uttar Pradesh,Mohsin Khan
info,player,Uttar Pradesh,Umang Sharma
info,player,Uttar Pradesh,Shivam Chaudhary
info,player,Uttar Pradesh,Saurabh Kumar
info,player,Uttar Pradesh,SK Raina
info,player,Uttar Pradesh,RK Singh
info,player,Uttar Pradesh,AD Nath
info,player,Uttar Pradesh,SN Khan
info,registry,people,AD Nath,f10e94c4
info,registry,people,AS Rajpoot,db31895a
info,registry,people,Amit Mishra,40792cff
info,registry,people,DR Shorey,faa7365d
info,registry,people,G Gambhir,bb345e0b
info,registry,people,K Khejroliya,fa2f1dde
info,registry,people,Lalit Yadav,ad427b5c
info,registry,people,Milind Kumar,b4296080
info,registry,people,Mohd Israr,97334324
info,registry,people,Mohsin Khan,c33d8116
info,registry,people,N Rana,fb2d1dda
info,registry,people,P Negi,f62772e5
info,registry,people,PJ Sangwan,9fc0ef64
info,registry,people,RK Singh,0a509d6b
info,registry,people,RR Pant,919a3be2
info,registry,people,SK Raina,1dc12ab9
info,registry,people,SN Khan,f088b960
info,registry,people,Saurabh Kumar,2a6afc6f
info,registry,people,Shivam Chaudhary,e53af640
info,registry,people,Suboth Bhati,bee290b6
info,registry,people,UBT Chand,0c94f480
info,registry,people,Umang Sharma,6f0f39fb
ball,1,0.1,Delhi,G Gambhir,RR Pant,Amit Mishra,1,0,,,,,,"",""
ball,1,0.2,Delhi,RR Pant,G Gambhir,Amit Mishra,0,0,,,,,,"",""
ball,1,0.3,Delhi,RR Pant,G Gambhir,Amit Mishra,1,0,,,,,,"",""
ball,1,0.4,Delhi,G Gambhir,RR Pant,Amit Mishra,0,0,,,,,,"",""
ball,1,0.5,Delhi,G Gambhir,RR Pant,Amit Mishra,0,0,,,,,,caught,G Gambhir
ball,1,0.6,Delhi,DR Shorey,RR Pant,Amit Mishra,0,0,,,,,,"",""
ball,1,1.1,Delhi,RR Pant,DR Shorey,AS Rajpoot,0,0,,,,,,"",""
ball,1,1.2,Delhi,RR Pant,DR Shorey,AS Rajpoot,0,0,,,,,,"",""
ball,1,1.3,Delhi,RR Pant,DR Shorey,AS Rajpoot,1,0,,,,,,"",""
ball,1,1.4,Delhi,DR Shorey,RR Pant,AS Rajpoot,0,0,,,,,,"",""
ball,1,1.5,Delhi,DR Shorey,RR Pant,AS Rajpoot,4,0,,,,,,"",""
ball,1,1.6,Delhi,DR Shorey,RR Pant,AS Rajpoot,4,0,,,,,,"",""
ball,1,2.1,Delhi,RR Pant,DR Shorey,Amit Mishra,2,0,,,,,,"",""
ball,1,2.2,Delhi,RR Pant,DR Shorey,Amit Mishra,6,0,,,,,,"",""
ball,1,2.3,Delhi,RR Pant,DR Shorey,Amit Mishra,4,0,,,,,,"",""
ball,1,2.4,Delhi,RR Pant,DR Shorey,Amit Mishra,4,0,,,,,,"",""
ball,1,2.5,Delhi,RR Pant,DR Shorey,Amit Mishra,1,0,,,,,,"",""
ball,1,2.6,Delhi,DR Shorey,RR Pant,Amit Mishra,1,0,,,,,,"",""
ball,1,3.1,Delhi,DR Shorey,RR Pant,Mohd Israr,2,0,,,,,,"",""
ball,1,3.2,Delhi,DR Shorey,RR Pant,Mohd Israr,0,0,,,,,,"",""
ball,1,3.3,Delhi,DR Shorey,RR Pant,Mohd Israr,1,0,,,,,,"",""
