version,1.7.0
info,balls_per_over,6
info,team,Pretoria Capitals
info,team,MI Cape Town
info,gender,male
info,season,2022/23
info,date,2023/01/23
info,event,SA20
info,match_number,20
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,WG Jacks
info,umpire,A Paleker
info,umpire,LB Gcuma
info,reserve_umpire,Stephen Harris
info,tv_umpire,BP Jele
info,match_referee,ZTA Ndamane
info,winner,Pretoria Capitals
info,winner_runs,52
info,player,Pretoria Capitals,BKG Mendis
info,player,Pretoria Capitals,WG Jacks
info,player,Pretoria Capitals,RR Rossouw
info,player,Pretoria Capitals,TB de Bruyn
info,player,Pretoria Capitals,S Muthusamy
info,player,Pretoria Capitals,C Fortuin
info,player,Pretoria Capitals,JDS Neesham
info,player,Pretoria Capitals,WD Parnell
info,player,Pretoria Capitals,E Bosch
info,player,Pretoria Capitals,AU Rashid
info,player,Pretoria Capitals,A Nortje
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,SM Curran
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,G Roelofsen
info,player,MI Cape Town,OF Smith
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,JC Archer
info,player,MI Cape Town,K Rabada
info,registry,people,A Nortje,acdc62f5
info,registry,people,A Paleker,634b11ac
info,registry,people,AU Rashid,249d60c9
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Fortuin,f25cebec
info,registry,people,D Brevis,844e79d1
info,registry,people,D Potgieter,60fbf53a
info,registry,people,E Bosch,28d6c44d
info,registry,people,G Roelofsen,ac688e55
info,registry,people,GF Linde,e5437608
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JC Archer,5574750c
info,registry,people,JDS Neesham,9219eff0
info,registry,people,K Rabada,e62dd25d
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Pretorius,54c2b697
info,registry,people,OF Smith,23cca426
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S Muthusamy,7dfb8890
info,registry,people,SM Curran,e94915e6
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,TB de Bruyn,90d6cdea
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,WG Jacks,9caf69a1
info,registry,people,ZTA Ndamane,545cc6db
ball,1,0.1,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,0,0,,,,,,"",""
ball,1,0.2,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,0,0,,,,,,"",""
ball,1,0.3,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,1,0,,,,,,"",""
ball,1,0.4,Pretoria Capitals,WG Jacks,BKG Mendis,GF Linde,1,0,,,,,,"",""
ball,1,0.5,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,4,0,,,,,,"",""
ball,1,0.6,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,1,0,,,,,,"",""
ball,1,1.1,Pretoria Capitals,BKG Mendis,WG Jacks,K Rabada,1,0,,,,,,"",""
ball,1,1.2,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,0,1,1,,,,,"",""
ball,1,1.3,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,2,0,,,,,,"",""
ball,1,1.4,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,4,0,,,,,,"",""
ball,1,1.5,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,0,0,,,,,,"",""
ball,1,1.6,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,6,0,,,,,,"",""
ball,1,1.7,Pretoria Capitals,WG Jacks,BKG Mendis,K Rabada,2,0,,,,,,"",""
ball,1,2.1,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,4,0,,,,,,"",""
ball,1,2.2,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,0,0,,,,,,"",""
ball,1,2.3,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,4,0,,,,,,"",""
ball,1,2.4,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,6,0,,,,,,"",""
ball,1,2.5,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,0,0,,,,,,"",""
ball,1,2.6,Pretoria Capitals,BKG Mendis,WG Jacks,GF Linde,4,0,,,,,,"",""
ball,1,3.1,Pretoria Capitals,WG Jacks,BKG Mendis,JC Archer,0,0,,,,,,"",""
ball,1,3.2,Pretoria Capitals,WG Jacks,BKG Mendis,JC Archer,0,0,,,,,,"",""
ball,1,3.3,Pretoria Capitals,WG Jacks,BKG Mendis,JC Archer,0,0,,,,,,"",""
ball,1,3.4,Pretoria Capitals,WG Jacks,BKG Mendis,JC Archer,2,0,,,,,,"",""
ball,1,3.5,Pretoria Capitals,WG Jacks,BKG Mendis,JC Archer,4,0,,,,,,"",""
