version,1.6.0
info,balls_per_over,6
info,team,Uganda
info,team,Oman
info,gender,male
info,season,2018/19
info,date,2018/11/18
info,event,ICC World Cricket League Division Three
info,match_number,14
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,Fayyaz Butt
info,umpire,Akbar Ali
info,umpire,BB Pradhan
info,reserve_umpire,VK Jha
info,match_referee,V Narayan Kutty
info,winner,Oman
info,winner_wickets,10
info,player,Uganda,RG Mukasa
info,player,Uganda,A Otwani
info,player,Uganda,HB Kayondo
info,player,Uganda,RB Patel
info,player,Uganda,DM Nakrani
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,D Muhumuza
info,player,Uganda,Bilal Hassun
info,player,Uganda,F Nsubuga
info,player,Uganda,C Waiswa
info,player,Uganda,H Ssenyondo
info,player,Oman,TK Bhandari
info,player,Oman,Jatinder Singh
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Fayyaz Butt
info,player,Oman,Suraj Kumar
info,player,Oman,Bilal Khan
info,player,Oman,Kaleemullah
info,player,Oman,Jay Odedra
info,player,Oman,Mohammad Nadeem
info,player,Oman,Badal Singh
info,registry,people,A Otwani,6727fb4d
info,registry,people,Akbar Ali,e753931d
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,BB Pradhan,8603d942
info,registry,people,Badal Singh,54501715
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,C Waiswa,18db3f22
info,registry,people,D Muhumuza,7636b587
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,F Nsubuga,87e33d07
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,HB Kayondo,d26858c0
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Jay Odedra,526e006d
info,registry,people,Kaleemullah,72253b87
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Nestor Dhamba,b878fc9a
info,registry,people,RB Patel,f88dc8de
info,registry,people,RG Mukasa,011f6b42
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,Suraj Kumar,bb9d73d8
info,registry,people,TK Bhandari,561e1ee7
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Jha,5d46eb72
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,Uganda,RG Mukasa,A Otwani,Bilal Khan,0,0,,,,,,"",""
ball,1,0.2,Uganda,RG Mukasa,A Otwani,Bilal Khan,0,0,,,,,,"",""
ball,1,0.3,Uganda,RG Mukasa,A Otwani,Bilal Khan,0,0,,,,,,lbw,RG Mukasa
ball,1,0.4,Uganda,HB Kayondo,A Otwani,Bilal Khan,1,0,,,,,,"",""
ball,1,0.5,Uganda,A Otwani,HB Kayondo,Bilal Khan,0,0,,,,,,"",""
ball,1,0.6,Uganda,A Otwani,HB Kayondo,Bilal Khan,0,0,,,,,,"",""
ball,1,1.1,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,1.2,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,1.3,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,1.4,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,1.5,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,1.6,Uganda,HB Kayondo,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,2.1,Uganda,A Otwani,HB Kayondo,Bilal Khan,0,0,,,,,,"",""
ball,1,2.2,Uganda,A Otwani,HB Kayondo,Bilal Khan,4,0,,,,,,"",""
ball,1,2.3,Uganda,A Otwani,HB Kayondo,Bilal Khan,1,0,,,,,,"",""
ball,1,2.4,Uganda,HB Kayondo,A Otwani,Bilal Khan,0,0,,,,,,bowled,HB Kayondo
ball,1,2.5,Uganda,RB Patel,A Otwani,Bilal Khan,0,0,,,,,,"",""
ball,1,2.6,Uganda,RB Patel,A Otwani,Bilal Khan,1,0,,,,,,"",""
ball,1,3.1,Uganda,RB Patel,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,3.2,Uganda,RB Patel,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,3.3,Uganda,RB Patel,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,3.4,Uganda,RB Patel,A Otwani,Kaleemullah,0,0,,,,,,"",""
ball,1,3.5,Uganda,RB Patel,A Otwani,Kaleemullah,1,0,,,,,,"",""
ball,1,3.6,Uganda,A Otwani,RB Patel,Kaleemullah,0,0,,,,,,caught,A Otwani
ball,1,4.1,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,0,,,,,,"",""
ball,1,4.2,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,0,,,,,,"",""
ball,1,4.3,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,0,,,,,,"",""
ball,1,4.4,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,1,1,,,,,"",""
ball,1,4.5,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,0,,,,,,"",""
ball,1,4.6,Uganda,RB Patel,DM Nakrani,Bilal Khan,0,0,,,,,,bowled,RB Patel
ball,1,4.7,Uganda,Riazat Ali Shah,DM Nakrani,Bilal Khan,0,0,,,,,,"",""
ball,1,5.1,Uganda,DM Nakrani,Riazat Ali Shah,Kaleemullah,1,0,,,,,,"",""
ball,1,5.2,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,5.3,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,5.4,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,5.5,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,5.6,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,6.1,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,6.2,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,6.3,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,6.4,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,6.5,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,6.6,Uganda,DM Nakrani,Riazat Ali Shah,Bilal Khan,0,0,,,,,,"",""
ball,1,7.1,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,7.2,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
ball,1,7.3,Uganda,Riazat Ali Shah,DM Nakrani,Kaleemullah,0,0,,,,,,"",""
