version,1.7.0
info,balls_per_over,6
info,team,Glamorgan
info,team,Gloucestershire
info,gender,male
info,season,2020
info,date,2020/08/15
info,date,2020/08/16
info,date,2020/08/17
info,date,2020/08/18
info,event,Bob Willis Trophy
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Gloucestershire
info,toss_decision,field
info,umpire,ID Blackwell
info,umpire,JH Evans
info,match_referee,RM Ellison
info,outcome,draw
info,player,Glamorgan,NJ Selman
info,player,Glamorgan,CR Hemphrey
info,player,Glamorgan,KS Carlson
info,player,Glamorgan,WT Root
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,TN Cullen
info,player,Glamorgan,DA Douthwaite
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,KA Bull
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,M de Lange
info,player,Gloucestershire,BG Charlesworth
info,player,Gloucestershire,CDJ Dent
info,player,Gloucestershire,GL van Buuren
info,player,Gloucestershire,TC Lace
info,player,Gloucestershire,GT Hankins
info,player,Gloucestershire,RF Higgins
info,player,Gloucestershire,GH Roderick
info,player,Gloucestershire,GFB Scott
info,player,Gloucestershire,DA Payne
info,player,Gloucestershire,J Shaw
info,player,Gloucestershire,MD Taylor
info,registry,people,BG Charlesworth,ffdba4e2
info,registry,people,CB Cooke,6755cd5c
info,registry,people,CDJ Dent,10435ca2
info,registry,people,CR Hemphrey,79650e45
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,DA Payne,6c79c098
info,registry,people,GFB Scott,c2b6764d
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GH Roderick,7081848a
info,registry,people,GL van Buuren,ba377b40
info,registry,people,GT Hankins,fc1608a2
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Shaw,b82e3032
info,registry,people,JH Evans,f444fdac
info,registry,people,KA Bull,b7a6a60b
info,registry,people,KS Carlson,9e707e02
info,registry,people,M de Lange,d4eef961
info,registry,people,MD Taylor,01a95383
info,registry,people,NJ Selman,bab08c8b
info,registry,people,RF Higgins,ad212f96
info,registry,people,RM Ellison,140552e1
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TC Lace,b47cd52c
info,registry,people,TN Cullen,08a935b0
info,registry,people,WT Root,72898514
ball,1,0.1,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,0.2,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,0.3,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,0.4,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,0.5,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,0.6,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,1.1,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,1.2,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,1.3,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,1.4,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,1.5,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,1.6,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,4,0,,,,,,"",""
ball,1,2.1,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,2.2,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,2.3,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,2.4,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,2.5,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,0,,,,,,"",""
ball,1,2.6,Glamorgan,NJ Selman,CR Hemphrey,DA Payne,0,4,,,,4,,"",""
ball,1,3.1,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,3.2,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,3.3,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,0,0,,,,,,"",""
ball,1,3.4,Glamorgan,CR Hemphrey,NJ Selman,RF Higgins,1,0,,,,,,"",""
