version,1.7.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Hobart Hurricanes
info,gender,male
info,season,2025/26
info,date,2025/12/29
info,event,Big Bash League
info,match_number,15
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,field
info,player_of_match,NT Ellis
info,umpire,C Grant
info,umpire,SAJ Craig
info,reserve_umpire,Simon Burns
info,tv_umpire,BC Treloar
info,match_referee,David Johnston
info,winner,Hobart Hurricanes
info,winner_wickets,4
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,Mohammad Rizwan
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,OJ Peake
info,player,Melbourne Renegades,Hassan Khan
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,AJ Tye
info,player,Melbourne Renegades,GS Sandhu
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,JP Behrendorff
info,player,Hobart Hurricanes,MJ Owen
info,player,Hobart Hurricanes,TP Ward
info,player,Hobart Hurricanes,BJ Webster
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,Nikhil Chaudhary
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,Rehan Ahmed
info,player,Hobart Hurricanes,CJ Jordan
info,player,Hobart Hurricanes,NT Ellis
info,player,Hobart Hurricanes,Rishad Hossain
info,player,Hobart Hurricanes,RP Meredith
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BJ Webster,56b93d46
info,registry,people,BR McDermott,c41043e6
info,registry,people,C Grant,876ed858
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,David Johnston,92cef862
info,registry,people,GS Sandhu,1558d83b
info,registry,people,Hassan Khan,486065b3
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Behrendorff,4933f499
info,registry,people,M Wright,bd920a2c
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MS Wade,afa7e784
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,NT Ellis,9eb1455b
info,registry,people,Nikhil Chaudhary,1f84183a
info,registry,people,OJ Peake,9c8448ba
info,registry,people,RP Meredith,64775749
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,Rishad Hossain,5935d694
info,registry,people,SAJ Craig,689f2eed
info,registry,people,Simon Burns,c0741b3f
info,registry,people,TL Seifert,4663bd23
info,registry,people,TP Ward,fdd837ba
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,0,0,,,,,,"",""
ball,1,0.2,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,4,0,,,,,,"",""
ball,1,0.3,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,0,0,,,,,,"",""
ball,1,0.4,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,6,0,,,,,,"",""
ball,1,0.5,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,2,0,,,,,,"",""
ball,1,0.6,Melbourne Renegades,J Brown,TL Seifert,CJ Jordan,4,0,,,,,,"",""
ball,1,1.1,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,0,0,,,,,,"",""
ball,1,1.2,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,4,0,,,,,,"",""
ball,1,1.3,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,0,0,,,,,,"",""
ball,1,1.4,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,0,0,,,,,,"",""
ball,1,1.5,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,6,0,,,,,,"",""
ball,1,1.6,Melbourne Renegades,TL Seifert,J Brown,RP Meredith,0,0,,,,,,"",""
ball,1,2.1,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,0,,,,,,"",""
ball,1,2.2,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,0,,,,,,"",""
ball,1,2.3,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,1,1,,,,,"",""
ball,1,2.4,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,6,1,,1,,,,"",""
ball,1,2.5,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,0,,,,,,"",""
ball,1,2.6,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,4,0,,,,,,"",""
ball,1,2.7,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,0,,,,,,"",""
ball,1,2.8,Melbourne Renegades,J Brown,TL Seifert,NT Ellis,0,0,,,,,,caught,J Brown
ball,1,3.1,Melbourne Renegades,TL Seifert,Mohammad Rizwan,RP Meredith,1,0,,,,,,"",""
ball,1,3.2,Melbourne Renegades,Mohammad Rizwan,TL Seifert,RP Meredith,4,0,,,,,,"",""
ball,1,3.3,Melbourne Renegades,Mohammad Rizwan,TL Seifert,RP Meredith,0,0,,,,,,"",""
ball,1,3.4,Melbourne Renegades,Mohammad Rizwan,TL Seifert,RP Meredith,0,0,,,,,,"",""
ball,1,3.5,Melbourne Renegades,Mohammad Rizwan,TL Seifert,RP Meredith,4,0,,,,,,"",""
