version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Melbourne Stars
info,gender,male
info,season,2025/26
info,date,2025/12/26
info,event,Big Bash League
info,match_number,11
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,SB Harper
info,umpire,GA Abood
info,umpire,Troy Penman
info,reserve_umpire,CA Polosak
info,tv_umpire,BC Treloar
info,match_referee,Dave Gilbert
info,winner,Melbourne Stars
info,winner_wickets,7
info,player,Sydney Sixers,Babar Azam
info,player,Sydney Sixers,DP Hughes
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,JA Davies
info,player,Sydney Sixers,BAD Manenti
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,KW Richardson
info,player,Melbourne Stars,JM Clarke
info,player,Melbourne Stars,SB Harper
info,player,Melbourne Stars,C Kellaway
info,player,Melbourne Stars,J Merlo
info,player,Melbourne Stars,TK Curran
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,HWR Cartwright
info,player,Melbourne Stars,MJ Swepson
info,player,Melbourne Stars,Haris Rauf
info,player,Melbourne Stars,PM Siddle
info,registry,people,BAD Manenti,ab21795b
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Babar Azam,8a75e999
info,registry,people,C Kellaway,60c28835
info,registry,people,CA Polosak,26a360d2
info,registry,people,DP Hughes,f3982af9
info,registry,people,Dave Gilbert,aa782370
info,registry,people,GA Abood,a4af5528
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,J Edwards,f787e0eb
info,registry,people,J Merlo,02ba80a0
info,registry,people,JA Davies,5cdf8304
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JR Philippe,39086549
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,MC Henriques,32198ae0
info,registry,people,MJ Swepson,86b4bf88
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,PM Siddle,bd93fea4
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SB Harper,a756e61a
info,registry,people,TK Curran,e86754b2
info,registry,people,Troy Penman,0aa42c26
ball,1,0.1,Sydney Sixers,Babar Azam,DP Hughes,GJ Maxwell,1,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,DP Hughes,Babar Azam,GJ Maxwell,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,DP Hughes,Babar Azam,GJ Maxwell,2,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,DP Hughes,Babar Azam,GJ Maxwell,1,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,Babar Azam,DP Hughes,GJ Maxwell,1,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,DP Hughes,Babar Azam,GJ Maxwell,0,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,Babar Azam,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,Babar Azam,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,Babar Azam,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,Babar Azam,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,Babar Azam,DP Hughes,TK Curran,0,0,,,,,,caught,Babar Azam
ball,1,1.6,Sydney Sixers,JR Philippe,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,DP Hughes,JR Philippe,PM Siddle,0,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,DP Hughes,JR Philippe,PM Siddle,0,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,DP Hughes,JR Philippe,PM Siddle,4,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,DP Hughes,JR Philippe,PM Siddle,0,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,DP Hughes,JR Philippe,PM Siddle,1,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,JR Philippe,DP Hughes,PM Siddle,0,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,4,0,,,,,,"",""
ball,1,3.2,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,0,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,0,1,1,,,,,"",""
ball,1,3.4,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,2,0,,,,,,"",""
ball,1,3.5,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,4,0,,,,,,"",""
ball,1,3.6,Sydney Sixers,DP Hughes,JR Philippe,TK Curran,1,0,,,,,,"",""
ball,1,3.7,Sydney Sixers,JR Philippe,DP Hughes,TK Curran,0,0,,,,,,"",""
ball,1,4.1,Sydney Sixers,DP Hughes,JR Philippe,Haris Rauf,4,0,,,,,,"",""
ball,1,4.2,Sydney Sixers,DP Hughes,JR Philippe,Haris Rauf,0,1,,,,1,,"",""
ball,1,4.3,Sydney Sixers,JR Philippe,DP Hughes,Haris Rauf,4,0,,,,,,"",""
ball,1,4.4,Sydney Sixers,JR Philippe,DP Hughes,Haris Rauf,0,0,,,,,,"",""
ball,1,4.5,Sydney Sixers,JR Philippe,DP Hughes,Haris Rauf,1,0,,,,,,"",""
ball,1,4.6,Sydney Sixers,DP Hughes,JR Philippe,Haris Rauf,1,0,,,,,,"",""
ball,1,5.1,Sydney Sixers,DP Hughes,JR Philippe,MP Stoinis,0,0,,,,,,"",""
ball,1,5.2,Sydney Sixers,DP Hughes,JR Philippe,MP Stoinis,0,1,1,,,,,"",""
ball,1,5.3,Sydney Sixers,DP Hughes,JR Philippe,MP Stoinis,1,0,,,,,,"",""
ball,1,5.4,Sydney Sixers,JR Philippe,DP Hughes,MP Stoinis,0,1,1,,,,,"",""
ball,1,5.5,Sydney Sixers,JR Philippe,DP Hughes,MP Stoinis,0,0,,,,,,"",""
ball,1,5.6,Sydney Sixers,JR Philippe,DP Hughes,MP Stoinis,1,0,,,,,,"",""
ball,1,5.7,Sydney Sixers,DP Hughes,JR Philippe,MP Stoinis,0,0,,,,,,"",""
ball,1,5.8,Sydney Sixers,DP Hughes,JR Philippe,MP Stoinis,1,0,,,,,,"",""
ball,1,6.1,Sydney Sixers,DP Hughes,JR Philippe,GJ Maxwell,1,0,,,,,,"",""
ball,1,6.2,Sydney Sixers,JR Philippe,DP Hughes,GJ Maxwell,2,0,,,,,,"",""
ball,1,6.3,Sydney Sixers,JR Philippe,DP Hughes,GJ Maxwell,1,0,,,,,,"",""
ball,1,6.4,Sydney Sixers,DP Hughes,JR Philippe,GJ Maxwell,4,0,,,,,,"",""
