version,1.7.0
info,balls_per_over,6
info,team,Somerset
info,team,Glamorgan
info,gender,male
info,season,2016
info,date,2016/07/24
info,event,Royal London One-Day Cup
info,venue,"County Ground, Taunton"
info,city,Taunton
info,toss_winner,Glamorgan
info,toss_decision,field
info,umpire,DJ Millns
info,umpire,NL Bainton
info,winner,Somerset
info,winner_runs,33
info,method,D/L
info,player,Somerset,JG Myburgh
info,player,Somerset,J Allenby
info,player,Somerset,PD Trego
info,player,Somerset,DPMD Jayawardene
info,player,Somerset,JC Hildreth
info,player,Somerset,L Gregory
info,player,Somerset,RE van der Merwe
info,player,Somerset,C Overton
info,player,Somerset,RC Davies
info,player,Somerset,TD Groenewald
info,player,Somerset,MTC Waller
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,JA Rudolph
info,player,Glamorgan,WD Bragg
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,AHT Donald
info,player,Glamorgan,MA Wallace
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,CAJ Meschede
info,player,Glamorgan,AG Salter
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,MG Hogan
info,registry,people,AG Salter,1a45b864
info,registry,people,AHT Donald,72918338
info,registry,people,C Overton,e9987a94
info,registry,people,CA Ingram,c995d726
info,registry,people,CAJ Meschede,eddf25bd
info,registry,people,DJ Millns,46ecfe40
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,GG Wagg,450f6fa6
info,registry,people,J Allenby,7d5e0b78
info,registry,people,JA Rudolph,42537f07
info,registry,people,JC Hildreth,782c0568
info,registry,people,JG Myburgh,47b4ad09
info,registry,people,L Gregory,06c2de82
info,registry,people,MA Wallace,cabf72cc
info,registry,people,MG Hogan,5da34add
info,registry,people,MTC Waller,d74d1090
info,registry,people,NL Bainton,cd219cb3
info,registry,people,PD Trego,93e06301
info,registry,people,RC Davies,f939ffa9
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TD Groenewald,dddc811c
info,registry,people,WD Bragg,7db8d00b
ball,1,0.1,Somerset,JG Myburgh,J Allenby,GG Wagg,0,0,,,,,,"",""
ball,1,0.2,Somerset,JG Myburgh,J Allenby,GG Wagg,4,0,,,,,,"",""
ball,1,0.3,Somerset,JG Myburgh,J Allenby,GG Wagg,0,0,,,,,,"",""
ball,1,0.4,Somerset,JG Myburgh,J Allenby,GG Wagg,0,0,,,,,,"",""
ball,1,0.5,Somerset,JG Myburgh,J Allenby,GG Wagg,4,0,,,,,,"",""
ball,1,0.6,Somerset,JG Myburgh,J Allenby,GG Wagg,0,0,,,,,,"",""
ball,1,1.1,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,1.2,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,1.3,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,1,,,,1,,"",""
ball,1,1.4,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,1.5,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,1.6,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,2.1,Somerset,J Allenby,JG Myburgh,GG Wagg,4,0,,,,,,"",""
ball,1,2.2,Somerset,J Allenby,JG Myburgh,GG Wagg,0,0,,,,,,"",""
ball,1,2.3,Somerset,J Allenby,JG Myburgh,GG Wagg,0,4,,,,4,,"",""
ball,1,2.4,Somerset,J Allenby,JG Myburgh,GG Wagg,0,0,,,,,,"",""
ball,1,2.5,Somerset,J Allenby,JG Myburgh,GG Wagg,0,0,,,,,,"",""
ball,1,2.6,Somerset,J Allenby,JG Myburgh,GG Wagg,2,0,,,,,,"",""
ball,1,3.1,Somerset,JG Myburgh,J Allenby,T van der Gugten,4,0,,,,,,"",""
ball,1,3.2,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,3.3,Somerset,JG Myburgh,J Allenby,T van der Gugten,4,0,,,,,,"",""
ball,1,3.4,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,3.5,Somerset,JG Myburgh,J Allenby,T van der Gugten,0,0,,,,,,"",""
ball,1,3.6,Somerset,JG Myburgh,J Allenby,T van der Gugten,1,0,,,,,,"",""
ball,1,4.1,Somerset,JG Myburgh,J Allenby,MG Hogan,0,0,,,,,,"",""
ball,1,4.2,Somerset,JG Myburgh,J Allenby,MG Hogan,0,0,,,,,,"",""
ball,1,4.3,Somerset,JG Myburgh,J Allenby,MG Hogan,0,0,,,,,,"",""
ball,1,4.4,Somerset,JG Myburgh,J Allenby,MG Hogan,2,0,,,,,,"",""
ball,1,4.5,Somerset,JG Myburgh,J Allenby,MG Hogan,4,0,,,,,,"",""
ball,1,4.6,Somerset,JG Myburgh,J Allenby,MG Hogan,0,0,,,,,,"",""
ball,1,5.1,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,5.2,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,5.3,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,5.4,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,5.5,Somerset,J Allenby,JG Myburgh,T van der Gugten,0,0,,,,,,"",""
ball,1,5.6,Somerset,J Allenby,JG Myburgh,T van der Gugten,1,0,,,,,,"",""
ball,1,6.1,Somerset,J Allenby,JG Myburgh,MG Hogan,0,0,,,,,,"",""
ball,1,6.2,Somerset,J Allenby,JG Myburgh,MG Hogan,2,0,,,,,,"",""
ball,1,6.3,Somerset,J Allenby,JG Myburgh,MG Hogan,0,0,,,,,,"",""
ball,1,6.4,Somerset,J Allenby,JG Myburgh,MG Hogan,0,0,,,,,,"",""
ball,1,6.5,Somerset,J Allenby,JG Myburgh,MG Hogan,4,0,,,,,,"",""
