version,1.6.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Melbourne Renegades
info,gender,male
info,season,2020/21
info,date,2020/12/12
info,event,Big Bash League
info,match_number,4
info,venue,Bellerive Oval
info,city,Hobart
info,toss_winner,Perth Scorchers
info,toss_decision,bat
info,player_of_match,JK Lalor
info,umpire,DM Koch
info,umpire,MW Graham-Smith
info,reserve_umpire,NR Johnstone
info,tv_umpire,DR Close
info,match_referee,David Johnston
info,winner,Melbourne Renegades
info,winner_wickets,7
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,C Munro
info,player,Perth Scorchers,JM Clarke
info,player,Perth Scorchers,MR Marsh
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,CT Bancroft
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,Fawad Ahmed
info,player,Melbourne Renegades,SE Marsh
info,player,Melbourne Renegades,AJ Finch
info,player,Melbourne Renegades,SB Harper
info,player,Melbourne Renegades,RR Rossouw
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,BJ Webster
info,player,Melbourne Renegades,BAC Howell
info,player,Melbourne Renegades,JA Prestwidge
info,player,Melbourne Renegades,KW Richardson
info,player,Melbourne Renegades,JK Lalor
info,player,Melbourne Renegades,P Hatzoglou
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BJ Webster,56b93d46
info,registry,people,C Munro,af2c687b
info,registry,people,CT Bancroft,399b0b94
info,registry,people,DM Koch,6d10c034
info,registry,people,DR Close,4cae2b0c
info,registry,people,David Johnston,92cef862
info,registry,people,Fawad Ahmed,22ae3041
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JA Prestwidge,5f317fd4
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JK Lalor,88209c84
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NR Johnstone,ce274b6a
info,registry,people,P Hatzoglou,6f95e5fa
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SB Harper,a756e61a
info,registry,people,SE Marsh,508a1ea7
ball,1,0.1,Perth Scorchers,JP Inglis,C Munro,JK Lalor,0,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,JP Inglis,C Munro,JK Lalor,4,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,JP Inglis,C Munro,JK Lalor,1,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,C Munro,JP Inglis,JK Lalor,0,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,C Munro,JP Inglis,JK Lalor,0,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,C Munro,JP Inglis,JK Lalor,0,0,,,,,,bowled,C Munro
ball,1,1.1,Perth Scorchers,JP Inglis,JM Clarke,KW Richardson,4,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,JP Inglis,JM Clarke,KW Richardson,0,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,JP Inglis,JM Clarke,KW Richardson,0,0,,,,,,caught,JP Inglis
ball,1,1.4,Perth Scorchers,MR Marsh,JM Clarke,KW Richardson,0,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,MR Marsh,JM Clarke,KW Richardson,0,0,,,,,,"",""
ball,1,1.6,Perth Scorchers,MR Marsh,JM Clarke,KW Richardson,0,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,4,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,0,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,0,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,6,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,0,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,JM Clarke,MR Marsh,JK Lalor,0,0,,,,,,caught,JM Clarke
ball,1,3.1,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,4,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,0,0,,,,,,"",""
ball,1,3.3,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,0,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,0,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,4,0,,,,,,"",""
ball,1,3.6,Perth Scorchers,AJ Turner,MR Marsh,P Hatzoglou,4,0,,,,,,"",""
