version,1.7.0
info,balls_per_over,6
info,team,Melbourne Renegades
info,team,Adelaide Strikers
info,gender,male
info,season,2025/26
info,date,2026/01/17
info,event,Big Bash League
info,match_number,38
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,T Shamsi
info,umpire,DM Koch
info,umpire,Troy Penman
info,reserve_umpire,Eloise Sheridan
info,tv_umpire,D Brigham
info,match_referee,SD Fry
info,winner,Adelaide Strikers
info,winner_wickets,8
info,player,Melbourne Renegades,TL Seifert
info,player,Melbourne Renegades,J Brown
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,Mohammad Rizwan
info,player,Melbourne Renegades,CP Jewell
info,player,Melbourne Renegades,Hassan Khan
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,SM Elliott
info,player,Melbourne Renegades,B Doggett
info,player,Melbourne Renegades,MW Archer
info,player,Melbourne Renegades,C Stow
info,player,Adelaide Strikers,AT Carey
info,player,Adelaide Strikers,MW Short
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,L Scott
info,player,Adelaide Strikers,JJS Sangha
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,HTRY Thornton
info,player,Adelaide Strikers,J Wadia
info,player,Adelaide Strikers,Hasan Ali
info,player,Adelaide Strikers,L Pope
info,player,Adelaide Strikers,T Shamsi
info,registry,people,AT Carey,69d03465
info,registry,people,B Doggett,898e628d
info,registry,people,C Stow,3f9ec1d2
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CP Jewell,806c4e58
info,registry,people,D Brigham,464daf41
info,registry,people,DM Koch,6d10c034
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,HTRY Thornton,055be93a
info,registry,people,Hasan Ali,2911de16
info,registry,people,Hassan Khan,486065b3
info,registry,people,J Brown,647e7d44
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,J Overton,59559bc2
info,registry,people,J Wadia,6ef38020
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,L Pope,616a8149
info,registry,people,L Scott,0ebb3444
info,registry,people,MW Archer,1bcdaf62
info,registry,people,MW Short,a90e53ec
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,SD Fry,6b725ed1
info,registry,people,SM Elliott,00cda8e4
info,registry,people,T Shamsi,a03bba42
info,registry,people,TL Seifert,4663bd23
info,registry,people,Troy Penman,0aa42c26
info,registry,people,W Sutherland,bc2d4f2e
ball,1,0.1,Melbourne Renegades,TL Seifert,J Brown,J Wadia,0,0,,,,,,caught,TL Seifert
ball,1,0.2,Melbourne Renegades,J Fraser-McGurk,J Brown,J Wadia,0,0,,,,,,caught and bowled,J Fraser-McGurk
ball,1,0.3,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,0,0,,,,,,"",""
ball,1,0.4,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,2,0,,,,,,"",""
ball,1,0.5,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,0,0,,,,,,"",""
ball,1,0.6,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,1,0,,,,,,"",""
ball,1,1.1,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,0,0,,,,,,"",""
ball,1,1.2,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,0,1,1,,,,,"",""
ball,1,1.3,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,0,0,,,,,,"",""
ball,1,1.4,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,0,0,,,,,,"",""
ball,1,1.5,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,0,0,,,,,,"",""
ball,1,1.6,Melbourne Renegades,Mohammad Rizwan,J Brown,J Overton,1,0,,,,,,"",""
ball,1,1.7,Melbourne Renegades,J Brown,Mohammad Rizwan,J Overton,0,0,,,,,,"",""
ball,1,2.1,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,4,0,,,,,,"",""
ball,1,2.2,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,2,0,,,,,,"",""
ball,1,2.3,Melbourne Renegades,Mohammad Rizwan,J Brown,J Wadia,1,0,,,,,,"",""
ball,1,2.4,Melbourne Renegades,J Brown,Mohammad Rizwan,J Wadia,0,0,,,,,,"",""
ball,1,2.5,Melbourne Renegades,J Brown,Mohammad Rizwan,J Wadia,0,0,,,,,,"",""
ball,1,2.6,Melbourne Renegades,J Brown,Mohammad Rizwan,J Wadia,1,0,,,,,,"",""
ball,1,3.1,Melbourne Renegades,J Brown,Mohammad Rizwan,HTRY Thornton,0,0,,,,,,"",""
ball,1,3.2,Melbourne Renegades,J Brown,Mohammad Rizwan,HTRY Thornton,4,0,,,,,,"",""
ball,1,3.3,Melbourne Renegades,J Brown,Mohammad Rizwan,HTRY Thornton,0,1,,,,1,,"",""
ball,1,3.4,Melbourne Renegades,Mohammad Rizwan,J Brown,HTRY Thornton,6,0,,,,,,"",""
