version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Sydney Thunder
info,gender,male
info,season,2023/24
info,date,2024/01/12
info,event,Big Bash League
info,match_number,34
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Sydney Thunder
info,toss_decision,field
info,player_of_match,SNJ O'Keefe
info,umpire,SAJ Craig
info,umpire,SA Lightbody
info,reserve_umpire,Roberto Howard
info,tv_umpire,P Wilson
info,match_referee,SJ Davis
info,winner,Sydney Sixers
info,winner_runs,19
info,player,Sydney Sixers,SPD Smith
info,player,Sydney Sixers,JM Vince
info,player,Sydney Sixers,JR Philippe
info,player,Sydney Sixers,MC Henriques
info,player,Sydney Sixers,JC Silk
info,player,Sydney Sixers,J Edwards
info,player,Sydney Sixers,H Kerr
info,player,Sydney Sixers,SA Abbott
info,player,Sydney Sixers,BJ Dwarshuis
info,player,Sydney Sixers,T Murphy
info,player,Sydney Sixers,SNJ O'Keefe
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,AD Hales
info,player,Sydney Thunder,CT Bancroft
info,player,Sydney Thunder,T Kohler-Cadmore
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,DR Sams
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,N McAndrew
info,player,Sydney Thunder,TW Gray
info,player,Sydney Thunder,LC Hatcher
info,player,Sydney Thunder,T Sangha
info,registry,people,AD Hales,92aeac25
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,CJ Green,19b9f399
info,registry,people,CT Bancroft,399b0b94
info,registry,people,DA Warner,dcce6f09
info,registry,people,DR Sams,caf69bf7
info,registry,people,H Kerr,f422728b
info,registry,people,J Edwards,f787e0eb
info,registry,people,JC Silk,7a6dc294
info,registry,people,JM Vince,a15618fe
info,registry,people,JR Philippe,39086549
info,registry,people,LC Hatcher,8f3fde65
info,registry,people,MC Henriques,32198ae0
info,registry,people,N McAndrew,38c276e1
info,registry,people,O Davies,0ea54eca
info,registry,people,P Wilson,68304a36
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SA Lightbody,680b8cbf
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,SNJ O'Keefe,3540beff
info,registry,people,SPD Smith,30a45b23
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,T Murphy,ac2e7ec0
info,registry,people,T Sangha,52c952d9
info,registry,people,TW Gray,5e365152
ball,1,0.1,Sydney Sixers,SPD Smith,JM Vince,DR Sams,0,0,,,,,,caught,SPD Smith
ball,1,0.2,Sydney Sixers,JR Philippe,JM Vince,DR Sams,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,JR Philippe,JM Vince,DR Sams,0,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,JR Philippe,JM Vince,DR Sams,0,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,JR Philippe,JM Vince,DR Sams,4,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,JR Philippe,JM Vince,DR Sams,4,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,JM Vince,JR Philippe,LC Hatcher,1,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,JR Philippe,JM Vince,LC Hatcher,3,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,JM Vince,JR Philippe,LC Hatcher,0,1,1,,,,,"",""
ball,1,1.4,Sydney Sixers,JM Vince,JR Philippe,LC Hatcher,1,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,JR Philippe,JM Vince,LC Hatcher,0,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,JR Philippe,JM Vince,LC Hatcher,0,0,,,,,,"",""
ball,1,1.7,Sydney Sixers,JR Philippe,JM Vince,LC Hatcher,0,1,1,,,,,"",""
ball,1,1.8,Sydney Sixers,JR Philippe,JM Vince,LC Hatcher,0,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,JM Vince,JR Philippe,CJ Green,0,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,JM Vince,JR Philippe,CJ Green,0,0,,,,,,"",""
ball,1,2.3,Sydney Sixers,JM Vince,JR Philippe,CJ Green,0,0,,,,,,"",""
ball,1,2.4,Sydney Sixers,JM Vince,JR Philippe,CJ Green,4,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,JM Vince,JR Philippe,CJ Green,0,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,JM Vince,JR Philippe,CJ Green,2,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,JR Philippe,JM Vince,N McAndrew,1,0,,,,,,"",""
ball,1,3.2,Sydney Sixers,JM Vince,JR Philippe,N McAndrew,0,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,JM Vince,JR Philippe,N McAndrew,1,0,,,,,,"",""
ball,1,3.4,Sydney Sixers,JR Philippe,JM Vince,N McAndrew,0,0,,,,,,"",""
ball,1,3.5,Sydney Sixers,JR Philippe,JM Vince,N McAndrew,4,0,,,,,,"",""
ball,1,3.6,Sydney Sixers,JR Philippe,JM Vince,N McAndrew,0,0,,,,,,"",""
ball,1,4.1,Sydney Sixers,JM Vince,JR Philippe,T Sangha,1,0,,,,,,"",""
ball,1,4.2,Sydney Sixers,JR Philippe,JM Vince,T Sangha,1,0,,,,,,"",""
ball,1,4.3,Sydney Sixers,JM Vince,JR Philippe,T Sangha,1,0,,,,,,"",""
ball,1,4.4,Sydney Sixers,JR Philippe,JM Vince,T Sangha,1,0,,,,,,"",""
ball,1,4.5,Sydney Sixers,JM Vince,JR Philippe,T Sangha,1,0,,,,,,"",""
