version,1.7.0
info,balls_per_over,6
info,team,Somerset
info,team,Sussex
info,gender,male
info,season,2023
info,date,2023/08/11
info,event,One-Day Cup
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,Somerset
info,toss_decision,bat
info,umpire,BJ Peverall
info,umpire,Surendiran Shanmugam
info,match_referee,AJ Swann
info,winner,Sussex
info,winner_wickets,4
info,player,Somerset,GW Thomas
info,player,Somerset,ARI Umeed
info,player,Somerset,GA Bartlett
info,player,Somerset,JEK Rew
info,player,Somerset,C Campher
info,player,Somerset,SR Dickson
info,player,Somerset,JF Thomas
info,player,Somerset,DJ Lamb
info,player,Somerset,JT Langridge
info,player,Somerset,JA Brooks
info,player,Somerset,Shoaib Bashir
info,player,Sussex,TGR Clark
info,player,Sussex,TJ Haines
info,player,Sussex,TP Alsop
info,player,Sussex,CA Pujara
info,player,Sussex,JM Coles
info,player,Sussex,FJ Hudson-Prentice
info,player,Sussex,OJ Carter
info,player,Sussex,JJ Carson
info,player,Sussex,HT Crocombe
info,player,Sussex,AC Lenham
info,player,Sussex,SF Hunt
info,registry,people,AC Lenham,8f9c5014
info,registry,people,AJ Swann,f9d218a7
info,registry,people,ARI Umeed,7a32c1c1
info,registry,people,BJ Peverall,3e04e05a
info,registry,people,C Campher,478a63e7
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,DJ Lamb,27c5a793
info,registry,people,FJ Hudson-Prentice,932d3cc9
info,registry,people,GA Bartlett,e2caec46
info,registry,people,GW Thomas,f2e28b0c
info,registry,people,HT Crocombe,27fc5808
info,registry,people,JA Brooks,8bf61e65
info,registry,people,JEK Rew,521595e7
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JJ Carson,344c6d55
info,registry,people,JM Coles,9c643d7b
info,registry,people,JT Langridge,78795cbc
info,registry,people,OJ Carter,26db69e6
info,registry,people,SF Hunt,7f7f658b
info,registry,people,SR Dickson,2344bdd1
info,registry,people,Shoaib Bashir,e36e9dd3
info,registry,people,Surendiran Shanmugam,2ef5fc2b
info,registry,people,TGR Clark,ed8faea2
info,registry,people,TJ Haines,bdadcca1
info,registry,people,TP Alsop,961b8ff1
ball,1,0.1,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,0.2,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,0.3,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,2,0,,,,,,"",""
ball,1,0.4,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,0.5,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,0.6,Somerset,GW Thomas,ARI Umeed,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,1.1,Somerset,ARI Umeed,GW Thomas,SF Hunt,0,0,,,,,,"",""
ball,1,1.2,Somerset,ARI Umeed,GW Thomas,SF Hunt,0,0,,,,,,"",""
ball,1,1.3,Somerset,ARI Umeed,GW Thomas,SF Hunt,1,0,,,,,,"",""
ball,1,1.4,Somerset,GW Thomas,ARI Umeed,SF Hunt,0,0,,,,,,"",""
ball,1,1.5,Somerset,GW Thomas,ARI Umeed,SF Hunt,0,0,,,,,,"",""
ball,1,1.6,Somerset,GW Thomas,ARI Umeed,SF Hunt,0,0,,,,,,"",""
ball,1,2.1,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,2.2,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,2.3,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,2.4,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,2.5,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,0,0,,,,,,"",""
ball,1,2.6,Somerset,ARI Umeed,GW Thomas,FJ Hudson-Prentice,3,0,,,,,,"",""
ball,1,3.1,Somerset,ARI Umeed,GW Thomas,SF Hunt,0,0,,,,,,"",""
ball,1,3.2,Somerset,ARI Umeed,GW Thomas,SF Hunt,0,0,,,,,,"",""
ball,1,3.3,Somerset,ARI Umeed,GW Thomas,SF Hunt,0,0,,,,,,"",""
