version,1.7.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Northamptonshire
info,gender,male
info,season,2017
info,date,2017/09/25
info,date,2017/09/26
info,date,2017/09/27
info,date,2017/09/28
info,event,Specsavers County Championship
info,venue,"Grace Road, Leicester"
info,city,Leicester
info,toss_uncontested,true
info,toss_winner,Northamptonshire
info,toss_decision,field
info,umpire,NGB Cook
info,umpire,PK Baldwin
info,winner,Northamptonshire
info,winner_wickets,6
info,player,Leicestershire,MA Carberry
info,player,Leicestershire,ST Evans
info,player,Leicestershire,EJH Eckersley
info,player,Leicestershire,MJ Cosgrove
info,player,Leicestershire,AM Ali
info,player,Leicestershire,NJ Dexter
info,player,Leicestershire,LJ Hill
info,player,Leicestershire,BA Raine
info,player,Leicestershire,ZJ Chappell
info,player,Leicestershire,D Klein
info,player,Leicestershire,CF Parkinson
info,player,Northamptonshire,LA Procter
info,player,Northamptonshire,RI Newton
info,player,Northamptonshire,AG Wakely
info,player,Northamptonshire,RE Levi
info,player,Northamptonshire,RI Keogh
info,player,Northamptonshire,JJ Cobb
info,player,Northamptonshire,D Murphy
info,player,Northamptonshire,SC Kerrigan
info,player,Northamptonshire,RK Kleinveldt
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,RJ Gleeson
info,registry,people,AG Wakely,730d120f
info,registry,people,AM Ali,e3434f95
info,registry,people,BA Raine,4c0f3806
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,D Klein,aeab0d4f
info,registry,people,D Murphy,a5544576
info,registry,people,EJH Eckersley,d510d457
info,registry,people,JJ Cobb,58c481c6
info,registry,people,LA Procter,07c8a2f4
info,registry,people,LJ Hill,35f9a295
info,registry,people,MA Carberry,8305580c
info,registry,people,MJ Cosgrove,be768595
info,registry,people,NGB Cook,772fe461
info,registry,people,NJ Dexter,dc670143
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RE Levi,18c78b11
info,registry,people,RI Keogh,e22d3b5c
info,registry,people,RI Newton,1f28c0f2
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RK Kleinveldt,7955eb15
info,registry,people,SC Kerrigan,b20f423b
info,registry,people,ST Evans,5ad508c9
info,registry,people,ZJ Chappell,fe5b4367
ball,1,0.1,Leicestershire,MA Carberry,ST Evans,RK Kleinveldt,1,0,,,,,,"",""
ball,1,0.2,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,0.3,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,0.4,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,1,0,,,,,,"",""
ball,1,0.5,Leicestershire,MA Carberry,ST Evans,RK Kleinveldt,0,0,,,,,,"",""
ball,1,0.6,Leicestershire,MA Carberry,ST Evans,RK Kleinveldt,0,0,,,,,,"",""
ball,1,1.1,Leicestershire,ST Evans,MA Carberry,BW Sanderson,0,0,,,,,,"",""
ball,1,1.2,Leicestershire,ST Evans,MA Carberry,BW Sanderson,0,0,,,,,,"",""
ball,1,1.3,Leicestershire,ST Evans,MA Carberry,BW Sanderson,0,0,,,,,,"",""
ball,1,1.4,Leicestershire,ST Evans,MA Carberry,BW Sanderson,1,0,,,,,,"",""
ball,1,1.5,Leicestershire,MA Carberry,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,1.6,Leicestershire,MA Carberry,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,2.1,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,2.2,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,2.3,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,2,0,,,,,,"",""
ball,1,2.4,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,2.5,Leicestershire,ST Evans,MA Carberry,RK Kleinveldt,0,0,,,,,,"",""
ball,1,2.6,Leicestershire,ST Evans,MA Carberry,RJ Gleeson,0,0,,,,,,"",""
ball,1,3.1,Leicestershire,MA Carberry,ST Evans,BW Sanderson,0,0,,,,,,lbw,MA Carberry
ball,1,3.2,Leicestershire,EJH Eckersley,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,3.3,Leicestershire,EJH Eckersley,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,3.4,Leicestershire,EJH Eckersley,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,3.5,Leicestershire,EJH Eckersley,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,3.6,Leicestershire,EJH Eckersley,ST Evans,BW Sanderson,0,0,,,,,,"",""
ball,1,4.1,Leicestershire,ST Evans,EJH Eckersley,RJ Gleeson,0,0,,,,,,"",""
ball,1,4.2,Leicestershire,ST Evans,EJH Eckersley,RJ Gleeson,0,0,,,,,,"",""
ball,1,4.3,Leicestershire,ST Evans,EJH Eckersley,RJ Gleeson,0,0,,,,,,"",""
ball,1,4.4,Leicestershire,ST Evans,EJH Eckersley,RJ Gleeson,0,0,,,,,,"",""
