version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,England
info,gender,female
info,season,2025/26
info,date,2025/10/03
info,event,ICC Women's World Cup
info,match_number,4
info,venue,"Barsapara Cricket Stadium, Guwahati"
info,city,Guwahati
info,toss_winner,England
info,toss_decision,field
info,player_of_match,LCN Smith
info,umpire,Eloise Sheridan
info,umpire,Shathira Jakir
info,reserve_umpire,CA Polosak
info,tv_umpire,JM Williams
info,match_referee,TL Anderson
info,winner,England
info,winner_wickets,10
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,S Luus
info,player,South Africa,M Kapp
info,player,South Africa,A Bosch
info,player,South Africa,S Jafta
info,player,South Africa,CL Tryon
info,player,South Africa,N de Klerk
info,player,South Africa,M Klaas
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,player,England,TT Beaumont
info,player,England,AE Jones
info,player,England,HC Knight
info,player,England,NR Sciver-Brunt
info,player,England,SIR Dunkley
info,player,England,EL Lamb
info,player,England,A Capsey
info,player,England,CE Dean
info,player,England,S Ecclestone
info,player,England,LCN Smith
info,player,England,LK Bell
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Capsey,910dd54e
info,registry,people,A Khaka,0d518f89
info,registry,people,AE Jones,b05e45e4
info,registry,people,CA Polosak,26a360d2
info,registry,people,CE Dean,c6625a26
info,registry,people,CL Tryon,4d4605e6
info,registry,people,EL Lamb,02181d9a
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,HC Knight,4ba0289e
info,registry,people,JM Williams,b61d9d70
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LCN Smith,340202b0
info,registry,people,LK Bell,38b4583c
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,T Brits,06659caa
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,TT Beaumont,b2664905
ball,1,0.1,South Africa,L Wolvaardt,T Brits,LK Bell,0,0,,,,,,"",""
ball,1,0.2,South Africa,L Wolvaardt,T Brits,LK Bell,4,0,,,,,,"",""
ball,1,0.3,South Africa,L Wolvaardt,T Brits,LK Bell,1,0,,,,,,"",""
ball,1,0.4,South Africa,T Brits,L Wolvaardt,LK Bell,0,0,,,,,,"",""
ball,1,0.5,South Africa,T Brits,L Wolvaardt,LK Bell,4,0,,,,,,"",""
ball,1,0.6,South Africa,T Brits,L Wolvaardt,LK Bell,0,0,,,,,,"",""
ball,1,1.1,South Africa,L Wolvaardt,T Brits,LCN Smith,0,0,,,,,,"",""
ball,1,1.2,South Africa,L Wolvaardt,T Brits,LCN Smith,0,0,,,,,,caught and bowled,L Wolvaardt
ball,1,1.3,South Africa,S Luus,T Brits,LCN Smith,0,0,,,,,,"",""
ball,1,1.4,South Africa,S Luus,T Brits,LCN Smith,0,0,,,,,,"",""
ball,1,1.5,South Africa,S Luus,T Brits,LCN Smith,0,0,,,,,,"",""
ball,1,1.6,South Africa,S Luus,T Brits,LCN Smith,0,0,,,,,,"",""
ball,1,2.1,South Africa,T Brits,S Luus,LK Bell,0,0,,,,,,"",""
ball,1,2.2,South Africa,T Brits,S Luus,LK Bell,0,0,,,,,,"",""
ball,1,2.3,South Africa,T Brits,S Luus,LK Bell,1,0,,,,,,"",""
ball,1,2.4,South Africa,S Luus,T Brits,LK Bell,2,0,,,,,,"",""
ball,1,2.5,South Africa,S Luus,T Brits,LK Bell,0,0,,,,,,"",""
ball,1,2.6,South Africa,S Luus,T Brits,LK Bell,0,0,,,,,,"",""
ball,1,3.1,South Africa,T Brits,S Luus,LCN Smith,0,0,,,,,,bowled,T Brits
ball,1,3.2,South Africa,M Kapp,S Luus,LCN Smith,0,0,,,,,,"",""
ball,1,3.3,South Africa,M Kapp,S Luus,LCN Smith,0,0,,,,,,"",""
ball,1,3.4,South Africa,M Kapp,S Luus,LCN Smith,4,0,,,,,,"",""
ball,1,3.5,South Africa,M Kapp,S Luus,LCN Smith,0,0,,,,,,"",""
ball,1,3.6,South Africa,M Kapp,S Luus,LCN Smith,0,0,,,,,,"",""
