version,1.7.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,Paarl Royals
info,gender,male
info,season,2025/26
info,date,2026/01/08
info,event,SA20
info,match_number,17
info,venue,"The Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,Paarl Royals
info,toss_decision,field
info,umpire,AT Holdstock
info,umpire,ID Blackwell
info,reserve_umpire,Siphelele Gasa
info,tv_umpire,A Paleker
info,match_referee,CD Isaacs
info,outcome,no result
info,player,Joburg Super Kings,JM Vince
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,M De Villiers
info,player,Joburg Super Kings,PWA Mulder
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,Shubham Ranjane
info,player,Joburg Super Kings,D Forrester
info,player,Joburg Super Kings,AJ Hosein
info,player,Joburg Super Kings,P Subrayen
info,player,Joburg Super Kings,N Burger
info,player,Joburg Super Kings,DJ Worrall
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,AM Tribe
info,player,Paarl Royals,RA Herman
info,player,Paarl Royals,DW Lawrence
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,D Potgieter
info,player,Paarl Royals,Sikandar Raza
info,player,Paarl Royals,Mujeeb Ur Rahman
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,N Mokoena
info,player,Paarl Royals,GC Viljoen
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AM Tribe,86f84b37
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,CD Isaacs,c0215bbd
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Forrester,23393635
info,registry,people,D Potgieter,60fbf53a
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,F du Plessis,3355b542
info,registry,people,GC Viljoen,a316d663
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JM Vince,a15618fe
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,M De Villiers,e9aaf862
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,N Burger,465aa633
info,registry,people,N Mokoena,201facae
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,RA Herman,9c821d2e
info,registry,people,Shubham Ranjane,6c7a68d0
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Siphelele Gasa,e50baa87
ball,1,0.1,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,0,0,,,,,,"",""
ball,1,0.2,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,1,0,,,,,,"",""
ball,1,0.3,Joburg Super Kings,F du Plessis,JM Vince,BC Fortuin,0,0,,,,,,"",""
ball,1,0.4,Joburg Super Kings,F du Plessis,JM Vince,BC Fortuin,0,0,,,,,,"",""
ball,1,0.5,Joburg Super Kings,F du Plessis,JM Vince,BC Fortuin,1,0,,,,,,"",""
ball,1,0.6,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,2,0,,,,,,"",""
ball,1,1.1,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,4,0,,,,,,"",""
ball,1,1.2,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,0,0,,,,,,"",""
ball,1,1.3,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,1,0,,,,,,"",""
ball,1,1.4,Joburg Super Kings,JM Vince,F du Plessis,N Mokoena,1,0,,,,,,"",""
ball,1,1.5,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,4,0,,,,,,"",""
ball,1,1.6,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,1,0,,,,,,"",""
ball,1,2.1,Joburg Super Kings,F du Plessis,JM Vince,BC Fortuin,1,0,,,,,,"",""
ball,1,2.2,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,1,0,,,,,,"",""
ball,1,2.3,Joburg Super Kings,F du Plessis,JM Vince,BC Fortuin,1,0,,,,,,"",""
ball,1,2.4,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,0,0,,,,,,"",""
ball,1,2.5,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,4,0,,,,,,"",""
ball,1,2.6,Joburg Super Kings,JM Vince,F du Plessis,BC Fortuin,6,0,,,,,,"",""
ball,1,3.1,Joburg Super Kings,F du Plessis,JM Vince,GC Viljoen,0,0,,,,,,"",""
ball,1,3.2,Joburg Super Kings,F du Plessis,JM Vince,GC Viljoen,0,0,,,,,,"",""
ball,1,3.3,Joburg Super Kings,F du Plessis,JM Vince,GC Viljoen,1,0,,,,,,"",""
ball,1,3.4,Joburg Super Kings,JM Vince,F du Plessis,GC Viljoen,4,0,,,,,,"",""
ball,1,3.5,Joburg Super Kings,JM Vince,F du Plessis,GC Viljoen,0,0,,,,,,"",""
ball,1,3.6,Joburg Super Kings,JM Vince,F du Plessis,GC Viljoen,0,0,,,,,,"",""
ball,1,4.1,Joburg Super Kings,F du Plessis,JM Vince,N Mokoena,4,0,,,,,,"",""
