version,1.6.0
info,balls_per_over,6
info,team,Kenya
info,team,Namibia
info,gender,male
info,season,2017/18
info,date,2018/02/09
info,date,2018/02/10
info,event,ICC World Cricket League Division Two
info,match_number,6
info,venue,United Cricket Club Ground
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,field
info,umpire,AJT Dowdalls
info,umpire,BB Pradhan
info,reserve_umpire,Tabarak Dar
info,match_referee,D Govindjee
info,outcome,no result
info,player,Kenya,IA Karim
info,player,Kenya,AA Obanda
info,player,Kenya,DM Gondaria
info,player,Kenya,CO Obuya
info,player,Kenya,RR Patel
info,player,Kenya,RN Patel
info,player,Kenya,NM Odhiambo
info,player,Kenya,NN Odhiambo
info,player,Kenya,HA Varaiya
info,player,Kenya,SO Ngoche
info,player,Kenya,EB Ringera
info,player,Namibia,SJ Baard
info,player,Namibia,L Louwrens
info,player,Namibia,JP Kotze
info,player,Namibia,CG Williams
info,player,Namibia,N Davin
info,player,Namibia,MG Erasmus
info,player,Namibia,JN Frylinck
info,player,Namibia,SF Burger
info,player,Namibia,JJ Smit
info,player,Namibia,BM Scholtz
info,player,Namibia,T Lungameni
info,registry,people,AA Obanda,7081491e
info,registry,people,AJT Dowdalls,f06852e3
info,registry,people,BB Pradhan,8603d942
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,CG Williams,e16e7347
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Govindjee,8b4c4069
info,registry,people,DM Gondaria,9048c17e
info,registry,people,EB Ringera,6cedad99
info,registry,people,HA Varaiya,eeeebf82
info,registry,people,IA Karim,ca92a578
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JP Kotze,9f308dfc
info,registry,people,L Louwrens,b018e1eb
info,registry,people,MG Erasmus,95a5e066
info,registry,people,N Davin,72e361fe
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,NN Odhiambo,753b5a2d
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,SF Burger,9ff7f691
info,registry,people,SJ Baard,e8511411
info,registry,people,SO Ngoche,49118dc7
info,registry,people,T Lungameni,1688f2dc
info,registry,people,Tabarak Dar,2259c12d
ball,1,0.1,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,0.2,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,0.3,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,0.4,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,0.5,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,0.6,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,1.1,Kenya,AA Obanda,IA Karim,JJ Smit,0,1,1,,,,,"",""
ball,1,1.2,Kenya,AA Obanda,IA Karim,JJ Smit,0,4,,,,4,,"",""
ball,1,1.3,Kenya,AA Obanda,IA Karim,JJ Smit,1,0,,,,,,"",""
ball,1,1.4,Kenya,IA Karim,AA Obanda,JJ Smit,0,0,,,,,,"",""
ball,1,1.5,Kenya,IA Karim,AA Obanda,JJ Smit,0,0,,,,,,"",""
ball,1,1.6,Kenya,IA Karim,AA Obanda,JJ Smit,3,0,,,,,,"",""
ball,1,1.7,Kenya,AA Obanda,IA Karim,JJ Smit,0,0,,,,,,"",""
ball,1,2.1,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,2.2,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,2.3,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,2.4,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,2.5,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,2.6,Kenya,IA Karim,AA Obanda,SF Burger,0,0,,,,,,"",""
ball,1,3.1,Kenya,AA Obanda,IA Karim,JJ Smit,0,0,,,,,,"",""
ball,1,3.2,Kenya,AA Obanda,IA Karim,JJ Smit,0,0,,,,,,"",""
ball,1,3.3,Kenya,AA Obanda,IA Karim,JJ Smit,0,0,,,,,,"",""
ball,1,3.4,Kenya,AA Obanda,IA Karim,JJ Smit,6,0,,,,,,"",""
ball,1,3.5,Kenya,AA Obanda,IA Karim,JJ Smit,1,0,,,,,,"",""
