version,1.7.0
info,balls_per_over,6
info,team,Otago
info,team,Canterbury
info,gender,female
info,season,2021/22
info,date,2021/12/26
info,event,Women's Super Smash
info,match_number,13
info,venue,"Hagley Oval, Christchurch"
info,city,Christchurch
info,toss_winner,Otago
info,toss_decision,bat
info,umpire,Kim Cotton
info,umpire,TJ Parlane
info,reserve_umpire,ED Sanders
info,tv_umpire,C Black
info,match_referee,GAV Baxter
info,winner,Otago
info,winner_runs,12
info,player,Otago,SW Bates
info,player,Otago,PM Inglis
info,player,Otago,KJ Martin
info,player,Otago,KE Ebrahim
info,player,Otago,CG Blakely
info,player,Otago,IR James
info,player,Otago,ON Gain
info,player,Otago,EJ Carson
info,player,Otago,EJ Black
info,player,Otago,SA Oldershaw
info,player,Otago,ME Loe
info,player,Canterbury,AE Satterthwaite
info,player,Canterbury,NB Cox
info,player,Canterbury,FL Mackay
info,player,Canterbury,JL Savage
info,player,Canterbury,KFG Nation
info,player,Canterbury,AG Gerken
info,player,Canterbury,MJ Banks
info,player,Canterbury,LEV Hughes
info,player,Canterbury,EK Kench
info,player,Canterbury,J Dean
info,player,Canterbury,SR Asmussen
info,registry,people,AE Satterthwaite,72b7ed1e
info,registry,people,AG Gerken,a7fcf627
info,registry,people,C Black,75b42f71
info,registry,people,CG Blakely,8f999ed5
info,registry,people,ED Sanders,25c6d6af
info,registry,people,EJ Black,2817e17a
info,registry,people,EJ Carson,7693851c
info,registry,people,EK Kench,15578501
info,registry,people,FL Mackay,7391f160
info,registry,people,GAV Baxter,cb4b3ab0
info,registry,people,IR James,57bdbc16
info,registry,people,J Dean,2e018b14
info,registry,people,JL Savage,7938c793
info,registry,people,KE Ebrahim,7c0055c1
info,registry,people,KFG Nation,6ed21f30
info,registry,people,KJ Martin,cf75a839
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LEV Hughes,5b43fe48
info,registry,people,ME Loe,37f93dc8
info,registry,people,MJ Banks,1e17a238
info,registry,people,NB Cox,219f1323
info,registry,people,ON Gain,67913804
info,registry,people,PM Inglis,e4a71d18
info,registry,people,SA Oldershaw,93b4f6f6
info,registry,people,SR Asmussen,31972229
info,registry,people,SW Bates,89bbc67a
info,registry,people,TJ Parlane,3cfc24b0
ball,1,0.1,Otago,SW Bates,PM Inglis,AE Satterthwaite,4,0,,,,,,"",""
ball,1,0.2,Otago,SW Bates,PM Inglis,AE Satterthwaite,1,0,,,,,,"",""
ball,1,0.3,Otago,PM Inglis,SW Bates,AE Satterthwaite,0,0,,,,,,"",""
ball,1,0.4,Otago,PM Inglis,SW Bates,AE Satterthwaite,0,1,1,,,,,"",""
ball,1,0.5,Otago,PM Inglis,SW Bates,AE Satterthwaite,2,0,,,,,,"",""
ball,1,0.6,Otago,PM Inglis,SW Bates,AE Satterthwaite,0,1,1,,,,,"",""
ball,1,0.7,Otago,PM Inglis,SW Bates,AE Satterthwaite,0,0,,,,,,"",""
ball,1,0.8,Otago,PM Inglis,SW Bates,AE Satterthwaite,0,0,,,,,,"",""
ball,1,1.1,Otago,SW Bates,PM Inglis,MJ Banks,1,0,,,,,,"",""
ball,1,1.2,Otago,PM Inglis,SW Bates,MJ Banks,0,0,,,,,,"",""
ball,1,1.3,Otago,PM Inglis,SW Bates,MJ Banks,0,0,,,,,,"",""
ball,1,1.4,Otago,PM Inglis,SW Bates,MJ Banks,0,0,,,,,,"",""
ball,1,1.5,Otago,PM Inglis,SW Bates,MJ Banks,0,0,,,,,,"",""
ball,1,1.6,Otago,PM Inglis,SW Bates,MJ Banks,4,0,,,,,,"",""
ball,1,2.1,Otago,SW Bates,PM Inglis,JL Savage,0,0,,,,,,"",""
ball,1,2.2,Otago,SW Bates,PM Inglis,JL Savage,0,0,,,,,,"",""
ball,1,2.3,Otago,SW Bates,PM Inglis,JL Savage,0,0,,,,,,"",""
ball,1,2.4,Otago,SW Bates,PM Inglis,JL Savage,2,0,,,,,,"",""
ball,1,2.5,Otago,SW Bates,PM Inglis,JL Savage,0,0,,,,,,"",""
ball,1,2.6,Otago,SW Bates,PM Inglis,JL Savage,1,0,,,,,,"",""
ball,1,3.1,Otago,SW Bates,PM Inglis,J Dean,0,0,,,,,,"",""
ball,1,3.2,Otago,SW Bates,PM Inglis,J Dean,0,0,,,,,,"",""
ball,1,3.3,Otago,SW Bates,PM Inglis,J Dean,1,0,,,,,,"",""
ball,1,3.4,Otago,PM Inglis,SW Bates,J Dean,1,0,,,,,,"",""
