version,1.7.0
info,balls_per_over,6
info,team,Kandy Customs Cricket Club
info,team,Kurunegala Youth Cricket Club
info,gender,male
info,season,2024/25
info,date,2025/01/03
info,date,2025/01/04
info,date,2025/01/05
info,event,Major League Tournament
info,venue,"Welagedara Stadium, Kurunegala"
info,city,Kurunegala
info,toss_winner,Kurunegala Youth Cricket Club
info,toss_decision,field
info,umpire,R Dulsiri
info,umpire,UILD Wewage
info,match_referee,GF Labrooy
info,outcome,draw
info,player,Kandy Customs Cricket Club,KDM Maduranga
info,player,Kandy Customs Cricket Club,I Liyanage
info,player,Kandy Customs Cricket Club,S Fernando
info,player,Kandy Customs Cricket Club,RJI Udayanga
info,player,Kandy Customs Cricket Club,S Kosala
info,player,Kandy Customs Cricket Club,RP Thattil
info,player,Kandy Customs Cricket Club,MSS Jayawickrama
info,player,Kandy Customs Cricket Club,SSM Perera
info,player,Kandy Customs Cricket Club,K Nanayakkara
info,player,Kandy Customs Cricket Club,WSA Appuhami
info,player,Kandy Customs Cricket Club,BB Sanjeewa
info,player,Kurunegala Youth Cricket Club,WWAG Maneeshan
info,player,Kurunegala Youth Cricket Club,D Dharmasiri
info,player,Kurunegala Youth Cricket Club,TD Polgampola
info,player,Kurunegala Youth Cricket Club,G Weerasinghe
info,player,Kurunegala Youth Cricket Club,LEK Edirisinghe
info,player,Kurunegala Youth Cricket Club,S Sadamal
info,player,Kurunegala Youth Cricket Club,MLR Karunaratne
info,player,Kurunegala Youth Cricket Club,PLM Jayaratne
info,player,Kurunegala Youth Cricket Club,D Malan
info,player,Kurunegala Youth Cricket Club,A Premaratne
info,player,Kurunegala Youth Cricket Club,HGK Dilshan
info,registry,people,A Premaratne,5584885b
info,registry,people,BB Sanjeewa,b0b29449
info,registry,people,D Dharmasiri,5511ffed
info,registry,people,D Malan,47a09f4f
info,registry,people,G Weerasinghe,77f60c02
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,HGK Dilshan,519a99ad
info,registry,people,I Liyanage,826e1017
info,registry,people,K Nanayakkara,e8c64661
info,registry,people,KDM Maduranga,c8c7a84c
info,registry,people,LEK Edirisinghe,d4410428
info,registry,people,MLR Karunaratne,264c864e
info,registry,people,MSS Jayawickrama,3d30322a
info,registry,people,PLM Jayaratne,0859862f
info,registry,people,R Dulsiri,a7d3d23c
info,registry,people,RJI Udayanga,14e93317
info,registry,people,RP Thattil,673990db
info,registry,people,S Fernando,2cbe4f4d
info,registry,people,S Kosala,b4411c29
info,registry,people,S Sadamal,21235260
info,registry,people,SSM Perera,feead919
info,registry,people,TD Polgampola,b75b09a8
info,registry,people,UILD Wewage,6a58b590
info,registry,people,WSA Appuhami,5fa97acf
info,registry,people,WWAG Maneeshan,ab46a0c5
ball,1,0.1,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,PLM Jayaratne,1,0,,,,,,"",""
ball,1,0.2,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,0.3,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,0.4,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,0.5,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,0.6,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,1.1,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,1.2,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,2,0,,,,,,"",""
ball,1,1.3,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,1.4,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,1.5,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,1.6,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,2.1,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,2.2,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,2.3,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,2.4,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,2.5,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,2.6,Kandy Customs Cricket Club,I Liyanage,KDM Maduranga,PLM Jayaratne,0,0,,,,,,"",""
ball,1,3.1,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,3.2,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,3.3,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,3.4,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
ball,1,3.5,Kandy Customs Cricket Club,KDM Maduranga,I Liyanage,D Malan,0,0,,,,,,"",""
