version,1.7.0
info,balls_per_over,6
info,team,Maharashtra
info,team,Mumbai
info,gender,male
info,season,2017/18
info,date,2018/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue,Saurashtra Cricket Association Stadium
info,city,
info,toss_winner,Mumbai
info,toss_decision,field
info,winner,Mumbai
info,winner_wickets,7
info,player,Maharashtra,RD Gaikwad
info,player,Maharashtra,RA Tripathi
info,player,Maharashtra,VH Zol
info,player,Maharashtra,AR Bawne
info,player,Maharashtra,NS Naik
info,player,Maharashtra,Naushad Shaikh
info,player,Maharashtra,Divyang Hinganekar
info,player,Maharashtra,SS Mundhe
info,player,Maharashtra,JP Zope
info,player,Maharashtra,DJ Muthuswami
info,player,Maharashtra,SM Fallah
info,player,Mumbai,DS Kulkarni
info,player,Mumbai,SN Thakur
info,player,Mumbai,Parikshit Valsangkar
info,player,Mumbai,Akash Parkar
info,player,Mumbai,SZ Mulani
info,player,Mumbai,S Dube
info,player,Mumbai,Eknath Kerkar
info,player,Mumbai,Jay Bista
info,player,Mumbai,AP Tare
info,player,Mumbai,SD Lad
info,player,Mumbai,SA Yadav
info,registry,people,AP Tare,855a210c
info,registry,people,AR Bawne,afe3355a
info,registry,people,Akash Parkar,f992200b
info,registry,people,DJ Muthuswami,2c76b512
info,registry,people,DS Kulkarni,d2a989fc
info,registry,people,Divyang Hinganekar,cb461421
info,registry,people,Eknath Kerkar,84085032
info,registry,people,JP Zope,f3ff99aa
info,registry,people,Jay Bista,f079e8fe
info,registry,people,NS Naik,aedc3b7c
info,registry,people,Naushad Shaikh,9ed95736
info,registry,people,Parikshit Valsangkar,84ba2fbc
info,registry,people,RA Tripathi,77255a9e
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SD Lad,9601c534
info,registry,people,SM Fallah,c8f697bd
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SS Mundhe,0af3426f
info,registry,people,SZ Mulani,9d704f6f
info,registry,people,VH Zol,6dbcf855
ball,1,0.1,Maharashtra,RD Gaikwad,RA Tripathi,DS Kulkarni,0,0,,,,,,"",""
ball,1,0.2,Maharashtra,RD Gaikwad,RA Tripathi,DS Kulkarni,0,1,1,,,,,"",""
ball,1,0.3,Maharashtra,RD Gaikwad,RA Tripathi,DS Kulkarni,2,0,,,,,,"",""
ball,1,0.4,Maharashtra,RD Gaikwad,RA Tripathi,DS Kulkarni,1,0,,,,,,"",""
ball,1,0.5,Maharashtra,RA Tripathi,RD Gaikwad,DS Kulkarni,0,0,,,,,,"",""
ball,1,0.6,Maharashtra,RA Tripathi,RD Gaikwad,DS Kulkarni,0,0,,,,,,"",""
ball,1,0.7,Maharashtra,RA Tripathi,RD Gaikwad,DS Kulkarni,0,0,,,,,,"",""
ball,1,1.1,Maharashtra,RD Gaikwad,RA Tripathi,SN Thakur,0,0,,,,,,caught,RD Gaikwad
ball,1,1.2,Maharashtra,RA Tripathi,VH Zol,SN Thakur,2,0,,,,,,"",""
ball,1,1.3,Maharashtra,RA Tripathi,VH Zol,SN Thakur,0,0,,,,,,"",""
ball,1,1.4,Maharashtra,RA Tripathi,VH Zol,SN Thakur,1,0,,,,,,"",""
ball,1,1.5,Maharashtra,VH Zol,RA Tripathi,SN Thakur,0,0,,,,,,"",""
ball,1,1.6,Maharashtra,VH Zol,RA Tripathi,SN Thakur,0,0,,,,,,"",""
ball,1,2.1,Maharashtra,RA Tripathi,VH Zol,DS Kulkarni,1,0,,,,,,"",""
ball,1,2.2,Maharashtra,VH Zol,RA Tripathi,DS Kulkarni,4,0,,,,,,"",""
ball,1,2.3,Maharashtra,VH Zol,RA Tripathi,DS Kulkarni,3,0,,,,,,"",""
ball,1,2.4,Maharashtra,RA Tripathi,VH Zol,DS Kulkarni,2,0,,,,,,"",""
ball,1,2.5,Maharashtra,RA Tripathi,VH Zol,DS Kulkarni,4,0,,,,,,"",""
ball,1,2.6,Maharashtra,RA Tripathi,VH Zol,DS Kulkarni,1,0,,,,,,"",""
ball,1,3.1,Maharashtra,RA Tripathi,VH Zol,SN Thakur,0,0,,,,,,"",""
ball,1,3.2,Maharashtra,RA Tripathi,VH Zol,SN Thakur,1,0,,,,,,"",""
ball,1,3.3,Maharashtra,VH Zol,RA Tripathi,SN Thakur,0,0,,,,,,"",""
ball,1,3.4,Maharashtra,VH Zol,RA Tripathi,SN Thakur,4,0,,,,,,"",""
ball,1,3.5,Maharashtra,VH Zol,RA Tripathi,SN Thakur,0,1,1,,,,,"",""
ball,1,3.6,Maharashtra,VH Zol,RA Tripathi,SN Thakur,4,0,,,,,,"",""
ball,1,3.7,Maharashtra,VH Zol,RA Tripathi,SN Thakur,0,0,,,,,,"",""
ball,1,4.1,Maharashtra,RA Tripathi,VH Zol,Parikshit Valsangkar,4,0,,,,,,"",""
ball,1,4.2,Maharashtra,RA Tripathi,VH Zol,Parikshit Valsangkar,4,0,,,,,,"",""
ball,1,4.3,Maharashtra,RA Tripathi,VH Zol,Parikshit Valsangkar,1,0,,,,,,"",""
ball,1,4.4,Maharashtra,VH Zol,RA Tripathi,Parikshit Valsangkar,0,0,,,,,,"",""
ball,1,4.5,Maharashtra,VH Zol,RA Tripathi,Parikshit Valsangkar,0,0,,,,,,"",""
ball,1,4.6,Maharashtra,VH Zol,RA Tripathi,Parikshit Valsangkar,2,0,,,,,,"",""
ball,1,5.1,Maharashtra,RA Tripathi,VH Zol,Akash Parkar,0,0,,,,,,caught,RA Tripathi
ball,1,5.2,Maharashtra,AR Bawne,VH Zol,Akash Parkar,4,0,,,,,,"",""
ball,1,5.3,Maharashtra,AR Bawne,VH Zol,Akash Parkar,2,0,,,,,,"",""
ball,1,5.4,Maharashtra,AR Bawne,VH Zol,Akash Parkar,1,0,,,,,,"",""
ball,1,5.5,Maharashtra,VH Zol,AR Bawne,Akash Parkar,1,0,,,,,,"",""
ball,1,5.6,Maharashtra,AR Bawne,VH Zol,Akash Parkar,0,0,,,,,,"",""
ball,1,6.1,Maharashtra,VH Zol,AR Bawne,Parikshit Valsangkar,1,0,,,,,,"",""
ball,1,6.2,Maharashtra,AR Bawne,VH Zol,Parikshit Valsangkar,1,0,,,,,,"",""
ball,1,6.3,Maharashtra,VH Zol,AR Bawne,Parikshit Valsangkar,1,0,,,,,,"",""
ball,1,6.4,Maharashtra,AR Bawne,VH Zol,Parikshit Valsangkar,0,0,,,,,,"",""
