version,1.7.0
info,balls_per_over,6
info,team,Nottinghamshire
info,team,Glamorgan
info,gender,male
info,season,2015
info,date,2015/07/26
info,event,Royal London One-Day Cup
info,venue,"Welbeck Colliery Cricket Club Ground, Market Warsop"
info,city,Market Warsop
info,toss_winner,Glamorgan
info,toss_decision,field
info,umpire,BJ Debenham
info,umpire,PJ Hartley
info,outcome,no result
info,player,Nottinghamshire,MH Wessels
info,player,Nottinghamshire,AD Hales
info,player,Nottinghamshire,JWA Taylor
info,player,Nottinghamshire,BRM Taylor
info,player,Nottinghamshire,SR Patel
info,player,Nottinghamshire,DT Christian
info,player,Nottinghamshire,CMW Read
info,player,Nottinghamshire,SJ Mullaney
info,player,Nottinghamshire,LJ Fletcher
info,player,Nottinghamshire,JT Ball
info,player,Nottinghamshire,HF Gurney
info,player,Glamorgan,JA Rudolph
info,player,Glamorgan,WD Bragg
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,MA Wallace
info,player,Glamorgan,CAJ Meschede
info,player,Glamorgan,AHT Donald
info,player,Glamorgan,RAJ Smith
info,player,Glamorgan,DA Cosker
info,player,Glamorgan,MG Hogan
info,registry,people,AD Hales,92aeac25
info,registry,people,AHT Donald,72918338
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BRM Taylor,53597be1
info,registry,people,CA Ingram,c995d726
info,registry,people,CAJ Meschede,eddf25bd
info,registry,people,CB Cooke,6755cd5c
info,registry,people,CMW Read,be4cefab
info,registry,people,DA Cosker,aac9f784
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,DT Christian,2a2e6343
info,registry,people,HF Gurney,e412cb64
info,registry,people,JA Rudolph,42537f07
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,JWA Taylor,c374f37f
info,registry,people,LJ Fletcher,e423d162
info,registry,people,MA Wallace,cabf72cc
info,registry,people,MG Hogan,5da34add
info,registry,people,MH Wessels,90f47cf2
info,registry,people,PJ Hartley,17c7ff26
info,registry,people,RAJ Smith,6daf5e8c
info,registry,people,SJ Mullaney,0e0d43b4
info,registry,people,SR Patel,18fac429
info,registry,people,WD Bragg,7db8d00b
ball,1,0.1,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,0,0,,,,,,"",""
ball,1,0.2,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,1,0,,,,,,"",""
ball,1,0.3,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,1,0,,,,,,"",""
ball,1,0.4,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,1,0,,,,,,"",""
ball,1,0.5,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,0,0,,,,,,"",""
ball,1,0.6,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,0,0,,,,,,"",""
ball,1,1.1,Nottinghamshire,MH Wessels,AD Hales,RAJ Smith,1,0,,,,,,"",""
ball,1,1.2,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,0,0,,,,,,"",""
ball,1,1.3,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,0,0,,,,,,"",""
ball,1,1.4,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,0,0,,,,,,"",""
ball,1,1.5,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,0,0,,,,,,"",""
ball,1,1.6,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,1,0,,,,,,"",""
ball,1,2.1,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,0,0,,,,,,"",""
ball,1,2.2,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,0,0,,,,,,"",""
ball,1,2.3,Nottinghamshire,AD Hales,MH Wessels,MG Hogan,1,0,,,,,,"",""
ball,1,2.4,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,0,0,,,,,,"",""
ball,1,2.5,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,0,0,,,,,,"",""
ball,1,2.6,Nottinghamshire,MH Wessels,AD Hales,MG Hogan,1,0,,,,,,"",""
ball,1,3.1,Nottinghamshire,MH Wessels,AD Hales,RAJ Smith,1,0,,,,,,"",""
ball,1,3.2,Nottinghamshire,AD Hales,MH Wessels,RAJ Smith,0,0,,,,,,caught,AD Hales
ball,1,3.3,Nottinghamshire,MH Wessels,JWA Taylor,RAJ Smith,0,0,,,,,,"",""
