version,1.7.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Gujarat Giants
info,gender,female
info,season,2024/25
info,date,2025/03/13
info,event,Women's Premier League
info,venue,"Brabourne Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Gujarat Giants
info,toss_decision,field
info,player_of_match,HK Matthews
info,umpire,AS Guha
info,umpire,KM Gandhi
info,reserve_umpire,Anish Sahasrabudhe
info,tv_umpire,VG Rathi
info,match_referee,GS Lakshmi
info,winner,Mumbai Indians
info,winner_runs,47
info,player,Mumbai Indians,YH Bhatia
info,player,Mumbai Indians,HK Matthews
info,player,Mumbai Indians,NR Sciver-Brunt
info,player,Mumbai Indians,H Kaur
info,player,Mumbai Indians,S Sajana
info,player,Mumbai Indians,AC Kerr
info,player,Mumbai Indians,AB Kaur
info,player,Mumbai Indians,G Kamalini
info,player,Mumbai Indians,S Gupta
info,player,Mumbai Indians,S Ismail
info,player,Mumbai Indians,S Ishaque
info,player,Gujarat Giants,BL Mooney
info,player,Gujarat Giants,DR Gibson
info,player,Gujarat Giants,H Deol
info,player,Gujarat Giants,A Gardner
info,player,Gujarat Giants,P Litchfield
info,player,Gujarat Giants,BS Fulmali
info,player,Gujarat Giants,KS Gautam
info,player,Gujarat Giants,Simran Shaikh
info,player,Gujarat Giants,TP Kanwar
info,player,Gujarat Giants,Meghna Singh
info,player,Gujarat Giants,Priya Mishra
info,registry,people,A Gardner,bc969efb
info,registry,people,AB Kaur,9565fda6
info,registry,people,AC Kerr,7673c908
info,registry,people,AS Guha,c21b184d
info,registry,people,Anish Sahasrabudhe,2892df67
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BS Fulmali,bd8689b0
info,registry,people,DR Gibson,d2763568
info,registry,people,G Kamalini,2a5ed897
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,HK Matthews,d32cf49a
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KS Gautam,bc773c4a
info,registry,people,Meghna Singh,f176e421
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Priya Mishra,91e217c3
info,registry,people,S Gupta,fa2d6545
info,registry,people,S Ishaque,f2c1f0e5
info,registry,people,S Ismail,108c4c09
info,registry,people,S Sajana,a4dcac97
info,registry,people,Simran Shaikh,4961601c
info,registry,people,TP Kanwar,443c122f
info,registry,people,VG Rathi,144e5b16
info,registry,people,YH Bhatia,9c3d4e8a
ball,1,0.1,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,0,0,,,,,,"",""
ball,1,0.2,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,1,0,,,,,,"",""
ball,1,0.3,Mumbai Indians,HK Matthews,YH Bhatia,KS Gautam,0,0,,,,,,"",""
ball,1,0.4,Mumbai Indians,HK Matthews,YH Bhatia,KS Gautam,1,0,,,,,,"",""
ball,1,0.5,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,0,0,,,,,,"",""
ball,1,0.6,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,0,0,,,,,,"",""
ball,1,1.1,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,1.2,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,4,0,,,,,,"",""
ball,1,1.3,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,1.4,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,1.5,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,1.6,Mumbai Indians,HK Matthews,YH Bhatia,A Gardner,0,0,,,,,,"",""
ball,1,2.1,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,4,0,,,,,,"",""
ball,1,2.2,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,4,0,,,,,,"",""
ball,1,2.3,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,0,0,,,,,,"",""
ball,1,2.4,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,0,0,,,,,,"",""
ball,1,2.5,Mumbai Indians,YH Bhatia,HK Matthews,KS Gautam,1,0,,,,,,"",""
ball,1,2.6,Mumbai Indians,HK Matthews,YH Bhatia,KS Gautam,1,0,,,,,,"",""
ball,1,3.1,Mumbai Indians,HK Matthews,YH Bhatia,TP Kanwar,4,0,,,,,,"",""
ball,1,3.2,Mumbai Indians,HK Matthews,YH Bhatia,TP Kanwar,0,0,,,,,,"",""
ball,1,3.3,Mumbai Indians,HK Matthews,YH Bhatia,TP Kanwar,1,0,,,,,,"",""
ball,1,3.4,Mumbai Indians,YH Bhatia,HK Matthews,TP Kanwar,0,0,,,,,,"",""
ball,1,3.5,Mumbai Indians,YH Bhatia,HK Matthews,TP Kanwar,4,0,,,,,,"",""
ball,1,3.6,Mumbai Indians,YH Bhatia,HK Matthews,TP Kanwar,1,0,,,,,,"",""
