version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Sri Lanka
info,gender,male
info,season,2023
info,date,2023/08/31
info,event,Asia Cup
info,match_number,2
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,M Pathirana
info,umpire,J Madanagopal
info,umpire,P Wilson
info,reserve_umpire,RSA Palliyaguruge
info,tv_umpire,RK Illingworth
info,match_referee,J Srinath
info,winner,Sri Lanka
info,winner_wickets,5
info,player,Bangladesh,Mohammad Naim
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Shoriful Islam
info,player,Bangladesh,Mustafizur Rahman
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CAK Rajitha
info,player,Sri Lanka,M Pathirana
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,DM de Silva,7d608e12
info,registry,people,DN Wellalage,736123bb
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,KIC Asalanka,732c038e
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Wilson,68304a36
info,registry,people,RK Illingworth,20672246
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
ball,1,0.1,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,4,0,,,,,,"",""
ball,1,0.5,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,Mohammad Naim,Tanzid Hasan,CAK Rajitha,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Tanzid Hasan,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,1.2,Bangladesh,Tanzid Hasan,Mohammad Naim,M Theekshana,0,0,,,,,,lbw,Tanzid Hasan
ball,1,1.3,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.4,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,0,0,,,,,,"",""
ball,1,2.5,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,4,0,,,,,,"",""
ball,1,2.6,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,CAK Rajitha,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Nazmul Hossain Shanto,Mohammad Naim,M Theekshana,1,0,,,,,,"",""
ball,1,3.4,Bangladesh,Mohammad Naim,Nazmul Hossain Shanto,M Theekshana,1,0,,,,,,"",""
