version,1.7.0
info,balls_per_over,6
info,team,Durban's Super Giants
info,team,Paarl Royals
info,gender,male
info,season,2024/25
info,date,2025/01/27
info,event,SA20
info,match_number,23
info,venue,"Boland Park, Paarl"
info,city,Paarl
info,toss_winner,Durban's Super Giants
info,toss_decision,bat
info,player_of_match,RA Herman
info,umpire,A Paleker
info,umpire,BP Jele
info,reserve_umpire,A Steenkamp
info,tv_umpire,A Jacobs
info,match_referee,GH Pienaar
info,winner,Paarl Royals
info,winner_wickets,6
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,BA King
info,player,Durban's Super Giants,B Parsons
info,player,Durban's Super Giants,KS Williamson
info,player,Durban's Super Giants,MP Stoinis
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,JT Smuts
info,player,Durban's Super Giants,P Subrayen
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,Noor Ahmad
info,player,Paarl Royals,JE Root
info,player,Paarl Royals,LG Pretorius
info,player,Paarl Royals,RA Herman
info,player,Paarl Royals,M Van Buuren
info,player,Paarl Royals,KD Karthik
info,player,Paarl Royals,Dayyaan Galiem
info,player,Paarl Royals,DA Miller
info,player,Paarl Royals,DN Wellalage
info,player,Paarl Royals,BC Fortuin
info,player,Paarl Royals,Mujeeb Ur Rahman
info,player,Paarl Royals,KT Maphaka
info,registry,people,A Jacobs,70d117de
info,registry,people,A Paleker,634b11ac
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,B Parsons,fc60e81a
info,registry,people,BA King,7fca84b7
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,CJ Dala,1cb14aa4
info,registry,people,D Marais,428308fb
info,registry,people,DA Miller,d67d5f00
info,registry,people,DN Wellalage,736123bb
info,registry,people,Dayyaan Galiem,47c449c5
info,registry,people,GH Pienaar,3516e46b
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JE Root,a343262c
info,registry,people,JT Smuts,42172c3c
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KD Karthik,c03f1114
info,registry,people,KS Williamson,d027ba9f
info,registry,people,KT Maphaka,107c26fb
info,registry,people,LG Pretorius,60aa2db3
info,registry,people,M Van Buuren,46e4a4e0
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Subrayen,7ec9711d
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RA Herman,9c821d2e
ball,1,0.1,Durban's Super Giants,Q de Kock,BA King,BC Fortuin,0,0,,,,,,"",""
ball,1,0.2,Durban's Super Giants,Q de Kock,BA King,BC Fortuin,0,0,,,,,,"",""
ball,1,0.3,Durban's Super Giants,Q de Kock,BA King,BC Fortuin,0,0,,,,,,bowled,Q de Kock
ball,1,0.4,Durban's Super Giants,B Parsons,BA King,BC Fortuin,1,0,,,,,,"",""
ball,1,0.5,Durban's Super Giants,BA King,B Parsons,BC Fortuin,0,0,,,,,,"",""
ball,1,0.6,Durban's Super Giants,BA King,B Parsons,BC Fortuin,1,0,,,,,,"",""
ball,1,1.1,Durban's Super Giants,BA King,B Parsons,KT Maphaka,0,0,,,,,,"",""
ball,1,1.2,Durban's Super Giants,BA King,B Parsons,KT Maphaka,2,0,,,,,,"",""
ball,1,1.3,Durban's Super Giants,BA King,B Parsons,KT Maphaka,0,0,,,,,,"",""
ball,1,1.4,Durban's Super Giants,BA King,B Parsons,KT Maphaka,0,0,,,,,,"",""
ball,1,1.5,Durban's Super Giants,BA King,B Parsons,KT Maphaka,0,0,,,,,,bowled,BA King
ball,1,1.6,Durban's Super Giants,KS Williamson,B Parsons,KT Maphaka,0,0,,,,,,"",""
ball,1,2.1,Durban's Super Giants,B Parsons,KS Williamson,BC Fortuin,0,0,,,,,,"",""
ball,1,2.2,Durban's Super Giants,B Parsons,KS Williamson,BC Fortuin,1,0,,,,,,"",""
ball,1,2.3,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,0,0,,,,,,"",""
ball,1,2.4,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,1,0,,,,,,"",""
ball,1,2.5,Durban's Super Giants,B Parsons,KS Williamson,BC Fortuin,1,0,,,,,,"",""
ball,1,2.6,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,1,0,,,,,,"",""
ball,1,3.1,Durban's Super Giants,KS Williamson,B Parsons,KT Maphaka,1,0,,,,,,"",""
ball,1,3.2,Durban's Super Giants,B Parsons,KS Williamson,KT Maphaka,1,0,,,,,,"",""
ball,1,3.3,Durban's Super Giants,KS Williamson,B Parsons,KT Maphaka,0,0,,,,,,"",""
ball,1,3.4,Durban's Super Giants,KS Williamson,B Parsons,KT Maphaka,1,0,,,,,,"",""
ball,1,3.5,Durban's Super Giants,B Parsons,KS Williamson,KT Maphaka,0,1,1,,,,,"",""
ball,1,3.6,Durban's Super Giants,B Parsons,KS Williamson,KT Maphaka,4,0,,,,,,"",""
ball,1,3.7,Durban's Super Giants,B Parsons,KS Williamson,KT Maphaka,0,0,,,,,,"",""
ball,1,4.1,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,0,0,,,,,,"",""
ball,1,4.2,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,4,0,,,,,,"",""
ball,1,4.3,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,0,0,,,,,,"",""
ball,1,4.4,Durban's Super Giants,KS Williamson,B Parsons,BC Fortuin,1,0,,,,,,"",""
