version,1.7.0
info,balls_per_over,6
info,team,Central Sparks
info,team,Thunder
info,gender,female
info,season,2023
info,date,2023/07/02
info,event,Rachael Heyhoe Flint Trophy
info,match_number,22
info,venue,"County Ground, New Road, Worcester"
info,city,Worcester
info,toss_winner,Thunder
info,toss_decision,field
info,umpire,James Middlebrook
info,umpire,SD Hollingshead
info,match_referee,DE Malcolm
info,winner,Central Sparks
info,winner_runs,29
info,player,Central Sparks,E Jones
info,player,Central Sparks,B Ellis
info,player,Central Sparks,AJ Freeborn
info,player,Central Sparks,EA Burns
info,player,Central Sparks,A Campbell
info,player,Central Sparks,D Perrin
info,player,Central Sparks,KL George
info,player,Central Sparks,C Pavely
info,player,Central Sparks,GK Davis
info,player,Central Sparks,RA Fackrell
info,player,Central Sparks,G Potts
info,player,Thunder,S Smale
info,player,Thunder,ND Dattani
info,player,Thunder,FMK Morris
info,player,Thunder,DJS Dottin
info,player,Thunder,E Threlkeld
info,player,Thunder,DL Collins
info,player,Thunder,L Heap
info,player,Thunder,TG Norris
info,player,Thunder,L Jackson
info,player,Thunder,M Gaur
info,player,Thunder,S Morris
info,registry,people,A Campbell,4b788e61
info,registry,people,AJ Freeborn,c6da6ebf
info,registry,people,B Ellis,370a88ac
info,registry,people,C Pavely,907e5f6c
info,registry,people,D Perrin,bfa0fa33
info,registry,people,DE Malcolm,29c7ca03
info,registry,people,DJS Dottin,53bee17f
info,registry,people,DL Collins,246ba42c
info,registry,people,E Jones,971cb321
info,registry,people,E Threlkeld,c66c73f9
info,registry,people,EA Burns,2e0b6638
info,registry,people,FMK Morris,3a9b3866
info,registry,people,G Potts,e3a93585
info,registry,people,GK Davis,54719239
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,KL George,e69dbbef
info,registry,people,L Heap,8d26dfab
info,registry,people,L Jackson,68ac12a0
info,registry,people,M Gaur,df9cdebf
info,registry,people,ND Dattani,13c19f32
info,registry,people,RA Fackrell,b074cd46
info,registry,people,S Morris,76419733
info,registry,people,S Smale,3247d54e
info,registry,people,SD Hollingshead,7ccfb799
info,registry,people,TG Norris,8ae7bb3e
ball,1,0.1,Central Sparks,E Jones,B Ellis,M Gaur,0,0,,,,,,"",""
ball,1,0.2,Central Sparks,E Jones,B Ellis,M Gaur,0,0,,,,,,"",""
ball,1,0.3,Central Sparks,E Jones,B Ellis,M Gaur,1,0,,,,,,"",""
ball,1,0.4,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,0.5,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,0.6,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,1.1,Central Sparks,E Jones,B Ellis,TG Norris,2,0,,,,,,"",""
ball,1,1.2,Central Sparks,E Jones,B Ellis,TG Norris,0,0,,,,,,"",""
ball,1,1.3,Central Sparks,E Jones,B Ellis,TG Norris,0,0,,,,,,"",""
ball,1,1.4,Central Sparks,E Jones,B Ellis,TG Norris,0,0,,,,,,"",""
ball,1,1.5,Central Sparks,E Jones,B Ellis,TG Norris,0,0,,,,,,"",""
ball,1,1.6,Central Sparks,E Jones,B Ellis,TG Norris,0,0,,,,,,"",""
ball,1,2.1,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,2.2,Central Sparks,B Ellis,E Jones,M Gaur,1,0,,,,,,"",""
ball,1,2.3,Central Sparks,E Jones,B Ellis,M Gaur,1,0,,,,,,"",""
ball,1,2.4,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,2.5,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,"",""
ball,1,2.6,Central Sparks,B Ellis,E Jones,M Gaur,0,0,,,,,,bowled,B Ellis
ball,1,3.1,Central Sparks,E Jones,AJ Freeborn,TG Norris,0,0,,,,,,"",""
ball,1,3.2,Central Sparks,E Jones,AJ Freeborn,TG Norris,0,0,,,,,,bowled,E Jones
ball,1,3.3,Central Sparks,EA Burns,AJ Freeborn,TG Norris,0,0,,,,,,"",""
ball,1,3.4,Central Sparks,EA Burns,AJ Freeborn,TG Norris,0,0,,,,,,"",""
ball,1,3.5,Central Sparks,EA Burns,AJ Freeborn,TG Norris,0,0,,,,,,"",""
