version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Melbourne Stars
info,gender,male
info,season,2024/25
info,date,2025/01/22
info,event,Big Bash League
info,venue,Sydney Showground Stadium
info,city,Sydney
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,N McAndrew
info,umpire,DM Koch
info,umpire,PJ Gillespie
info,reserve_umpire,SA Lightbody
info,tv_umpire,MW Graham-Smith
info,match_referee,RW Stratford
info,winner,Sydney Thunder
info,winner_runs,21
info,method,D/L
info,player,Sydney Thunder,DA Warner
info,player,Sydney Thunder,HD Weibgen
info,player,Sydney Thunder,M Gilkes
info,player,Sydney Thunder,SW Billings
info,player,Sydney Thunder,O Davies
info,player,Sydney Thunder,GHS Garton
info,player,Sydney Thunder,CJ Green
info,player,Sydney Thunder,N McAndrew
info,player,Sydney Thunder,TD Andrews
info,player,Sydney Thunder,WA Agar
info,player,Sydney Thunder,T Sangha
info,player,Melbourne Stars,SB Harper
info,player,Melbourne Stars,TF Rogers
info,player,Melbourne Stars,PSP Handscomb
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,HWR Cartwright
info,player,Melbourne Stars,TK Curran
info,player,Melbourne Stars,Usama Mir
info,player,Melbourne Stars,MT Steketee
info,player,Melbourne Stars,D Warren
info,player,Melbourne Stars,PM Siddle
info,registry,people,CJ Green,19b9f399
info,registry,people,D Warren,ef55b38c
info,registry,people,DA Warner,dcce6f09
info,registry,people,DM Koch,6d10c034
info,registry,people,GHS Garton,be869ccf
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HD Weibgen,2535b30f
info,registry,people,HWR Cartwright,ab965cad
info,registry,people,M Gilkes,d85b0f8b
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MT Steketee,903560ed
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,N McAndrew,38c276e1
info,registry,people,O Davies,0ea54eca
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,PM Siddle,bd93fea4
info,registry,people,PSP Handscomb,ada15e88
info,registry,people,RW Stratford,85489579
info,registry,people,SA Lightbody,680b8cbf
info,registry,people,SB Harper,a756e61a
info,registry,people,SW Billings,c16d4035
info,registry,people,T Sangha,52c952d9
info,registry,people,TD Andrews,a0f612b6
info,registry,people,TF Rogers,7f232d46
info,registry,people,TK Curran,e86754b2
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WA Agar,15de1f5d
ball,1,0.1,Sydney Thunder,DA Warner,HD Weibgen,TK Curran,0,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,DA Warner,HD Weibgen,TK Curran,0,1,1,,,,,"",""
ball,1,0.3,Sydney Thunder,DA Warner,HD Weibgen,TK Curran,0,0,,,,,,caught,DA Warner
ball,1,0.4,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,0,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,0,0,,,,,,"",""
ball,1,0.7,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,4,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,HD Weibgen,M Gilkes,MT Steketee,0,1,1,,,,,"",""
ball,1,1.2,Sydney Thunder,HD Weibgen,M Gilkes,MT Steketee,0,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,HD Weibgen,M Gilkes,MT Steketee,0,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,HD Weibgen,M Gilkes,MT Steketee,1,0,,,,,,"",""
ball,1,1.5,Sydney Thunder,M Gilkes,HD Weibgen,MT Steketee,3,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,HD Weibgen,M Gilkes,MT Steketee,1,0,,,,,,"",""
ball,1,1.7,Sydney Thunder,M Gilkes,HD Weibgen,MT Steketee,6,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,HD Weibgen,M Gilkes,TK Curran,1,0,,,,,,"",""
ball,1,2.2,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,0,0,,,,,,"",""
ball,1,2.3,Sydney Thunder,M Gilkes,HD Weibgen,TK Curran,1,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,HD Weibgen,M Gilkes,TK Curran,2,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,HD Weibgen,M Gilkes,TK Curran,0,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,HD Weibgen,M Gilkes,TK Curran,4,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,M Gilkes,HD Weibgen,PM Siddle,4,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,M Gilkes,HD Weibgen,PM Siddle,4,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,M Gilkes,HD Weibgen,PM Siddle,0,0,,,,,,"",""
