version,1.7.0
info,balls_per_over,6
info,team,UP Warriorz
info,team,Delhi Capitals
info,gender,female
info,season,2024/25
info,date,2025/02/22
info,event,Women's Premier League
info,match_number,8
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,Delhi Capitals
info,toss_decision,field
info,player_of_match,CA Henry
info,umpire,KM Gandhi
info,umpire,K Kelkar
info,reserve_umpire,AS Guha
info,tv_umpire,VG Rathi
info,match_referee,NK Lokur
info,winner,UP Warriorz
info,winner_runs,33
info,player,UP Warriorz,KP Navgire
info,player,UP Warriorz,D Vrinda
info,player,UP Warriorz,DB Sharma
info,player,UP Warriorz,TM McGrath
info,player,UP Warriorz,S Sehrawat
info,player,UP Warriorz,GM Harris
info,player,UP Warriorz,U Chetry
info,player,UP Warriorz,CA Henry
info,player,UP Warriorz,S Ecclestone
info,player,UP Warriorz,SZ Thakor
info,player,UP Warriorz,K Goud
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,MM Lanning
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,A Sutherland
info,player,Delhi Capitals,JL Jonassen
info,player,Delhi Capitals,SJ Bryce
info,player,Delhi Capitals,NS Prasad
info,player,Delhi Capitals,S Pandey
info,player,Delhi Capitals,A Reddy
info,player,Delhi Capitals,M Mani
info,registry,people,A Reddy,eadc8924
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AS Guha,c21b184d
info,registry,people,CA Henry,75820733
info,registry,people,D Vrinda,3a015a5f
info,registry,people,DB Sharma,201fef33
info,registry,people,GM Harris,72166006
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,K Goud,4d622fee
info,registry,people,K Kelkar,1d88908d
info,registry,people,KM Gandhi,a9421c64
info,registry,people,KP Navgire,617a0b79
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Mani,8d1ade08
info,registry,people,MM Lanning,27e003ce
info,registry,people,NK Lokur,2b0fa148
info,registry,people,NS Prasad,f903aec2
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Pandey,5463cb7a
info,registry,people,S Sehrawat,0e9d4094
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SZ Thakor,7d794fa6
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,U Chetry,8f8f94fd
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,UP Warriorz,KP Navgire,D Vrinda,M Kapp,1,0,,,,,,"",""
ball,1,0.2,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,0.3,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,0.4,UP Warriorz,D Vrinda,KP Navgire,M Kapp,4,0,,,,,,"",""
ball,1,0.5,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,5,5,,,,,"",""
ball,1,0.6,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,0.7,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,1.1,UP Warriorz,KP Navgire,D Vrinda,S Pandey,0,0,,,,,,"",""
ball,1,1.2,UP Warriorz,KP Navgire,D Vrinda,S Pandey,4,0,,,,,,"",""
ball,1,1.3,UP Warriorz,KP Navgire,D Vrinda,S Pandey,0,1,1,,,,,"",""
ball,1,1.4,UP Warriorz,KP Navgire,D Vrinda,S Pandey,0,0,,,,,,"",""
ball,1,1.5,UP Warriorz,KP Navgire,D Vrinda,S Pandey,0,0,,,,,,"",""
ball,1,1.6,UP Warriorz,KP Navgire,D Vrinda,S Pandey,0,0,,,,,,"",""
ball,1,1.7,UP Warriorz,KP Navgire,D Vrinda,S Pandey,2,0,,,,,,"",""
ball,1,2.1,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,2.2,UP Warriorz,D Vrinda,KP Navgire,M Kapp,0,0,,,,,,caught,D Vrinda
ball,1,2.3,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,1,1,,,,,"",""
ball,1,2.4,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,2.5,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,2.6,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,2.7,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,3.1,UP Warriorz,KP Navgire,DB Sharma,S Pandey,0,0,,,,,,"",""
ball,1,3.2,UP Warriorz,KP Navgire,DB Sharma,S Pandey,0,0,,,,,,"",""
ball,1,3.3,UP Warriorz,KP Navgire,DB Sharma,S Pandey,0,0,,,,,,"",""
ball,1,3.4,UP Warriorz,KP Navgire,DB Sharma,S Pandey,4,0,,,,,,"",""
ball,1,3.5,UP Warriorz,KP Navgire,DB Sharma,S Pandey,0,0,,,,,,"",""
ball,1,3.6,UP Warriorz,KP Navgire,DB Sharma,S Pandey,0,0,,,,,,"",""
ball,1,4.1,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,4.2,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,4.3,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,4.4,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,4,,,,4,,"",""
ball,1,4.5,UP Warriorz,DB Sharma,KP Navgire,M Kapp,0,0,,,,,,"",""
ball,1,4.6,UP Warriorz,DB Sharma,KP Navgire,M Kapp,4,0,,,,,,"",""
ball,1,5.1,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,0,0,,,,,,"",""
ball,1,5.2,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,4,0,,,,,,"",""
ball,1,5.3,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,0,0,,,,,,"",""
ball,1,5.4,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,0,0,,,,,,"",""
ball,1,5.5,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,0,1,1,,,,,"",""
ball,1,5.6,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,2,0,,,,,,"",""
ball,1,5.7,UP Warriorz,KP Navgire,DB Sharma,A Sutherland,0,1,,,,1,,"",""
