version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Adelaide Strikers
info,gender,male
info,season,2025/26
info,date,2026/01/04
info,event,Big Bash League
info,match_number,23
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Adelaide Strikers
info,toss_decision,field
info,player_of_match,JS Paris
info,umpire,BC Treloar
info,umpire,Eloise Sheridan
info,reserve_umpire,D Brigham
info,tv_umpire,SE Dionysius
info,match_referee,CA Burke
info,winner,Perth Scorchers
info,winner_runs,33
info,player,Perth Scorchers,MR Marsh
info,player,Perth Scorchers,S Fanning
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,AJ Turner
info,player,Perth Scorchers,JL Curtis
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JS Paris
info,player,Perth Scorchers,BL Couch
info,player,Perth Scorchers,M Beardman
info,player,Adelaide Strikers,MW Short
info,player,Adelaide Strikers,CA Lynn
info,player,Adelaide Strikers,MW Harvey
info,player,Adelaide Strikers,JJS Sangha
info,player,Adelaide Strikers,L Scott
info,player,Adelaide Strikers,HJ Manenti
info,player,Adelaide Strikers,J Overton
info,player,Adelaide Strikers,J Wadia
info,player,Adelaide Strikers,L Wood
info,player,Adelaide Strikers,L Pope
info,player,Adelaide Strikers,T Shamsi
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BC Treloar,f7e8ee52
info,registry,people,BL Couch,be69e09d
info,registry,people,C Connolly,fe366f34
info,registry,people,CA Burke,629654e6
info,registry,people,CA Lynn,45eda7c8
info,registry,people,D Brigham,464daf41
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,HJ Manenti,0e56c514
info,registry,people,J Overton,59559bc2
info,registry,people,J Wadia,6ef38020
info,registry,people,JJS Sangha,8e3cb0e9
info,registry,people,JL Curtis,a4349861
info,registry,people,JS Paris,7c8f533d
info,registry,people,L Pope,616a8149
info,registry,people,L Scott,0ebb3444
info,registry,people,L Wood,65b6943c
info,registry,people,M Beardman,b5a12740
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Harvey,47dc9794
info,registry,people,MW Short,a90e53ec
info,registry,people,NR Hobson,4312e0fd
info,registry,people,S Fanning,a9d2dab9
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,T Shamsi,a03bba42
ball,1,0.1,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,0.4,Perth Scorchers,MR Marsh,S Fanning,L Wood,1,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,S Fanning,MR Marsh,L Wood,0,0,,,,,,"",""
ball,1,0.6,Perth Scorchers,S Fanning,MR Marsh,L Wood,4,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,MR Marsh,S Fanning,L Scott,0,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,MR Marsh,S Fanning,L Scott,0,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,MR Marsh,S Fanning,L Scott,0,0,,,,,,"",""
ball,1,1.4,Perth Scorchers,MR Marsh,S Fanning,L Scott,4,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,MR Marsh,S Fanning,L Scott,1,0,,,,,,"",""
ball,1,1.6,Perth Scorchers,S Fanning,MR Marsh,L Scott,0,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,MR Marsh,S Fanning,L Wood,4,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,MR Marsh,S Fanning,L Wood,0,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,MR Marsh,S Fanning,L Wood,4,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,S Fanning,MR Marsh,L Scott,4,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,S Fanning,MR Marsh,L Scott,0,0,,,,,,"",""
ball,1,3.3,Perth Scorchers,S Fanning,MR Marsh,L Scott,2,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,S Fanning,MR Marsh,L Scott,4,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,S Fanning,MR Marsh,L Scott,6,0,,,,,,"",""
ball,1,3.6,Perth Scorchers,S Fanning,MR Marsh,L Scott,0,0,,,,,,"",""
ball,1,4.1,Perth Scorchers,MR Marsh,S Fanning,L Pope,0,0,,,,,,"",""
