version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2024/02/17
info,event,ICC Men's Cricket World Cup League 2
info,match_number,2
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,K Bhurtel
info,umpire,Asif Yaqoob
info,umpire,DN Subedi
info,reserve_umpire,BB Pradhan
info,match_referee,Neeyamur Rashid
info,winner,Nepal
info,winner_wickets,9
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,BFW de Leede
info,player,Netherlands,SA Edwards
info,player,Netherlands,NRJ Croes
info,player,Netherlands,W Barresi
info,player,Netherlands,Shariz Ahmad
info,player,Netherlands,A Dutt
info,player,Netherlands,K Klein
info,player,Netherlands,VJ Kingma
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,AK Sah
info,player,Nepal,RK Paudel
info,player,Nepal,B Sharki
info,player,Nepal,Kushal Malla
info,player,Nepal,Sompal Kami
info,player,Nepal,Gulsan Jha
info,player,Nepal,D Khanal
info,player,Nepal,DS Airee
info,player,Nepal,LN Rajbanshi
info,registry,people,A Dutt,803dbf1d
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,B Sharki,fbdc8309
info,registry,people,BB Pradhan,8603d942
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,D Khanal,c4bc3b59
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,K Klein,374bb5e7
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MP O'Dowd,b699df47
info,registry,people,NRJ Croes,f427e63e
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,RK Paudel,1a3cc554
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,Shariz Ahmad,7595b47f
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,W Barresi,0d677597
ball,1,0.1,Netherlands,M Levitt,MP O'Dowd,Sompal Kami,0,0,,,,,,"",""
ball,1,0.2,Netherlands,M Levitt,MP O'Dowd,Sompal Kami,0,0,,,,,,"",""
ball,1,0.3,Netherlands,M Levitt,MP O'Dowd,Sompal Kami,0,0,,,,,,caught,M Levitt
ball,1,0.4,Netherlands,SA Engelbrecht,MP O'Dowd,Sompal Kami,0,0,,,,,,"",""
ball,1,0.5,Netherlands,SA Engelbrecht,MP O'Dowd,Sompal Kami,2,0,,,,,,"",""
ball,1,0.6,Netherlands,SA Engelbrecht,MP O'Dowd,Sompal Kami,0,0,,,,,,"",""
ball,1,1.1,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.2,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.3,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.4,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.5,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,1,0,,,,,,"",""
ball,1,1.6,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,0,0,,,,,,"",""
ball,1,2.1,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,2.2,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,2.3,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,2.4,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,2.5,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,2.6,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,3.1,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.2,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,1,0,,,,,,"",""
ball,1,3.3,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.4,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,1,0,,,,,,"",""
ball,1,3.5,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.6,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,0,0,,,,,,"",""
ball,1,4.1,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,4.2,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,4.3,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,6,0,,,,,,"",""
ball,1,4.4,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,4.5,Netherlands,MP O'Dowd,SA Engelbrecht,Sompal Kami,1,0,,,,,,"",""
ball,1,4.6,Netherlands,SA Engelbrecht,MP O'Dowd,Sompal Kami,0,0,,,,,,"",""
ball,1,5.1,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,"",""
ball,1,5.2,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,1,0,,,,,,"",""
ball,1,5.3,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,4,0,,,,,,"",""
ball,1,5.4,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,0,0,,,,,,"",""
ball,1,5.5,Netherlands,SA Engelbrecht,MP O'Dowd,LN Rajbanshi,1,0,,,,,,"",""
ball,1,5.6,Netherlands,MP O'Dowd,SA Engelbrecht,LN Rajbanshi,0,0,,,,,,run out,MP O'Dowd
ball,1,6.1,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,6.2,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,6.3,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,4,0,,,,,,"",""
ball,1,6.4,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,6.5,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,6.6,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,7.1,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,0,0,,,,,,"",""
ball,1,7.2,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,0,0,,,,,,"",""
ball,1,7.3,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,0,0,,,,,,"",""
ball,1,7.4,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,0,0,,,,,,"",""
ball,1,7.5,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,4,0,,,,,,"",""
ball,1,7.6,Netherlands,SA Engelbrecht,BFW de Leede,LN Rajbanshi,0,0,,,,,,"",""
ball,1,8.1,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,8.2,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
ball,1,8.3,Netherlands,BFW de Leede,SA Engelbrecht,Sompal Kami,0,0,,,,,,"",""
