version,1.7.0
info,balls_per_over,6
info,team,Sydney Thunder
info,team,Melbourne Renegades
info,gender,female
info,season,2025/26
info,date,2025/11/23
info,event,Women's Big Bash League
info,match_number,21
info,venue,"Drummoyne Oval, Sydney"
info,city,Sydney
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,A Capsey
info,umpire,CA Polosak
info,umpire,Roberto Howard
info,reserve_umpire,L McGill
info,tv_umpire,ME Claydon
info,match_referee,J Stainer
info,winner,Melbourne Renegades
info,winner_wickets,8
info,player,Sydney Thunder,G Voll
info,player,Sydney Thunder,T Wilson
info,player,Sydney Thunder,P Litchfield
info,player,Sydney Thunder,HC Knight
info,player,Sydney Thunder,A Learoyd
info,player,Sydney Thunder,L Harris
info,player,Sydney Thunder,EL Arlott
info,player,Sydney Thunder,Hasrat Gill
info,player,Sydney Thunder,T Peschel
info,player,Sydney Thunder,S Ismail
info,player,Sydney Thunder,SL Bates
info,player,Melbourne Renegades,E de Broughe
info,player,Melbourne Renegades,C Webb
info,player,Melbourne Renegades,S Molineux
info,player,Melbourne Renegades,A Capsey
info,player,Melbourne Renegades,G Wareham
info,player,Melbourne Renegades,DJS Dottin
info,player,Melbourne Renegades,N Faltum
info,player,Melbourne Renegades,IECM Wong
info,player,Melbourne Renegades,SJ Coyte
info,player,Melbourne Renegades,MH Illingworth
info,player,Melbourne Renegades,C Bekker
info,registry,people,A Capsey,910dd54e
info,registry,people,A Learoyd,1757bedf
info,registry,people,C Bekker,1508c1ee
info,registry,people,C Webb,1f4a8a2a
info,registry,people,CA Polosak,26a360d2
info,registry,people,DJS Dottin,53bee17f
info,registry,people,E de Broughe,5b8826e0
info,registry,people,EL Arlott,78fd864b
info,registry,people,G Voll,5c30d455
info,registry,people,G Wareham,f0b4e47d
info,registry,people,HC Knight,4ba0289e
info,registry,people,Hasrat Gill,95a055e0
info,registry,people,IECM Wong,e5b17517
info,registry,people,J Stainer,fcd293d7
info,registry,people,L Harris,36e2dc83
info,registry,people,L McGill,ab999519
info,registry,people,ME Claydon,15101f12
info,registry,people,MH Illingworth,99dc3877
info,registry,people,N Faltum,9a56c670
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Roberto Howard,eec90c4b
info,registry,people,S Ismail,108c4c09
info,registry,people,S Molineux,99e23670
info,registry,people,SJ Coyte,a5f488bc
info,registry,people,SL Bates,0816fb1e
info,registry,people,T Peschel,923402d8
info,registry,people,T Wilson,32100b2d
ball,1,0.1,Sydney Thunder,G Voll,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,0.2,Sydney Thunder,G Voll,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,0.3,Sydney Thunder,G Voll,T Wilson,C Bekker,1,0,,,,,,"",""
ball,1,0.4,Sydney Thunder,T Wilson,G Voll,C Bekker,0,0,,,,,,"",""
ball,1,0.5,Sydney Thunder,T Wilson,G Voll,C Bekker,0,0,,,,,,"",""
ball,1,0.6,Sydney Thunder,T Wilson,G Voll,C Bekker,0,0,,,,,,"",""
ball,1,1.1,Sydney Thunder,G Voll,T Wilson,MH Illingworth,0,0,,,,,,"",""
ball,1,1.2,Sydney Thunder,G Voll,T Wilson,MH Illingworth,4,0,,,,,,"",""
ball,1,1.3,Sydney Thunder,G Voll,T Wilson,MH Illingworth,4,0,,,,,,"",""
ball,1,1.4,Sydney Thunder,G Voll,T Wilson,MH Illingworth,0,0,,,,,,caught,G Voll
ball,1,1.5,Sydney Thunder,P Litchfield,T Wilson,MH Illingworth,4,0,,,,,,"",""
ball,1,1.6,Sydney Thunder,P Litchfield,T Wilson,MH Illingworth,1,0,,,,,,"",""
ball,1,2.1,Sydney Thunder,P Litchfield,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,2.2,Sydney Thunder,P Litchfield,T Wilson,C Bekker,0,0,,,,,,caught,P Litchfield
ball,1,2.3,Sydney Thunder,HC Knight,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,2.4,Sydney Thunder,HC Knight,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,2.5,Sydney Thunder,HC Knight,T Wilson,C Bekker,0,0,,,,,,"",""
ball,1,2.6,Sydney Thunder,HC Knight,T Wilson,C Bekker,1,0,,,,,,"",""
ball,1,3.1,Sydney Thunder,HC Knight,T Wilson,IECM Wong,0,0,,,,,,"",""
ball,1,3.2,Sydney Thunder,HC Knight,T Wilson,IECM Wong,2,0,,,,,,"",""
ball,1,3.3,Sydney Thunder,HC Knight,T Wilson,IECM Wong,1,0,,,,,,"",""
ball,1,3.4,Sydney Thunder,T Wilson,HC Knight,IECM Wong,0,0,,,,,,"",""
ball,1,3.5,Sydney Thunder,T Wilson,HC Knight,IECM Wong,0,0,,,,,,"",""
ball,1,3.6,Sydney Thunder,T Wilson,HC Knight,IECM Wong,1,0,,,,,,"",""
ball,1,4.1,Sydney Thunder,T Wilson,HC Knight,C Bekker,1,0,,,,,,"",""
