version,1.7.0
info,balls_per_over,6
info,team,Delhi Capitals
info,team,Royal Challengers Bangalore
info,gender,female
info,season,2022/23
info,date,2023/03/05
info,event,Women's Premier League
info,match_number,2
info,venue,"Brabourne Stadium, Mumbai"
info,city,Mumbai
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,TG Norris
info,umpire,Chirra Ravikanthreddy
info,umpire,N Janani
info,reserve_umpire,Saurabh Dhote
info,tv_umpire,M Kuppuraj
info,match_referee,RB Kalita
info,winner,Delhi Capitals
info,winner_runs,60
info,player,Delhi Capitals,MM Lanning
info,player,Delhi Capitals,Shafali Verma
info,player,Delhi Capitals,M Kapp
info,player,Delhi Capitals,JI Rodrigues
info,player,Delhi Capitals,A Capsey
info,player,Delhi Capitals,JL Jonassen
info,player,Delhi Capitals,T Bhatia
info,player,Delhi Capitals,A Reddy
info,player,Delhi Capitals,S Pandey
info,player,Delhi Capitals,RP Yadav
info,player,Delhi Capitals,TG Norris
info,player,Royal Challengers Bangalore,S Mandhana
info,player,Royal Challengers Bangalore,SFM Devine
info,player,Royal Challengers Bangalore,EA Perry
info,player,Royal Challengers Bangalore,DD Kasat
info,player,Royal Challengers Bangalore,RM Ghosh
info,player,Royal Challengers Bangalore,HC Knight
info,player,Royal Challengers Bangalore,KS Ahuja
info,player,Royal Challengers Bangalore,S Asha
info,player,Royal Challengers Bangalore,ML Schutt
info,player,Royal Challengers Bangalore,Preeti Bose
info,player,Royal Challengers Bangalore,Renuka Singh
info,registry,people,A Capsey,910dd54e
info,registry,people,A Reddy,eadc8924
info,registry,people,Chirra Ravikanthreddy,8b680f55
info,registry,people,DD Kasat,fc0155d9
info,registry,people,EA Perry,be150fc8
info,registry,people,HC Knight,4ba0289e
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KS Ahuja,58593620
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Kuppuraj,aa4063d0
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Janani,d06a665d
info,registry,people,Preeti Bose,ca1a3105
info,registry,people,RB Kalita,8d7ad5a6
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Asha,77143581
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,SFM Devine,de69af96
info,registry,people,Saurabh Dhote,afe4ec5a
info,registry,people,Shafali Verma,d8f59089
info,registry,people,T Bhatia,211dc1ce
info,registry,people,TG Norris,8ae7bb3e
ball,1,0.1,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,0,0,,,,,,"",""
ball,1,0.2,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,0,0,,,,,,"",""
ball,1,0.3,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,1,0,,,,,,"",""
ball,1,0.4,Delhi Capitals,Shafali Verma,MM Lanning,Renuka Singh,0,0,,,,,,"",""
ball,1,0.5,Delhi Capitals,Shafali Verma,MM Lanning,Renuka Singh,2,0,,,,,,"",""
ball,1,0.6,Delhi Capitals,Shafali Verma,MM Lanning,Renuka Singh,0,0,,,,,,"",""
ball,1,1.1,Delhi Capitals,MM Lanning,Shafali Verma,ML Schutt,0,0,,,,,,"",""
ball,1,1.2,Delhi Capitals,MM Lanning,Shafali Verma,ML Schutt,1,0,,,,,,"",""
ball,1,1.3,Delhi Capitals,Shafali Verma,MM Lanning,ML Schutt,4,0,,,,,,"",""
ball,1,1.4,Delhi Capitals,Shafali Verma,MM Lanning,ML Schutt,1,0,,,,,,"",""
ball,1,1.5,Delhi Capitals,MM Lanning,Shafali Verma,ML Schutt,4,0,,,,,,"",""
ball,1,1.6,Delhi Capitals,MM Lanning,Shafali Verma,ML Schutt,4,0,,,,,,"",""
ball,1,2.1,Delhi Capitals,Shafali Verma,MM Lanning,Renuka Singh,0,0,,,,,,"",""
ball,1,2.2,Delhi Capitals,Shafali Verma,MM Lanning,Renuka Singh,1,0,,,,,,"",""
ball,1,2.3,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,0,0,,,,,,"",""
ball,1,2.4,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,4,0,,,,,,"",""
ball,1,2.5,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,0,0,,,,,,"",""
ball,1,2.6,Delhi Capitals,MM Lanning,Shafali Verma,Renuka Singh,0,0,,,,,,"",""
ball,1,3.1,Delhi Capitals,Shafali Verma,MM Lanning,Preeti Bose,6,0,,,,,,"",""
ball,1,3.2,Delhi Capitals,Shafali Verma,MM Lanning,Preeti Bose,0,0,,,,,,"",""
ball,1,3.3,Delhi Capitals,Shafali Verma,MM Lanning,Preeti Bose,0,0,,,,,,"",""
ball,1,3.4,Delhi Capitals,Shafali Verma,MM Lanning,Preeti Bose,0,0,,,,,,"",""
ball,1,3.5,Delhi Capitals,Shafali Verma,MM Lanning,Preeti Bose,1,0,,,,,,"",""
ball,1,3.6,Delhi Capitals,MM Lanning,Shafali Verma,Preeti Bose,0,0,,,,,,"",""
ball,1,4.1,Delhi Capitals,Shafali Verma,MM Lanning,EA Perry,0,0,,,,,,"",""
ball,1,4.2,Delhi Capitals,Shafali Verma,MM Lanning,EA Perry,0,1,1,,,,,"",""
ball,1,4.3,Delhi Capitals,Shafali Verma,MM Lanning,EA Perry,1,0,,,,,,"",""
