version,1.7.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Sussex
info,gender,male
info,season,2015
info,date,2015/05/24
info,date,2015/05/25
info,date,2015/05/26
info,event,LV= County Championship
info,venue,"County Ground, Hove"
info,city,Brighton
info,toss_winner,Warwickshire
info,toss_decision,bat
info,umpire,MA Gough
info,umpire,RJ Evans
info,winner,Sussex
info,winner_wickets,1
info,player,Warwickshire,V Chopra
info,player,Warwickshire,IJ Westwood
info,player,Warwickshire,A Javid
info,player,Warwickshire,IJL Trott
info,player,Warwickshire,LJ Evans
info,player,Warwickshire,TR Ambrose
info,player,Warwickshire,R Clarke
info,player,Warwickshire,KHD Barker
info,player,Warwickshire,JS Patel
info,player,Warwickshire,CJC Wright
info,player,Warwickshire,WB Rankin
info,player,Sussex,CD Nash
info,player,Sussex,LWP Wells
info,player,Sussex,EC Joyce
info,player,Sussex,HZ Finch
info,player,Sussex,LJ Wright
info,player,Sussex,Craig Cachopa
info,player,Sussex,BC Brown
info,player,Sussex,CJ Jordan
info,player,Sussex,OE Robinson
info,player,Sussex,SJ Magoffin
info,player,Sussex,ME Hobden
info,registry,people,A Javid,8d1dad51
info,registry,people,BC Brown,8af86756
info,registry,people,CD Nash,6f049d41
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CJC Wright,6c908ffc
info,registry,people,Craig Cachopa,af294a6c
info,registry,people,EC Joyce,a48fc79d
info,registry,people,HZ Finch,6b16f8ba
info,registry,people,IJ Westwood,31f671b7
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,JS Patel,f5821615
info,registry,people,KHD Barker,2223b920
info,registry,people,LJ Evans,1c513d54
info,registry,people,LJ Wright,cca50cd6
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MA Gough,76752ac8
info,registry,people,ME Hobden,4c239537
info,registry,people,OE Robinson,0f3ee070
info,registry,people,R Clarke,8728a058
info,registry,people,RJ Evans,951127ac
info,registry,people,SJ Magoffin,dd17e4bc
info,registry,people,Sukhjit Singh,6107bc41
info,registry,people,TR Ambrose,a15aaa7f
info,registry,people,V Chopra,54745c20
info,registry,people,WB Rankin,29b89ae8
ball,1,0.1,Warwickshire,V Chopra,IJ Westwood,SJ Magoffin,0,0,,,,,,"",""
ball,1,0.2,Warwickshire,V Chopra,IJ Westwood,SJ Magoffin,0,0,,,,,,"",""
ball,1,0.3,Warwickshire,V Chopra,IJ Westwood,SJ Magoffin,1,0,,,,,,"",""
ball,1,0.4,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,0.5,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,0.6,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,1.1,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,0,0,,,,,,"",""
ball,1,1.2,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,2,0,,,,,,"",""
ball,1,1.3,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,0,0,,,,,,"",""
ball,1,1.4,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,0,0,,,,,,"",""
ball,1,1.5,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,2,0,,,,,,"",""
ball,1,1.6,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,0,0,,,,,,"",""
ball,1,2.1,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,2.2,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,4,0,,,,,,"",""
ball,1,2.3,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,2.4,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,2.5,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,2.6,Warwickshire,IJ Westwood,V Chopra,SJ Magoffin,0,0,,,,,,"",""
ball,1,3.1,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,0,0,,,,,,"",""
ball,1,3.2,Warwickshire,V Chopra,IJ Westwood,CJ Jordan,1,0,,,,,,"",""
