version,1.7.0
info,balls_per_over,6
info,team,Sydney Sixers
info,team,Hobart Hurricanes
info,gender,female
info,season,2025/26
info,date,2025/11/22
info,event,Women's Big Bash League
info,match_number,19
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Sydney Sixers
info,toss_decision,bat
info,player_of_match,A Gardner
info,umpire,M Qureshi
info,umpire,Sam Burns
info,reserve_umpire,MR Scolyer
info,tv_umpire,Simon Burns
info,match_referee,XJ Doherty
info,winner,Sydney Sixers
info,winner_runs,11
info,player,Sydney Sixers,EA Perry
info,player,Sydney Sixers,SIR Dunkley
info,player,Sydney Sixers,AJ Healy
info,player,Sydney Sixers,A Gardner
info,player,Sydney Sixers,M Brown
info,player,Sydney Sixers,MK Villiers
info,player,Sydney Sixers,EA Burns
info,player,Sydney Sixers,E Manix-Geeves
info,player,Sydney Sixers,C Bray
info,player,Sydney Sixers,L Kua
info,player,Sydney Sixers,L Cheatle
info,player,Hobart Hurricanes,L Lee
info,player,Hobart Hurricanes,DN Wyatt
info,player,Hobart Hurricanes,NR Sciver-Brunt
info,player,Hobart Hurricanes,NJ Carey
info,player,Hobart Hurricanes,H Graham
info,player,Hobart Hurricanes,EJ Villani
info,player,Hobart Hurricanes,R Trenaman
info,player,Hobart Hurricanes,H Silver-holmes
info,player,Hobart Hurricanes,M Strano
info,player,Hobart Hurricanes,LG Smith
info,player,Hobart Hurricanes,LCN Smith
info,registry,people,A Gardner,bc969efb
info,registry,people,AJ Healy,321644de
info,registry,people,C Bray,b54cc792
info,registry,people,DN Wyatt,a139c379
info,registry,people,E Manix-Geeves,5c225840
info,registry,people,EA Burns,2e0b6638
info,registry,people,EA Perry,be150fc8
info,registry,people,EJ Villani,cde96d97
info,registry,people,H Graham,99812d10
info,registry,people,H Silver-holmes,2bfc7199
info,registry,people,L Cheatle,275dff85
info,registry,people,L Kua,c6dfc16b
info,registry,people,L Lee,7b01ce83
info,registry,people,LCN Smith,340202b0
info,registry,people,LG Smith,9c515112
info,registry,people,M Brown,78bec461
info,registry,people,M Qureshi,cf34fbef
info,registry,people,M Strano,f57d5dbb
info,registry,people,MK Villiers,cd62f670
info,registry,people,MR Scolyer,f8ff26c6
info,registry,people,NJ Carey,dff806f4
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,R Trenaman,877dd709
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,Sam Burns,b0c7ede2
info,registry,people,Simon Burns,c0741b3f
info,registry,people,XJ Doherty,502b2c81
ball,1,0.1,Sydney Sixers,EA Perry,SIR Dunkley,LCN Smith,1,0,,,,,,"",""
ball,1,0.2,Sydney Sixers,SIR Dunkley,EA Perry,LCN Smith,0,0,,,,,,"",""
ball,1,0.3,Sydney Sixers,SIR Dunkley,EA Perry,LCN Smith,4,0,,,,,,"",""
ball,1,0.4,Sydney Sixers,SIR Dunkley,EA Perry,LCN Smith,0,0,,,,,,"",""
ball,1,0.5,Sydney Sixers,SIR Dunkley,EA Perry,LCN Smith,1,0,,,,,,"",""
ball,1,0.6,Sydney Sixers,EA Perry,SIR Dunkley,LCN Smith,0,0,,,,,,"",""
ball,1,1.1,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,0,0,,,,,,"",""
ball,1,1.2,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,0,0,,,,,,"",""
ball,1,1.3,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,0,0,,,,,,"",""
ball,1,1.4,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,1,0,,,,,,"",""
ball,1,1.5,Sydney Sixers,EA Perry,SIR Dunkley,NJ Carey,1,0,,,,,,"",""
ball,1,1.6,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,1,0,,,,,,"",""
ball,1,2.1,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,2.2,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,0,1,1,,,,,"",""
ball,1,2.3,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,0,1,1,,,,,"",""
ball,1,2.4,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,4,0,,,,,,"",""
ball,1,2.5,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,0,0,,,,,,"",""
ball,1,2.6,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,1,0,,,,,,"",""
ball,1,2.7,Sydney Sixers,EA Perry,SIR Dunkley,NR Sciver-Brunt,1,0,,,,,,"",""
ball,1,2.8,Sydney Sixers,SIR Dunkley,EA Perry,NR Sciver-Brunt,1,0,,,,,,"",""
ball,1,3.1,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,0,0,,,,,,"",""
ball,1,3.2,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,0,0,,,,,,"",""
ball,1,3.3,Sydney Sixers,SIR Dunkley,EA Perry,NJ Carey,4,0,,,,,,"",""
