version,1.7.0
info,balls_per_over,6
info,team,Joburg Super Kings
info,team,MI Cape Town
info,gender,male
info,season,2022/23
info,date,2023/01/14
info,event,SA20
info,match_number,7
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,MI Cape Town
info,toss_decision,field
info,player_of_match,K Rabada
info,umpire,AT Holdstock
info,umpire,M Erasmus
info,reserve_umpire,LB Gcuma
info,tv_umpire,S George
info,match_referee,LH Matroos
info,winner,MI Cape Town
info,winner_wickets,7
info,player,Joburg Super Kings,JN Malan
info,player,Joburg Super Kings,RR Hendricks
info,player,Joburg Super Kings,F du Plessis
info,player,Joburg Super Kings,K Verreynne
info,player,Joburg Super Kings,JL du Plooy
info,player,Joburg Super Kings,D Ferreira
info,player,Joburg Super Kings,R Shepherd
info,player,Joburg Super Kings,GHS Garton
info,player,Joburg Super Kings,AS Joseph
info,player,Joburg Super Kings,G Coetzee
info,player,Joburg Super Kings,AM Phangiso
info,player,MI Cape Town,D Brevis
info,player,MI Cape Town,RD Rickelton
info,player,MI Cape Town,HE van der Dussen
info,player,MI Cape Town,G Roelofsen
info,player,MI Cape Town,SM Curran
info,player,MI Cape Town,D Potgieter
info,player,MI Cape Town,OF Smith
info,player,MI Cape Town,GF Linde
info,player,MI Cape Town,Rashid Khan
info,player,MI Cape Town,K Rabada
info,player,MI Cape Town,Waqar Salamkheil
info,registry,people,AM Phangiso,7f8ecc51
info,registry,people,AS Joseph,b0946605
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,D Brevis,844e79d1
info,registry,people,D Ferreira,f0af99a7
info,registry,people,D Potgieter,60fbf53a
info,registry,people,F du Plessis,3355b542
info,registry,people,G Coetzee,3204c99f
info,registry,people,G Roelofsen,ac688e55
info,registry,people,GF Linde,e5437608
info,registry,people,GHS Garton,be869ccf
info,registry,people,HE van der Dussen,9948e262
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JN Malan,f76d7466
info,registry,people,K Rabada,e62dd25d
info,registry,people,K Verreynne,bf814547
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LH Matroos,6fa18157
info,registry,people,M Erasmus,15d3c895
info,registry,people,OF Smith,23cca426
info,registry,people,R Shepherd,c5aef772
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,S George,6d9e5a54
info,registry,people,SM Curran,e94915e6
info,registry,people,Waqar Salamkheil,3f1066d0
ball,1,0.1,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,0.2,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,4,0,,,,,,"",""
ball,1,0.3,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,0.4,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,4,0,,,,,,"",""
ball,1,0.5,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,0.6,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,1.1,Joburg Super Kings,RR Hendricks,JN Malan,SM Curran,1,0,,,,,,"",""
ball,1,1.2,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,1,,1,,,,"",""
ball,1,1.3,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,6,0,,,,,,"",""
ball,1,1.4,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,1,,1,,,,"",""
ball,1,1.5,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,0,,,,,,"",""
ball,1,1.6,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,0,,,,,,"",""
ball,1,1.7,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,0,,,,,,"",""
ball,1,1.8,Joburg Super Kings,JN Malan,RR Hendricks,SM Curran,0,0,,,,,,"",""
ball,1,2.1,Joburg Super Kings,RR Hendricks,JN Malan,GF Linde,0,0,,,,,,"",""
ball,1,2.2,Joburg Super Kings,RR Hendricks,JN Malan,GF Linde,1,0,,,,,,"",""
ball,1,2.3,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,5,5,,,,,"",""
ball,1,2.4,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,2.5,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,2.6,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,0,0,,,,,,"",""
ball,1,2.7,Joburg Super Kings,JN Malan,RR Hendricks,GF Linde,1,0,,,,,,"",""
ball,1,3.1,Joburg Super Kings,JN Malan,RR Hendricks,K Rabada,1,0,,,,,,"",""
ball,1,3.2,Joburg Super Kings,RR Hendricks,JN Malan,K Rabada,0,0,,,,,,"",""
ball,1,3.3,Joburg Super Kings,RR Hendricks,JN Malan,K Rabada,0,0,,,,,,"",""
ball,1,3.4,Joburg Super Kings,RR Hendricks,JN Malan,K Rabada,0,0,,,,,,bowled,RR Hendricks
ball,1,3.5,Joburg Super Kings,F du Plessis,JN Malan,K Rabada,0,0,,,,,,"",""
ball,1,3.6,Joburg Super Kings,F du Plessis,JN Malan,K Rabada,1,0,,,,,,"",""
ball,1,4.1,Joburg Super Kings,F du Plessis,JN Malan,GF Linde,1,0,,,,,,"",""
ball,1,4.2,Joburg Super Kings,JN Malan,F du Plessis,GF Linde,0,0,,,,,,"",""
ball,1,4.3,Joburg Super Kings,JN Malan,F du Plessis,GF Linde,0,0,,,,,,"",""
ball,1,4.4,Joburg Super Kings,JN Malan,F du Plessis,GF Linde,0,0,,,,,,caught,JN Malan
ball,1,4.5,Joburg Super Kings,K Verreynne,F du Plessis,GF Linde,4,0,,,,,,"",""
ball,1,4.6,Joburg Super Kings,K Verreynne,F du Plessis,GF Linde,0,0,,,,,,caught,K Verreynne
ball,1,5.1,Joburg Super Kings,F du Plessis,JL du Plooy,K Rabada,0,0,,,,,,"",""
ball,1,5.2,Joburg Super Kings,F du Plessis,JL du Plooy,K Rabada,1,0,,,,,,"",""
ball,1,5.3,Joburg Super Kings,JL du Plooy,F du Plessis,K Rabada,0,0,,,,,,"",""
ball,1,5.4,Joburg Super Kings,JL du Plooy,F du Plessis,K Rabada,1,0,,,,,,"",""
ball,1,5.5,Joburg Super Kings,F du Plessis,JL du Plooy,K Rabada,1,0,,,,,,"",""
ball,1,5.6,Joburg Super Kings,JL du Plooy,F du Plessis,K Rabada,0,0,,,,,,"",""
