version,1.7.0
info,balls_per_over,6
info,team,Sunrisers Eastern Cape
info,team,Durban's Super Giants
info,gender,male
info,season,2022/23
info,date,2023/02/03
info,event,SA20
info,match_number,25
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,Durban's Super Giants
info,toss_decision,field
info,umpire,BP Jele
info,umpire,Stephen Harris
info,reserve_umpire,A Steenkamp
info,tv_umpire,S George
info,match_referee,ZTA Ndamane
info,outcome,no result
info,player,Sunrisers Eastern Cape,AM Rossington
info,player,Sunrisers Eastern Cape,T Bavuma
info,player,Sunrisers Eastern Cape,J Hermann
info,player,Sunrisers Eastern Cape,AK Markram
info,player,Sunrisers Eastern Cape,JT Smuts
info,player,Sunrisers Eastern Cape,T Stubbs
info,player,Sunrisers Eastern Cape,M Jansen
info,player,Sunrisers Eastern Cape,SSB Magala
info,player,Sunrisers Eastern Cape,RE van der Merwe
info,player,Sunrisers Eastern Cape,BA Carse
info,player,Sunrisers Eastern Cape,OEG Baartman
info,player,Durban's Super Giants,BR McDermott
info,player,Durban's Super Giants,Q de Kock
info,player,Durban's Super Giants,MP Breetzke
info,player,Durban's Super Giants,KMA Paul
info,player,Durban's Super Giants,H Klaasen
info,player,Durban's Super Giants,PWA Mulder
info,player,Durban's Super Giants,D Pretorius
info,player,Durban's Super Giants,DJ Willey
info,player,Durban's Super Giants,SR Harmer
info,player,Durban's Super Giants,KA Maharaj
info,player,Durban's Super Giants,RJW Topley
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,BA Carse,cad40f5e
info,registry,people,BP Jele,7bb1331e
info,registry,people,BR McDermott,c41043e6
info,registry,people,D Pretorius,11614d87
info,registry,people,DJ Willey,7f048519
info,registry,people,H Klaasen,235c2bb6
info,registry,people,J Hermann,e87aeca2
info,registry,people,JT Smuts,42172c3c
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,KMA Paul,75224f22
info,registry,people,M Jansen,81c36ee9
info,registry,people,MP Breetzke,35f173a0
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PWA Mulder,c96f6ac5
info,registry,people,Q de Kock,372455c4
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJW Topley,8db7f47f
info,registry,people,S George,6d9e5a54
info,registry,people,SR Harmer,23638956
info,registry,people,SSB Magala,8361e524
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Stubbs,85b3fab2
info,registry,people,ZTA Ndamane,545cc6db
ball,1,0.1,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,0,0,,,,,,"",""
ball,1,0.2,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,0,0,,,,,,"",""
ball,1,0.3,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,0,0,,,,,,"",""
ball,1,0.4,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,6,0,,,,,,"",""
ball,1,0.5,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,0,0,,,,,,"",""
ball,1,0.6,Sunrisers Eastern Cape,AM Rossington,T Bavuma,DJ Willey,1,0,,,,,,"",""
ball,1,1.1,Sunrisers Eastern Cape,AM Rossington,T Bavuma,RJW Topley,6,0,,,,,,"",""
ball,1,1.2,Sunrisers Eastern Cape,AM Rossington,T Bavuma,RJW Topley,4,0,,,,,,"",""
ball,1,1.3,Sunrisers Eastern Cape,AM Rossington,T Bavuma,RJW Topley,4,0,,,,,,"",""
ball,1,1.4,Sunrisers Eastern Cape,AM Rossington,T Bavuma,RJW Topley,1,0,,,,,,"",""
ball,1,1.5,Sunrisers Eastern Cape,T Bavuma,AM Rossington,RJW Topley,0,0,,,,,,caught,T Bavuma
ball,1,1.6,Sunrisers Eastern Cape,J Hermann,AM Rossington,RJW Topley,0,0,,,,,,caught,J Hermann
ball,1,2.1,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,4,0,,,,,,"",""
ball,1,2.2,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,0,0,,,,,,"",""
ball,1,2.3,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,0,0,,,,,,"",""
ball,1,2.4,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,4,0,,,,,,"",""
ball,1,2.5,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,0,0,,,,,,"",""
ball,1,2.6,Sunrisers Eastern Cape,AM Rossington,AK Markram,DJ Willey,0,0,,,,,,"",""
ball,1,3.1,Sunrisers Eastern Cape,AK Markram,AM Rossington,RJW Topley,0,0,,,,,,"",""
ball,1,3.2,Sunrisers Eastern Cape,AK Markram,AM Rossington,RJW Topley,0,0,,,,,,"",""
ball,1,3.3,Sunrisers Eastern Cape,AK Markram,AM Rossington,RJW Topley,0,0,,,,,,"",""
ball,1,3.4,Sunrisers Eastern Cape,AK Markram,AM Rossington,RJW Topley,0,0,,,,,,"",""
