version,1.6.0
info,balls_per_over,6
info,team,Auckland
info,team,Northern Districts
info,gender,male
info,season,2020/21
info,date,2021/01/29
info,event,Super Smash
info,match_number,24
info,venue,Seddon Park
info,city,Hamilton
info,toss_winner,Northern Districts
info,toss_decision,field
info,umpire,BF Bowden
info,umpire,JM Dempsey
info,reserve_umpire,A Stanley
info,tv_umpire,WR Knights
info,match_referee,GB Troup
info,winner,Northern Districts
info,winner_wickets,3
info,player,Auckland,MJ Guptill
info,player,Auckland,SM Solia
info,player,Auckland,GD Phillips
info,player,Auckland,MS Chapman
info,player,Auckland,RR O'Donnell
info,player,Auckland,BJ Horne
info,player,Auckland,KA Jamieson
info,player,Auckland,WER Somerville
info,player,Auckland,DK Ferns
info,player,Auckland,L Delport
info,player,Auckland,RM ter Braak
info,player,Northern Districts,TL Seifert
info,player,Northern Districts,KD Clarke
info,player,Northern Districts,KS Williamson
info,player,Northern Districts,C de Grandhomme
info,player,Northern Districts,AP Devcich
info,player,Northern Districts,MJ Santner
info,player,Northern Districts,SC Kuggeleijn
info,player,Northern Districts,TG Southee
info,player,Northern Districts,A Verma
info,player,Northern Districts,IS Sodhi
info,player,Northern Districts,TA Boult
info,registry,people,A Stanley,5a72b592
info,registry,people,A Verma,8e9a5d20
info,registry,people,AP Devcich,ed90abe4
info,registry,people,BF Bowden,efc0a862
info,registry,people,BG Lister,79f5bc26
info,registry,people,BJ Horne,5d99a16a
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,DK Ferns,f28c7456
info,registry,people,GB Troup,94f0e744
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JM Dempsey,153c9f33
info,registry,people,JRM Bassett-Graham,aa84075f
info,registry,people,KA Jamieson,68c56d09
info,registry,people,KD Clarke,7a12be0a
info,registry,people,KS Williamson,d027ba9f
info,registry,people,L Delport,2c1438ef
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,RM ter Braak,ac3e5a31
info,registry,people,RR O'Donnell,2742086d
info,registry,people,SC Kuggeleijn,fef92afc
info,registry,people,SM Solia,fd9f43bb
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,WER Somerville,74a1c1e3
info,registry,people,WR Knights,63cbf8d8
ball,1,0.1,Auckland,MJ Guptill,SM Solia,TG Southee,1,0,,,,,,"",""
ball,1,0.2,Auckland,SM Solia,MJ Guptill,TG Southee,1,0,,,,,,"",""
ball,1,0.3,Auckland,MJ Guptill,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,0.4,Auckland,MJ Guptill,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,0.5,Auckland,MJ Guptill,SM Solia,TG Southee,1,0,,,,,,"",""
ball,1,0.6,Auckland,SM Solia,MJ Guptill,TG Southee,1,0,,,,,,"",""
ball,1,1.1,Auckland,SM Solia,MJ Guptill,TA Boult,4,0,,,,,,"",""
ball,1,1.2,Auckland,SM Solia,MJ Guptill,TA Boult,1,0,,,,,,"",""
ball,1,1.3,Auckland,MJ Guptill,SM Solia,TA Boult,0,0,,,,,,"",""
ball,1,1.4,Auckland,MJ Guptill,SM Solia,TA Boult,0,0,,,,,,caught,MJ Guptill
ball,1,1.5,Auckland,SM Solia,GD Phillips,TA Boult,0,0,,,,,,"",""
ball,1,1.6,Auckland,SM Solia,GD Phillips,TA Boult,0,0,,,,,,"",""
ball,1,2.1,Auckland,GD Phillips,SM Solia,TG Southee,4,0,,,,,,"",""
ball,1,2.2,Auckland,GD Phillips,SM Solia,TG Southee,0,0,,,,,,bowled,GD Phillips
ball,1,2.3,Auckland,MS Chapman,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,2.4,Auckland,MS Chapman,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,2.5,Auckland,MS Chapman,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,2.6,Auckland,MS Chapman,SM Solia,TG Southee,0,0,,,,,,"",""
ball,1,3.1,Auckland,SM Solia,MS Chapman,TA Boult,2,0,,,,,,"",""
ball,1,3.2,Auckland,SM Solia,MS Chapman,TA Boult,0,0,,,,,,"",""
ball,1,3.3,Auckland,SM Solia,MS Chapman,TA Boult,0,0,,,,,,"",""
ball,1,3.4,Auckland,SM Solia,MS Chapman,TA Boult,1,0,,,,,,"",""
ball,1,3.5,Auckland,MS Chapman,SM Solia,TA Boult,1,0,,,,,,"",""
ball,1,3.6,Auckland,SM Solia,MS Chapman,TA Boult,0,1,1,,,,,"",""
ball,1,3.7,Auckland,SM Solia,MS Chapman,TA Boult,4,0,,,,,,"",""
