version,1.7.0
info,balls_per_over,6
info,team,Hampshire
info,team,Essex
info,gender,female
info,season,2025
info,date,2025/06/12
info,event,Vitality Blast Women
info,match_number,20
info,venue,"County Ground, Chelmsford"
info,city,Chelmsford
info,toss_winner,Essex
info,toss_decision,field
info,player_of_match,EM McCaughan
info,umpire,WRP Fernando
info,umpire,Surendiran Shanmugam
info,tv_umpire,NL Bainton
info,match_referee,Phil Whitticase
info,winner,Hampshire
info,winner_runs,42
info,player,Hampshire,ME Bouchier
info,player,Hampshire,EM McCaughan
info,player,Hampshire,CR Knott
info,player,Hampshire,FG Kemp
info,player,Hampshire,GL Adams
info,player,Hampshire,R Southby
info,player,Hampshire,ND Dattani
info,player,Hampshire,MLL Taylor
info,player,Hampshire,FR Davies
info,player,Hampshire,DJ Gibb
info,player,Hampshire,R Tyson
info,player,Essex,L Winfield-Hill
info,player,Essex,G Scrivens
info,player,Essex,AJ Macleod
info,player,Essex,CL Griffith
info,player,Essex,M Penna
info,player,Essex,J Gardner
info,player,Essex,Sophia Smale
info,player,Essex,E Gray
info,player,Essex,KL Coppack
info,player,Essex,EI MacGregor
info,player,Essex,AH Maqsood
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AJ Macleod,e7f06080
info,registry,people,CL Griffith,85ce4231
info,registry,people,CR Knott,d7ff1adc
info,registry,people,DJ Gibb,977ddcd2
info,registry,people,E Gray,58717de2
info,registry,people,EI MacGregor,c812dfa3
info,registry,people,EM McCaughan,ed2711ea
info,registry,people,FG Kemp,abc9f8a4
info,registry,people,FR Davies,2479daa6
info,registry,people,G Scrivens,7306c48d
info,registry,people,GL Adams,7b1f2542
info,registry,people,J Gardner,184512d1
info,registry,people,KL Coppack,24596e4d
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,M Penna,36453b99
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MLL Taylor,014cfac4
info,registry,people,ND Dattani,13c19f32
info,registry,people,NL Bainton,cd219cb3
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Southby,bbe1525d
info,registry,people,R Tyson,5c9d5093
info,registry,people,Sophia Smale,c296dba1
info,registry,people,Surendiran Shanmugam,2ef5fc2b
info,registry,people,WRP Fernando,7d98d385
ball,1,0.1,Hampshire,ME Bouchier,EM McCaughan,KL Coppack,1,0,,,,,,"",""
ball,1,0.2,Hampshire,EM McCaughan,ME Bouchier,KL Coppack,0,0,,,,,,"",""
ball,1,0.3,Hampshire,EM McCaughan,ME Bouchier,KL Coppack,4,0,,,,,,"",""
ball,1,0.4,Hampshire,EM McCaughan,ME Bouchier,KL Coppack,4,0,,,,,,"",""
ball,1,0.5,Hampshire,EM McCaughan,ME Bouchier,KL Coppack,1,0,,,,,,"",""
ball,1,0.6,Hampshire,ME Bouchier,EM McCaughan,KL Coppack,2,0,,,,,,"",""
ball,1,1.1,Hampshire,EM McCaughan,ME Bouchier,G Scrivens,1,0,,,,,,"",""
ball,1,1.2,Hampshire,ME Bouchier,EM McCaughan,G Scrivens,0,0,,,,,,"",""
ball,1,1.3,Hampshire,ME Bouchier,EM McCaughan,G Scrivens,1,0,,,,,,"",""
ball,1,1.4,Hampshire,EM McCaughan,ME Bouchier,G Scrivens,1,0,,,,,,"",""
ball,1,1.5,Hampshire,ME Bouchier,EM McCaughan,G Scrivens,0,0,,,,,,caught,ME Bouchier
ball,1,1.6,Hampshire,CR Knott,EM McCaughan,G Scrivens,0,0,,,,,,"",""
ball,1,2.1,Hampshire,EM McCaughan,CR Knott,KL Coppack,1,0,,,,,,"",""
ball,1,2.2,Hampshire,CR Knott,EM McCaughan,KL Coppack,2,0,,,,,,"",""
ball,1,2.3,Hampshire,CR Knott,EM McCaughan,KL Coppack,0,0,,,,,,"",""
ball,1,2.4,Hampshire,CR Knott,EM McCaughan,KL Coppack,0,1,1,,,,,"",""
ball,1,2.5,Hampshire,CR Knott,EM McCaughan,KL Coppack,0,0,,,,,,"",""
ball,1,2.6,Hampshire,CR Knott,EM McCaughan,KL Coppack,2,0,,,,,,"",""
ball,1,2.7,Hampshire,CR Knott,EM McCaughan,KL Coppack,0,1,1,,,,,"",""
ball,1,2.8,Hampshire,CR Knott,EM McCaughan,KL Coppack,0,0,,,,,,"",""
ball,1,3.1,Hampshire,EM McCaughan,CR Knott,EI MacGregor,1,0,,,,,,"",""
ball,1,3.2,Hampshire,CR Knott,EM McCaughan,EI MacGregor,0,0,,,,,,"",""
