version,1.7.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Melbourne Renegades
info,gender,male
info,season,2023/24
info,date,2023/12/26
info,event,Big Bash League
info,match_number,15
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,JP Inglis
info,umpire,GJ Davidson
info,umpire,SAJ Craig
info,reserve_umpire,Ashlee Gibbons
info,tv_umpire,NR Johnstone
info,match_referee,Kent Hannam
info,winner,Perth Scorchers
info,winner_runs,13
info,player,Perth Scorchers,Z Crawley
info,player,Perth Scorchers,C Connolly
info,player,Perth Scorchers,AM Hardie
info,player,Perth Scorchers,JP Inglis
info,player,Perth Scorchers,LJ Evans
info,player,Perth Scorchers,NR Hobson
info,player,Perth Scorchers,AC Agar
info,player,Perth Scorchers,JA Richardson
info,player,Perth Scorchers,AJ Tye
info,player,Perth Scorchers,JP Behrendorff
info,player,Perth Scorchers,LR Morris
info,player,Melbourne Renegades,Q de Kock
info,player,Melbourne Renegades,JM Clarke
info,player,Melbourne Renegades,J Fraser-McGurk
info,player,Melbourne Renegades,SE Marsh
info,player,Melbourne Renegades,NJ Maddinson
info,player,Melbourne Renegades,JW Wells
info,player,Melbourne Renegades,W Sutherland
info,player,Melbourne Renegades,TS Rogers
info,player,Melbourne Renegades,KW Richardson
info,player,Melbourne Renegades,A Zampa
info,player,Melbourne Renegades,Mujeeb Ur Rahman
info,registry,people,A Zampa,14f96089
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Tye,7c7d63a2
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,C Connolly,fe366f34
info,registry,people,GJ Davidson,31ad5973
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JP Inglis,989889ff
info,registry,people,JW Wells,8bdac857
info,registry,people,KW Richardson,dfc4d8b5
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,LJ Evans,1c513d54
info,registry,people,LR Morris,b08e58e2
info,registry,people,MW Harvey,47dc9794
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NJ Maddinson,44afbf2d
info,registry,people,NR Hobson,4312e0fd
info,registry,people,NR Johnstone,ce274b6a
info,registry,people,Q de Kock,372455c4
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SE Marsh,508a1ea7
info,registry,people,TS Rogers,1b04e02b
info,registry,people,W Sutherland,bc2d4f2e
info,registry,people,Z Crawley,922e1b19
ball,1,0.1,Perth Scorchers,Z Crawley,C Connolly,TS Rogers,1,0,,,,,,"",""
ball,1,0.2,Perth Scorchers,C Connolly,Z Crawley,TS Rogers,0,0,,,,,,"",""
ball,1,0.3,Perth Scorchers,C Connolly,Z Crawley,TS Rogers,0,1,,,,1,,"",""
ball,1,0.4,Perth Scorchers,Z Crawley,C Connolly,TS Rogers,0,0,,,,,,"",""
ball,1,0.5,Perth Scorchers,Z Crawley,C Connolly,TS Rogers,0,0,,,,,,caught,Z Crawley
ball,1,0.6,Perth Scorchers,AM Hardie,C Connolly,TS Rogers,1,0,,,,,,"",""
ball,1,1.1,Perth Scorchers,AM Hardie,C Connolly,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,1.2,Perth Scorchers,C Connolly,AM Hardie,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.3,Perth Scorchers,C Connolly,AM Hardie,Mujeeb Ur Rahman,0,0,,,,,,bowled,C Connolly
ball,1,1.4,Perth Scorchers,JP Inglis,AM Hardie,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.5,Perth Scorchers,JP Inglis,AM Hardie,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.6,Perth Scorchers,JP Inglis,AM Hardie,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,2.1,Perth Scorchers,JP Inglis,AM Hardie,TS Rogers,1,0,,,,,,"",""
ball,1,2.2,Perth Scorchers,AM Hardie,JP Inglis,TS Rogers,0,0,,,,,,"",""
ball,1,2.3,Perth Scorchers,AM Hardie,JP Inglis,TS Rogers,1,0,,,,,,"",""
ball,1,2.4,Perth Scorchers,JP Inglis,AM Hardie,TS Rogers,0,0,,,,,,"",""
ball,1,2.5,Perth Scorchers,JP Inglis,AM Hardie,TS Rogers,0,0,,,,,,"",""
ball,1,2.6,Perth Scorchers,JP Inglis,AM Hardie,TS Rogers,0,0,,,,,,"",""
ball,1,3.1,Perth Scorchers,AM Hardie,JP Inglis,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,3.2,Perth Scorchers,AM Hardie,JP Inglis,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,3.3,Perth Scorchers,AM Hardie,JP Inglis,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,3.4,Perth Scorchers,AM Hardie,JP Inglis,Mujeeb Ur Rahman,2,0,,,,,,"",""
ball,1,3.5,Perth Scorchers,AM Hardie,JP Inglis,Mujeeb Ur Rahman,0,0,,,,,,"",""
