version,1.7.0
info,balls_per_over,5
info,team,Trent Rockets
info,team,Oval Invincibles
info,gender,male
info,season,2025
info,date,2025/08/21
info,event,The Hundred Men's Competition
info,match_number,23
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Oval Invincibles
info,toss_decision,field
info,player_of_match,SM Curran
info,umpire,MJ Saggers
info,umpire,NJ Llong
info,reserve_umpire,Chris Watts
info,tv_umpire,M Burns
info,match_referee,JJ Whitaker
info,winner,Oval Invincibles
info,winner_wickets,6
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,Rehan Ahmed
info,player,Trent Rockets,TJ Moores
info,player,Trent Rockets,MP Stoinis
info,player,Trent Rockets,DJ Willey
info,player,Trent Rockets,GF Linde
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,MDE Holden
info,player,Trent Rockets,SJ Cook
info,player,Trent Rockets,BW Sanderson
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,D Ferreira
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,Rashid Khan
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,S Mahmood
info,player,Oval Invincibles,JP Behrendorff
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,Chris Watts,3cfb1554
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DJ Willey,7f048519
info,registry,people,GF Linde,e5437608
info,registry,people,JE Root,a343262c
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JM Cox,ff154ecd
info,registry,people,JP Behrendorff,4933f499
info,registry,people,M Burns,b3bd0666
info,registry,people,MDE Holden,d34a2268
info,registry,people,MJ Saggers,402d5937
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,NJ Llong,573fb985
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,S Mahmood,0f6db197
info,registry,people,SJ Cook,679cd31e
info,registry,people,SM Curran,e94915e6
info,registry,people,SR Hain,67b9536c
info,registry,people,SW Billings,c16d4035
info,registry,people,T Banton,25f7b7d6
info,registry,people,TJ Moores,85dcb721
info,registry,people,TK Curran,e86754b2
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,Trent Rockets,T Banton,JE Root,JP Behrendorff,1,0,,,,,,"",""
ball,1,0.2,Trent Rockets,JE Root,T Banton,JP Behrendorff,2,0,,,,,,"",""
ball,1,0.3,Trent Rockets,JE Root,T Banton,JP Behrendorff,4,0,,,,,,"",""
ball,1,0.4,Trent Rockets,JE Root,T Banton,JP Behrendorff,0,0,,,,,,"",""
ball,1,0.5,Trent Rockets,JE Root,T Banton,JP Behrendorff,4,0,,,,,,"",""
ball,1,1.1,Trent Rockets,JE Root,T Banton,S Mahmood,4,0,,,,,,"",""
ball,1,1.2,Trent Rockets,JE Root,T Banton,S Mahmood,2,0,,,,,,"",""
ball,1,1.3,Trent Rockets,JE Root,T Banton,S Mahmood,0,2,,2,,,,"",""
ball,1,1.4,Trent Rockets,JE Root,T Banton,S Mahmood,0,1,1,,,,,"",""
ball,1,1.5,Trent Rockets,JE Root,T Banton,S Mahmood,4,0,,,,,,"",""
ball,1,1.6,Trent Rockets,JE Root,T Banton,S Mahmood,0,0,,,,,,"",""
ball,1,1.7,Trent Rockets,JE Root,T Banton,S Mahmood,4,0,,,,,,"",""
ball,1,2.1,Trent Rockets,T Banton,JE Root,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.2,Trent Rockets,JE Root,T Banton,JP Behrendorff,4,0,,,,,,"",""
ball,1,2.3,Trent Rockets,JE Root,T Banton,JP Behrendorff,0,0,,,,,,"",""
ball,1,2.4,Trent Rockets,JE Root,T Banton,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.5,Trent Rockets,T Banton,JE Root,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.1,Trent Rockets,T Banton,JE Root,TK Curran,1,0,,,,,,"",""
ball,1,3.2,Trent Rockets,JE Root,T Banton,TK Curran,4,0,,,,,,"",""
ball,1,3.3,Trent Rockets,JE Root,T Banton,TK Curran,0,4,,,,4,,"",""
ball,1,3.4,Trent Rockets,JE Root,T Banton,TK Curran,1,0,,,,,,"",""
ball,1,3.5,Trent Rockets,T Banton,JE Root,TK Curran,4,0,,,,,,"",""
ball,1,4.1,Trent Rockets,JE Root,T Banton,SM Curran,4,0,,,,,,"",""
ball,1,4.2,Trent Rockets,JE Root,T Banton,SM Curran,1,0,,,,,,"",""
ball,1,4.3,Trent Rockets,T Banton,JE Root,SM Curran,0,0,,,,,,"",""
