version,1.7.0
info,balls_per_over,6
info,team,Railways
info,team,Assam
info,gender,male
info,season,2021/22
info,date,2021/11/09
info,event,Syed Mushtaq Ali Trophy
info,venue,"Airforce Complex ground, Palam"
info,city,
info,toss_winner,Railways
info,toss_decision,bat
info,winner,Railways
info,winner_runs,48
info,player,Railways,Mrunal Devdhar
info,player,Railways,Pratham Singh
info,player,Railways,Mohammad Saif
info,player,Railways,KV Sharma
info,player,Railways,Shivam Chaudhary
info,player,Railways,Upendra Yadav
info,player,Railways,Shubham Chaubey
info,player,Railways,Harsh Tyagi
info,player,Railways,Yuvraj Singh
info,player,Railways,Dhrushant Soni
info,player,Railways,Amit Kuila
info,player,Assam,Pritam Das
info,player,Assam,Mukhtar Hussain
info,player,Assam,Akash Sengupta
info,player,Assam,Amlanjyoti Das
info,player,Assam,R Parag
info,player,Assam,Roshan Alam
info,player,Assam,Pallav Kumar Das
info,player,Assam,Denish Das
info,player,Assam,Rishav Das
info,player,Assam,Saahil Jain
info,player,Assam,Kunal Saikia
info,registry,people,Akash Sengupta,bb3ccb17
info,registry,people,Amit Kuila,8fd24bce
info,registry,people,Amlanjyoti Das,8eaa058c
info,registry,people,Denish Das,9cd9e3f4
info,registry,people,Dhrushant Soni,13abdc50
info,registry,people,Harsh Tyagi,4a15018a
info,registry,people,KV Sharma,119678fd
info,registry,people,Kunal Saikia,5cb0a343
info,registry,people,Mohammad Saif,2843d331
info,registry,people,Mrunal Devdhar,a1765140
info,registry,people,Mukhtar Hussain,97114e80
info,registry,people,Pallav Kumar Das,c2294408
info,registry,people,Pratham Singh,f9f21866
info,registry,people,Pritam Das,e342d310
info,registry,people,R Parag,04a418e8
info,registry,people,Rishav Das,8963ee49
info,registry,people,Roshan Alam,7cc093f4
info,registry,people,Saahil Jain,a454fa21
info,registry,people,Shivam Chaudhary,e53af640
info,registry,people,Shubham Chaubey,58588e5a
info,registry,people,Upendra Yadav,80ffea17
info,registry,people,Yuvraj Singh,30829ea2
ball,1,0.1,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,0,0,,,,,,"",""
ball,1,0.2,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,0,0,,,,,,"",""
ball,1,0.3,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,0,0,,,,,,"",""
ball,1,0.4,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,1,0,,,,,,"",""
ball,1,0.5,Railways,Pratham Singh,Mrunal Devdhar,Pritam Das,1,0,,,,,,"",""
ball,1,0.6,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,2,0,,,,,,"",""
ball,1,1.1,Railways,Pratham Singh,Mrunal Devdhar,Mukhtar Hussain,0,0,,,,,,"",""
ball,1,1.2,Railways,Pratham Singh,Mrunal Devdhar,Mukhtar Hussain,4,0,,,,,,"",""
ball,1,1.3,Railways,Pratham Singh,Mrunal Devdhar,Mukhtar Hussain,1,0,,,,,,"",""
ball,1,1.4,Railways,Mrunal Devdhar,Pratham Singh,Mukhtar Hussain,1,0,,,,,,"",""
ball,1,1.5,Railways,Pratham Singh,Mrunal Devdhar,Mukhtar Hussain,4,0,,,,,,"",""
ball,1,1.6,Railways,Pratham Singh,Mrunal Devdhar,Mukhtar Hussain,1,0,,,,,,"",""
ball,1,2.1,Railways,Pratham Singh,Mrunal Devdhar,Pritam Das,0,0,,,,,,"",""
ball,1,2.2,Railways,Pratham Singh,Mrunal Devdhar,Pritam Das,0,1,,,,1,,"",""
ball,1,2.3,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,0,0,,,,,,"",""
ball,1,2.4,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,0,0,,,,,,"",""
ball,1,2.5,Railways,Mrunal Devdhar,Pratham Singh,Pritam Das,1,0,,,,,,"",""
ball,1,2.6,Railways,Pratham Singh,Mrunal Devdhar,Pritam Das,6,0,,,,,,"",""
ball,1,3.1,Railways,Mrunal Devdhar,Pratham Singh,Akash Sengupta,4,0,,,,,,"",""
ball,1,3.2,Railways,Mrunal Devdhar,Pratham Singh,Akash Sengupta,1,0,,,,,,"",""
ball,1,3.3,Railways,Pratham Singh,Mrunal Devdhar,Akash Sengupta,0,0,,,,,,"",""
ball,1,3.4,Railways,Pratham Singh,Mrunal Devdhar,Akash Sengupta,1,0,,,,,,"",""
ball,1,3.5,Railways,Mrunal Devdhar,Pratham Singh,Akash Sengupta,1,0,,,,,,"",""
ball,1,3.6,Railways,Pratham Singh,Mrunal Devdhar,Akash Sengupta,6,0,,,,,,"",""
