version,1.7.0
info,balls_per_over,6
info,team,Bloomfield Cricket and Athletic Club
info,team,Police Sports Club
info,gender,male
info,season,2025/26
info,date,2026/01/09
info,date,2026/01/10
info,date,2026/01/11
info,event,Major League Tournament
info,venue,"P Sara Oval, Colombo"
info,city,Colombo
info,toss_winner,Police Sports Club
info,toss_decision,field
info,umpire,PSR Fonseka
info,umpire,UILD Wewage
info,reserve_umpire,RP Massalage
info,match_referee,PS Jayaprakashdaran
info,winner,Bloomfield Cricket and Athletic Club
info,winner_runs,13
info,player,Bloomfield Cricket and Athletic Club,H Amarasinghe
info,player,Bloomfield Cricket and Athletic Club,M Premaratne
info,player,Bloomfield Cricket and Athletic Club,RK Chandraguptha
info,player,Bloomfield Cricket and Athletic Club,A Wanninayake
info,player,Bloomfield Cricket and Athletic Club,T Harshana
info,player,Bloomfield Cricket and Athletic Club,KPNM Karunanayake
info,player,Bloomfield Cricket and Athletic Club,RS Fernando
info,player,Bloomfield Cricket and Athletic Club,LD Madushanka
info,player,Bloomfield Cricket and Athletic Club,DS Tillakaratne
info,player,Bloomfield Cricket and Athletic Club,JDF Vandersay
info,player,Bloomfield Cricket and Athletic Club,D Samuditha
info,player,Police Sports Club,D Induwara
info,player,Police Sports Club,A Tharindu
info,player,Police Sports Club,SADU Mihiran
info,player,Police Sports Club,PARP Perera
info,player,Police Sports Club,Vishad Randika
info,player,Police Sports Club,KNA Bandara
info,player,Police Sports Club,SAC Kumara
info,player,Police Sports Club,DS Thilakaratne
info,player,Police Sports Club,RPN Priyadarshana
info,player,Police Sports Club,N Premaratne
info,player,Police Sports Club,WACP Wijelath
info,registry,people,A Tharindu,3bdf24da
info,registry,people,A Wanninayake,13ef4457
info,registry,people,D Induwara,7f280989
info,registry,people,D Samuditha,4770fcd4
info,registry,people,DS Thilakaratne,a2198010
info,registry,people,DS Tillakaratne,e797eb3b
info,registry,people,H Amarasinghe,4dac55a7
info,registry,people,JDF Vandersay,aceb7654
info,registry,people,KNA Bandara,585dda5d
info,registry,people,KPNM Karunanayake,532cc5b8
info,registry,people,LD Madushanka,de063a39
info,registry,people,M Premaratne,7677ef70
info,registry,people,N Premaratne,12a15f20
info,registry,people,PARP Perera,5f75a7c5
info,registry,people,PS Jayaprakashdaran,5e6c7237
info,registry,people,PSR Fonseka,8fd2cea5
info,registry,people,RK Chandraguptha,f51ed6ad
info,registry,people,RP Massalage,6ffbe2e2
info,registry,people,RPN Priyadarshana,e5ebe166
info,registry,people,RS Fernando,24d72446
info,registry,people,SAC Kumara,be000754
info,registry,people,SADU Mihiran,11df6506
info,registry,people,T Harshana,403d4c73
info,registry,people,UILD Wewage,6a58b590
info,registry,people,Vishad Randika,7075624e
info,registry,people,WACP Wijelath,b7e98f01
ball,1,0.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,N Premaratne,1,0,,,,,,"",""
ball,1,0.2,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,0.3,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,0.4,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,0.5,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,0.6,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,1.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,0,0,,,,,,"",""
ball,1,1.2,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,0,0,,,,,,"",""
ball,1,1.3,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,4,0,,,,,,"",""
ball,1,1.4,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,0,0,,,,,,"",""
ball,1,1.5,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,0,0,,,,,,"",""
ball,1,1.6,Bloomfield Cricket and Athletic Club,H Amarasinghe,M Premaratne,WACP Wijelath,0,0,,,,,,"",""
ball,1,2.1,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,2.2,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,2.3,Bloomfield Cricket and Athletic Club,M Premaratne,H Amarasinghe,N Premaratne,0,0,,,,,,caught,M Premaratne
ball,1,2.4,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,2.5,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,2.6,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,3.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,3.2,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,3.3,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,3.4,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,3.5,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,3.6,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,4.1,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,4.2,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,2,0,,,,,,"",""
ball,1,4.3,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,0,0,,,,,,"",""
ball,1,4.4,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,4,0,,,,,,"",""
ball,1,4.5,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,4,0,,,,,,"",""
ball,1,4.6,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,N Premaratne,4,0,,,,,,"",""
ball,1,5.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,5.2,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,5.3,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,5.4,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,5.5,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,5.6,Bloomfield Cricket and Athletic Club,H Amarasinghe,RK Chandraguptha,RPN Priyadarshana,0,0,,,,,,"",""
ball,1,6.1,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,4,0,,,,,,"",""
ball,1,6.2,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,0,0,,,,,,"",""
ball,1,6.3,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,0,0,,,,,,"",""
ball,1,6.4,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,4,0,,,,,,"",""
ball,1,6.5,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,0,0,,,,,,"",""
ball,1,6.6,Bloomfield Cricket and Athletic Club,RK Chandraguptha,H Amarasinghe,WACP Wijelath,0,0,,,,,,lbw,RK Chandraguptha
ball,1,7.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,4,0,,,,,,"",""
ball,1,7.2,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,0,0,,,,,,"",""
ball,1,7.3,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,0,0,,,,,,"",""
ball,1,7.4,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,0,0,,,,,,"",""
ball,1,7.5,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,0,0,,,,,,"",""
ball,1,7.6,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,N Premaratne,1,0,,,,,,"",""
ball,1,8.1,Bloomfield Cricket and Athletic Club,H Amarasinghe,A Wanninayake,WACP Wijelath,0,0,,,,,,caught,H Amarasinghe
ball,1,8.2,Bloomfield Cricket and Athletic Club,T Harshana,A Wanninayake,WACP Wijelath,0,0,,,,,,"",""
ball,1,8.3,Bloomfield Cricket and Athletic Club,T Harshana,A Wanninayake,WACP Wijelath,2,0,,,,,,"",""
