version,1.7.0
info,balls_per_over,6
info,team,Lancashire
info,team,Derbyshire
info,gender,male
info,season,2018
info,date,2018/06/03
info,event,Royal London One-Day Cup
info,venue,"County Ground, Derby"
info,city,Derby
info,toss_winner,Derbyshire
info,toss_decision,field
info,umpire,NA Mallender
info,umpire,RJ Warren
info,winner,Lancashire
info,winner_runs,25
info,player,Lancashire,AL Davies
info,player,Lancashire,H Hameed
info,player,Lancashire,LS Livingstone
info,player,Lancashire,DJ Vilas
info,player,Lancashire,RP Jones
info,player,Lancashire,J Clark
info,player,Lancashire,JJ Bohannon
info,player,Lancashire,JM Mennie
info,player,Lancashire,G Onions
info,player,Lancashire,SD Parry
info,player,Lancashire,MW Parkinson
info,player,Derbyshire,BT Slater
info,player,Derbyshire,BA Godleman
info,player,Derbyshire,WL Madsen
info,player,Derbyshire,AL Hughes
info,player,Derbyshire,MJJ Critchley
info,player,Derbyshire,GC Wilson
info,player,Derbyshire,D Smit
info,player,Derbyshire,CAJ Brodrick
info,player,Derbyshire,GC Viljoen
info,player,Derbyshire,D Olivier
info,player,Derbyshire,R Rampaul
info,registry,people,AL Davies,29ede60b
info,registry,people,AL Hughes,1066a976
info,registry,people,BA Godleman,b26b1e3d
info,registry,people,BT Slater,c5f1d2a1
info,registry,people,CAJ Brodrick,c56819b2
info,registry,people,D Olivier,a8e56914
info,registry,people,D Smit,4bb02ef1
info,registry,people,DJ Vilas,087210b1
info,registry,people,G Onions,c1f6c27e
info,registry,people,GC Viljoen,a316d663
info,registry,people,GC Wilson,05de1a5a
info,registry,people,H Hameed,fe0c5457
info,registry,people,J Clark,c672e80e
info,registry,people,JJ Bohannon,fd96de7c
info,registry,people,JM Mennie,f048bb41
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MW Parkinson,19708692
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,R Rampaul,d68e7f48
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RP Jones,ad8cb396
info,registry,people,SD Parry,fdb8ed0d
info,registry,people,WL Madsen,86e0f3f0
ball,1,0.1,Lancashire,AL Davies,H Hameed,D Olivier,4,0,,,,,,"",""
ball,1,0.2,Lancashire,AL Davies,H Hameed,D Olivier,2,0,,,,,,"",""
ball,1,0.3,Lancashire,AL Davies,H Hameed,D Olivier,0,0,,,,,,"",""
ball,1,0.4,Lancashire,AL Davies,H Hameed,D Olivier,0,0,,,,,,"",""
ball,1,0.5,Lancashire,AL Davies,H Hameed,D Olivier,0,0,,,,,,"",""
ball,1,0.6,Lancashire,AL Davies,H Hameed,D Olivier,2,0,,,,,,"",""
ball,1,1.1,Lancashire,H Hameed,AL Davies,R Rampaul,0,0,,,,,,"",""
ball,1,1.2,Lancashire,H Hameed,AL Davies,R Rampaul,1,0,,,,,,"",""
ball,1,1.3,Lancashire,AL Davies,H Hameed,R Rampaul,0,0,,,,,,"",""
ball,1,1.4,Lancashire,AL Davies,H Hameed,R Rampaul,1,0,,,,,,"",""
ball,1,1.5,Lancashire,H Hameed,AL Davies,R Rampaul,1,0,,,,,,"",""
ball,1,1.6,Lancashire,AL Davies,H Hameed,R Rampaul,0,0,,,,,,"",""
ball,1,2.1,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,2.2,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,2.3,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,2.4,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,2.5,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,2.6,Lancashire,H Hameed,AL Davies,D Olivier,0,0,,,,,,"",""
ball,1,3.1,Lancashire,AL Davies,H Hameed,R Rampaul,1,0,,,,,,"",""
ball,1,3.2,Lancashire,H Hameed,AL Davies,R Rampaul,0,0,,,,,,"",""
ball,1,3.3,Lancashire,H Hameed,AL Davies,R Rampaul,0,0,,,,,,"",""
ball,1,3.4,Lancashire,H Hameed,AL Davies,R Rampaul,0,0,,,,,,"",""
